Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,47.650002,47.669998,46.830002,47.250000,47.146767,5402500
2017-10-31,47.220001,47.599998,46.790001,46.820000,46.717709,4596600
2017-11-01,48.000000,48.200001,47.369999,47.840000,47.735477,4354500
2017-11-02,47.790001,47.930000,47.090000,47.360001,47.256527,2410700
2017-11-03,47.360001,47.610001,46.799999,47.450001,47.346333,4037100
2017-11-06,47.459999,48.099998,47.279999,47.509998,47.406197,4249500
2017-11-07,47.509998,47.540001,46.400002,46.459999,46.358494,3756400
2017-11-08,46.419998,46.980000,45.840000,46.369999,46.268688,3198800
2017-11-09,45.849998,46.349998,45.360001,45.770000,45.670002,3561500
2017-11-10,45.639999,46.119999,45.560001,45.820000,45.820000,2433000
2017-11-13,45.630001,45.860001,45.330002,45.740002,45.740002,1772400
2017-11-14,45.299999,45.970001,45.270000,45.810001,45.810001,1827100
2017-11-15,45.709999,47.310001,45.450001,47.189999,47.189999,5223100
2017-11-16,47.259998,48.060001,47.240002,47.680000,47.680000,4461400
2017-11-17,47.599998,47.750000,47.189999,47.389999,47.389999,2324800
2017-11-20,47.330002,47.880001,47.119999,47.689999,47.689999,2436000
2017-11-21,47.889999,48.919998,47.540001,48.650002,48.650002,2796200
2017-11-22,48.580002,48.970001,48.270000,48.660000,48.660000,2326900
2017-11-24,48.660000,48.759998,48.349998,48.560001,48.560001,1352400
2017-11-27,48.610001,48.830002,48.299999,48.419998,48.419998,2328100
2017-11-28,48.439999,48.880001,48.200001,48.790001,48.790001,821886
