Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,177.000000,177.479996,174.449997,176.029999,176.029999,2124200
2017-10-31,176.160004,176.729996,174.520004,175.160004,175.160004,2656500
2017-11-01,176.589996,176.940002,174.699997,176.250000,176.250000,2002900
2017-11-02,178.020004,181.479996,175.800003,180.940002,180.940002,3262300
2017-11-03,181.759995,182.740005,179.639999,182.300003,182.300003,2244700
2017-11-06,182.009995,182.289993,180.539993,180.800003,180.800003,2021900
2017-11-07,181.229996,181.779999,180.110001,180.880005,180.880005,2544200
2017-11-08,181.190002,184.440002,181.059998,184.059998,184.059998,1791800
2017-11-09,182.880005,183.080002,179.029999,181.919998,181.919998,2704600
2017-11-10,181.000000,182.059998,179.830002,181.720001,181.720001,2082600
2017-11-13,180.500000,182.320007,179.750000,181.850006,181.850006,1496100
2017-11-14,181.979996,182.169998,180.309998,181.320007,181.320007,1549700
2017-11-15,180.919998,181.729996,179.600006,180.080002,180.080002,1980900
2017-11-16,181.179993,182.440002,180.580002,182.300003,182.300003,1961200
2017-11-17,182.080002,182.910004,181.139999,182.240005,182.240005,1482100
2017-11-20,182.800003,183.429993,181.339996,182.339996,182.339996,1118100
2017-11-21,183.750000,185.550003,182.839996,184.149994,184.149994,2036500
2017-11-22,184.320007,184.500000,182.619995,182.899994,182.899994,1546700
2017-11-24,182.960007,184.710007,182.960007,184.460007,184.460007,663000
2017-11-27,184.830002,185.839996,184.089996,185.000000,185.000000,1279800
2017-11-28,185.619995,186.220001,184.369995,185.309998,185.309998,578183
