Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,46.230000,49.000000,46.070000,48.389999,48.389999,6043100
2017-10-31,48.419998,48.919998,47.529999,48.540001,48.540001,2900400
2017-11-01,48.849998,49.130001,48.340000,48.770000,48.770000,3100100
2017-11-02,48.720001,48.790001,47.950001,48.270000,48.270000,1889300
2017-11-03,47.830002,48.299999,47.549999,48.070000,48.070000,2379200
2017-11-06,49.849998,51.560001,49.570000,50.820000,50.820000,5894400
2017-11-07,50.810001,51.150002,49.610001,50.070000,50.070000,2565000
2017-11-08,49.990002,50.200001,48.450001,48.730000,48.730000,3750500
2017-11-09,50.000000,51.889999,48.880001,50.299999,50.299999,4499300
2017-11-10,50.130001,51.290001,50.000000,50.810001,50.810001,2211700
2017-11-13,50.310001,50.869999,49.709999,50.860001,50.860001,2263800
2017-11-14,50.700001,50.779999,50.040001,50.509998,50.509998,2215900
2017-11-15,50.509998,50.869999,49.520000,50.610001,50.610001,2532000
2017-11-16,50.459999,51.009998,50.029999,50.500000,50.500000,2113700
2017-11-17,50.459999,50.790001,50.160000,50.660000,50.660000,2041600
2017-11-20,50.599998,50.700001,49.279999,50.009998,50.009998,1671300
2017-11-21,50.029999,50.180000,49.439999,50.040001,50.040001,1892600
2017-11-22,50.040001,50.770000,49.770000,50.430000,50.430000,1765900
2017-11-24,50.400002,50.779999,49.630001,49.869999,49.869999,482900
2017-11-27,49.990002,49.990002,49.119999,49.650002,49.650002,1570700
2017-11-28,49.799999,50.029999,49.419998,49.986198,49.986198,666463
