Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,456.320007,461.790009,455.179993,459.730011,457.830780,246400
2017-10-31,458.359985,464.480011,457.309998,463.500000,461.585175,352600
2017-11-01,464.970001,467.739990,463.519989,467.059998,465.130493,427600
2017-11-02,481.000000,491.799988,476.399994,488.679993,486.661163,867800
2017-11-03,485.869995,489.920013,482.660004,486.649994,484.639557,464900
2017-11-06,484.989990,493.089996,484.989990,491.619995,489.589020,398100
2017-11-07,492.859985,493.799988,483.019989,488.059998,486.043732,489900
2017-11-08,486.940002,495.350006,486.940002,492.980011,490.943420,435600
2017-11-09,491.730011,493.910004,483.690002,484.859985,482.856934,244000
2017-11-10,484.239990,485.070007,480.920013,482.209991,480.217896,279000
2017-11-13,481.910004,485.920013,478.540009,484.119995,482.119995,428400
2017-11-14,480.070007,484.309998,478.320007,481.049988,481.049988,278000
2017-11-15,479.369995,483.440002,473.519989,474.420013,474.420013,312900
2017-11-16,474.899994,477.399994,473.339996,475.089996,475.089996,528400
2017-11-17,473.739990,475.630005,470.010010,472.799988,472.799988,297700
2017-11-20,474.269989,474.529999,470.489990,471.890015,471.890015,174800
2017-11-21,472.690002,475.130005,471.279999,474.260010,474.260010,374700
2017-11-22,473.079987,475.019989,470.799988,472.369995,472.369995,173800
2017-11-24,473.000000,476.730011,472.269989,474.070007,474.070007,99600
2017-11-27,474.040009,481.239990,472.109985,478.920013,478.920013,316300
2017-11-28,481.399994,481.484985,475.859985,477.114990,477.114990,144369
