Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,6.160000,6.190000,6.150000,6.180000,6.180000,4261800
2017-10-31,6.290000,6.300000,6.240000,6.250000,6.250000,2787700
2017-11-01,6.280000,6.310000,6.260000,6.280000,6.280000,1914300
2017-11-02,6.300000,6.340000,6.300000,6.330000,6.330000,2189600
2017-11-03,6.370000,6.370000,6.280000,6.330000,6.330000,3598100
2017-11-06,6.450000,6.560000,6.430000,6.510000,6.510000,5670300
2017-11-07,6.460000,6.490000,6.440000,6.480000,6.480000,6532800
2017-11-08,6.380000,6.380000,6.220000,6.280000,6.280000,7572400
2017-11-09,6.050000,6.070000,5.980000,5.990000,5.990000,15998900
2017-11-10,6.000000,6.020000,5.970000,6.010000,6.010000,2545500
2017-11-13,6.000000,6.020000,5.990000,6.010000,6.010000,2663900
2017-11-14,5.980000,5.980000,5.940000,5.950000,5.950000,3756100
2017-11-15,5.900000,5.910000,5.840000,5.870000,5.870000,3127300
2017-11-16,6.050000,6.100000,6.030000,6.090000,6.090000,2622400
2017-11-17,6.100000,6.110000,6.040000,6.070000,6.070000,1973800
2017-11-20,6.110000,6.210000,6.110000,6.200000,6.200000,2127000
2017-11-21,6.370000,6.460000,6.370000,6.430000,6.430000,3453800
2017-11-22,6.390000,6.400000,6.370000,6.390000,6.390000,2599000
2017-11-24,6.460000,6.460000,6.410000,6.450000,6.450000,1170700
2017-11-27,6.420000,6.440000,6.380000,6.400000,6.400000,1680600
2017-11-28,6.420000,6.440000,6.390000,6.440000,6.440000,748017
