Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,61.939999,62.119999,60.799999,61.349998,61.349998,4635200
2017-10-31,61.500000,61.709999,60.889999,61.290001,61.290001,3512000
2017-11-01,61.810001,62.610001,61.520000,62.320000,62.320000,3386900
2017-11-02,62.340000,62.759998,60.090000,60.320000,60.320000,3041500
2017-11-03,60.200001,60.759998,59.810001,60.540001,60.540001,2637300
2017-11-06,60.430000,60.869999,60.080002,60.619999,60.619999,2218800
2017-11-07,60.810001,60.970001,60.139999,60.599998,60.599998,2486000
2017-11-08,60.540001,61.340000,60.099998,61.299999,61.299999,2061300
2017-11-09,60.990002,61.320000,60.410000,60.750000,60.750000,2531700
2017-11-10,60.520000,60.549999,59.470001,60.049999,60.049999,3608400
2017-11-13,59.970001,61.599998,59.669998,60.880001,60.880001,3428700
2017-11-14,60.669998,60.689999,59.169998,60.250000,60.250000,2677800
2017-11-15,59.580002,60.439999,59.250000,60.049999,60.049999,2560300
2017-11-16,60.540001,62.900002,60.290001,62.450001,62.450001,4500800
2017-11-17,62.130001,62.220001,61.049999,61.939999,61.939999,3046300
2017-11-20,61.779999,61.840000,61.080002,61.419998,61.419998,2855800
2017-11-21,61.580002,61.619999,60.930000,61.189999,61.189999,3040300
2017-11-22,61.220001,62.790001,60.910000,62.119999,62.119999,3254200
2017-11-24,61.790001,61.930000,60.700001,61.180000,61.180000,2111300
2017-11-27,61.180000,61.619999,60.750000,61.470001,61.470001,3663900
2017-11-28,61.470001,61.500000,60.630001,61.060001,61.060001,1213599
