Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,25.650000,26.030001,25.520000,25.750000,25.750000,2161000
2017-10-31,25.780001,25.780001,25.350000,25.450001,25.450001,1665800
2017-11-01,25.610001,25.830000,25.350000,25.379999,25.379999,1451200
2017-11-02,25.379999,25.530001,24.910000,25.150000,25.150000,2960800
2017-11-03,25.049999,25.200001,24.400000,24.430000,24.430000,3298200
2017-11-06,24.330000,26.850000,24.299999,26.620001,26.620001,12144100
2017-11-07,26.700001,27.770000,26.700001,27.040001,27.040001,6640900
2017-11-08,26.840000,27.389999,26.740000,27.350000,27.350000,5692500
2017-11-09,26.760000,28.959999,26.570000,28.129999,28.129999,5278400
2017-11-10,28.190001,29.170000,27.980000,28.070000,28.070000,4557600
2017-11-13,27.840000,28.040001,27.480000,27.820000,27.820000,1492500
2017-11-14,27.660000,27.770000,27.090000,27.309999,27.309999,2402400
2017-11-15,27.260000,28.010000,26.860001,27.950001,27.950001,2968100
2017-11-16,27.559999,28.740000,27.559999,28.600000,28.600000,3400800
2017-11-17,30.450001,30.730000,29.580000,30.480000,30.480000,5811000
2017-11-20,30.450001,30.920000,29.700001,29.900000,29.900000,3265100
2017-11-21,29.930000,30.280001,29.639999,30.100000,30.100000,2645500
2017-11-22,30.020000,30.160000,29.830000,29.940001,29.940001,2721900
2017-11-24,29.680000,30.090000,29.680000,29.780001,29.780001,732200
2017-11-27,29.719999,29.889999,29.670000,29.700001,29.700001,2921100
2017-11-28,29.820000,30.090000,29.650000,29.969999,29.969999,1103102
