Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,44.480000,45.189999,43.880001,44.369999,44.108604,48161500
2017-10-31,45.200001,45.799999,44.650002,45.490002,45.222008,47000900
2017-11-01,45.970001,46.709999,45.590000,46.709999,46.434818,47813700
2017-11-02,46.610001,47.230000,46.209999,47.099998,46.822521,44602300
2017-11-03,47.200001,47.299999,45.599998,46.340000,46.066998,39298100
2017-11-06,46.599998,46.740002,46.090000,46.700001,46.700001,34035000
2017-11-07,46.700001,47.090000,46.389999,46.779999,46.779999,24461400
2017-11-08,46.619999,46.700001,46.279999,46.700001,46.700001,21565800
2017-11-09,46.049999,46.389999,45.650002,46.299999,46.299999,25570400
2017-11-10,46.040001,46.090000,45.380001,45.580002,45.580002,24095400
2017-11-13,45.259998,45.939999,45.250000,45.750000,45.750000,18999000
2017-11-14,45.700001,45.919998,45.320000,45.860001,45.860001,22201200
2017-11-15,45.389999,45.810001,45.169998,45.459999,45.459999,17157200
2017-11-16,45.630001,46.070000,45.459999,45.650002,45.650002,26439400
2017-11-17,45.500000,45.619999,44.619999,44.630001,44.630001,63798000
2017-11-20,44.730000,45.119999,44.500000,44.619999,44.619999,22420000
2017-11-21,44.720001,45.220001,44.709999,44.939999,44.939999,21871000
2017-11-22,44.939999,44.950001,44.540001,44.650002,44.650002,19538300
2017-11-24,44.549999,44.779999,44.430000,44.750000,44.750000,6465800
2017-11-27,44.419998,44.610001,44.270000,44.490002,44.490002,17957900
2017-11-28,44.650002,44.840000,44.320000,44.465000,44.465000,12624323
