Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,94.209999,95.489998,93.959999,95.209999,94.831451,1985900
2017-10-31,95.230003,95.690002,94.620003,94.800003,94.423088,1232900
2017-11-01,94.300003,95.139999,92.519997,92.989998,92.620277,2946500
2017-11-02,92.379997,93.910004,92.129997,93.459999,93.088409,1399900
2017-11-03,93.720001,94.019997,92.529999,93.660004,93.287621,1392500
2017-11-06,94.309998,95.620003,94.169998,95.360001,94.980858,3069900
2017-11-07,95.000000,95.919998,90.500000,91.440002,91.076447,4745700
2017-11-08,91.349998,93.120003,90.910004,92.809998,92.440994,4605100
2017-11-09,92.330002,92.440002,89.580002,90.809998,90.448944,3317100
2017-11-10,90.879997,91.669998,90.360001,91.559998,91.195961,1826800
2017-11-13,91.010002,91.330002,90.470001,91.019997,90.658104,1398800
2017-11-14,90.669998,91.120003,90.010002,91.010002,90.648155,1509200
2017-11-15,90.459999,90.699997,89.279999,89.589996,89.233795,1491400
2017-11-16,89.760002,91.059998,89.629997,90.779999,90.419067,1785800
2017-11-17,91.019997,91.589996,90.639999,91.300003,90.937004,2099200
2017-11-20,91.480003,91.889999,91.139999,91.389999,91.389999,1460500
2017-11-21,91.940002,92.620003,91.610001,91.870003,91.870003,1568000
2017-11-22,91.660004,92.260002,90.389999,90.400002,90.400002,1634700
2017-11-24,90.290001,91.040001,90.220001,90.970001,90.970001,727900
2017-11-27,90.470001,90.620003,88.629997,88.930000,88.930000,2569600
2017-11-28,89.150002,90.540001,88.860001,90.404999,90.404999,977344
