Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,40.730000,41.860001,40.680000,41.650002,41.650002,29119500
2017-10-31,42.250000,44.570000,42.200001,44.310001,44.310001,61972200
2017-11-01,44.790001,45.330002,43.779999,44.380001,44.380001,38842900
2017-11-02,44.080002,44.750000,43.720001,44.340000,44.340000,25813000
2017-11-03,44.770000,45.000000,43.349998,43.709999,43.709999,27694600
2017-11-06,43.849998,44.009998,42.450001,43.250000,43.250000,28841000
2017-11-07,43.580002,44.240002,43.330002,43.950001,43.950001,32422900
2017-11-08,43.849998,44.139999,43.450001,44.090000,44.090000,19519600
2017-11-09,43.689999,43.689999,42.580002,43.500000,43.500000,32501100
2017-11-10,43.759998,44.849998,43.709999,44.779999,44.779999,33840800
2017-11-13,44.330002,45.869999,44.189999,45.599998,45.599998,30522300
2017-11-14,45.580002,46.000000,44.799999,45.799999,45.799999,29899200
2017-11-15,45.189999,45.740002,44.619999,45.360001,45.360001,22434500
2017-11-16,45.730000,46.290001,45.290001,46.180000,46.180000,24192600
2017-11-17,46.540001,46.549999,45.730000,46.160000,46.160000,22613300
2017-11-20,46.509998,47.860001,46.400002,47.639999,47.639999,26975000
2017-11-21,48.360001,49.630001,48.150002,49.400002,49.400002,35756600
2017-11-22,49.849998,49.889999,48.619999,49.139999,49.139999,28711800
2017-11-24,49.320000,49.880001,49.029999,49.680000,49.680000,14203300
2017-11-27,47.959999,48.389999,47.090000,48.049999,48.049999,44371900
2017-11-28,48.450001,48.860001,48.080002,48.459999,48.459999,17892455
