Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,151.130005,152.190002,150.990005,151.580002,151.580002,31733400
2017-10-31,152.070007,152.369995,151.630005,152.149994,152.149994,26319300
2017-11-01,152.759995,152.830002,151.500000,152.100006,152.100006,29481600
2017-11-02,151.929993,151.990005,150.770004,151.809998,151.809998,31017400
2017-11-03,152.360001,153.289993,151.839996,153.270004,153.270004,26199200
2017-11-06,153.149994,153.850006,153.100006,153.789993,153.789993,28693900
2017-11-07,153.669998,154.080002,153.339996,153.880005,153.880005,21333100
2017-11-08,153.800003,154.539993,153.619995,154.500000,154.500000,17373500
2017-11-09,153.229996,153.770004,152.110001,153.690002,153.690002,40594500
2017-11-10,153.330002,153.800003,153.059998,153.679993,153.679993,20150800
2017-11-13,153.100006,154.070007,153.100006,153.869995,153.869995,12522400
2017-11-14,153.330002,153.500000,152.570007,153.309998,153.309998,25173800
2017-11-15,152.649994,153.000000,151.779999,152.589996,152.589996,24808000
2017-11-16,153.360001,154.889999,153.330002,154.539993,154.539993,34790600
2017-11-17,154.580002,154.690002,153.800003,153.949997,153.949997,28725800
2017-11-20,154.059998,154.199997,153.610001,153.830002,153.830002,21143900
2017-11-21,154.559998,155.570007,154.490005,155.500000,155.500000,20147800
2017-11-22,155.639999,155.839996,155.339996,155.690002,155.690002,17299000
2017-11-24,155.850006,156.309998,155.759995,156.259995,156.259995,8280600
2017-11-27,156.210007,156.559998,155.830002,156.190002,156.190002,22582500
2017-11-28,156.520004,156.639999,156.190002,156.309998,156.309998,10978917
