Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,5.530000,5.560000,5.460000,5.510000,5.498650,19660900
2017-10-31,5.520000,5.520000,5.430000,5.440000,5.428794,19511300
2017-11-01,5.470000,5.520000,5.380000,5.440000,5.428794,23138600
2017-11-02,5.410000,5.430000,5.300000,5.340000,5.329000,20639400
2017-11-03,5.300000,5.340000,5.260000,5.300000,5.289083,16733100
2017-11-06,5.290000,5.400000,5.290000,5.350000,5.338979,12428100
2017-11-07,5.350000,5.400000,5.310000,5.340000,5.329000,12812700
2017-11-08,5.310000,5.380000,5.310000,5.360000,5.360000,15843800
2017-11-09,5.340000,5.400000,5.280000,5.310000,5.310000,15190400
2017-11-10,5.280000,5.410000,5.280000,5.340000,5.340000,18671500
2017-11-13,5.320000,5.500000,5.320000,5.500000,5.500000,24647000
2017-11-14,5.480000,5.490000,5.300000,5.350000,5.350000,23927000
2017-11-15,5.350000,5.390000,5.300000,5.380000,5.380000,14497700
2017-11-16,5.360000,5.440000,5.350000,5.400000,5.400000,17047100
2017-11-17,5.420000,5.490000,5.380000,5.460000,5.460000,11915900
2017-11-20,5.470000,5.490000,5.420000,5.430000,5.430000,11537800
2017-11-21,5.460000,5.510000,5.450000,5.460000,5.460000,13265300
2017-11-22,5.460000,5.490000,5.420000,5.440000,5.440000,14091200
2017-11-24,5.430000,5.470000,5.420000,5.440000,5.440000,7844200
2017-11-27,5.410000,5.470000,5.400000,5.440000,5.440000,15473000
2017-11-28,5.430000,5.450000,5.400000,5.400000,5.400000,5690163
