Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,62.669998,63.080002,59.209999,59.580002,59.580002,14267500
2017-10-31,59.639999,60.250000,59.320000,59.770000,59.770000,7361300
2017-11-01,60.139999,60.400002,59.360001,59.750000,59.750000,3352000
2017-11-02,59.759998,60.110001,58.130001,58.299999,58.299999,5884400
2017-11-03,59.009998,59.439999,58.580002,58.910000,58.910000,4097600
2017-11-06,56.200001,56.500000,54.930000,55.540001,55.540001,16985500
2017-11-07,55.779999,56.029999,54.599998,55.360001,55.360001,8785400
2017-11-08,55.360001,56.419998,55.240002,56.220001,56.220001,5981000
2017-11-09,56.500000,56.570000,55.630001,56.000000,56.000000,5205000
2017-11-10,55.689999,57.040001,55.540001,56.799999,56.799999,5758300
2017-11-13,56.799999,56.889999,55.910000,56.439999,56.439999,4429100
2017-11-14,56.389999,56.959999,55.959999,56.540001,56.540001,5035300
2017-11-15,56.799999,56.990002,56.180000,56.689999,56.689999,3709900
2017-11-16,56.810001,59.980000,56.810001,59.799999,59.799999,10397700
2017-11-17,59.549999,60.070000,58.959999,60.020000,60.020000,7147600
2017-11-20,59.750000,60.450001,59.580002,60.299999,60.299999,4225100
2017-11-21,61.099998,61.250000,60.230000,60.410000,60.410000,5170200
2017-11-22,60.410000,61.430000,60.410000,61.349998,61.349998,6643000
2017-11-24,60.810001,62.090000,60.750000,61.680000,61.680000,2129200
2017-11-27,62.200001,62.930000,61.290001,62.779999,62.779999,5114700
2017-11-28,62.340000,62.412498,61.209999,61.340000,61.340000,3333039
