Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,80.000000,80.059998,79.989998,80.029999,79.877022,1088000
2017-10-31,80.070000,80.070000,80.010002,80.040001,79.887001,1272700
2017-11-01,79.820000,79.889999,79.809998,79.830002,79.830002,1248300
2017-11-02,79.849998,79.900002,79.790001,79.809998,79.809998,3458400
2017-11-03,79.900002,79.900002,79.790001,79.790001,79.790001,1091700
2017-11-06,79.820000,79.839996,79.809998,79.839996,79.839996,782300
2017-11-07,79.860001,79.860001,79.809998,79.820000,79.820000,992200
2017-11-08,79.839996,79.839996,79.760002,79.760002,79.760002,962200
2017-11-09,79.720001,79.750000,79.709999,79.739998,79.739998,1751200
2017-11-10,79.680000,79.699997,79.639999,79.639999,79.639999,1025300
2017-11-13,79.660004,79.660004,79.610001,79.629997,79.629997,1166400
2017-11-14,79.610001,79.629997,79.589996,79.589996,79.589996,2292200
2017-11-15,79.620003,79.639999,79.540001,79.639999,79.639999,1479800
2017-11-16,79.610001,79.629997,79.589996,79.589996,79.589996,895100
2017-11-17,79.639999,79.660004,79.620003,79.629997,79.629997,1135500
2017-11-20,79.610001,79.629997,79.559998,79.570000,79.570000,939700
2017-11-21,79.599998,79.610001,79.550003,79.570000,79.570000,1651000
2017-11-22,79.629997,79.760002,79.610001,79.750000,79.750000,2313500
2017-11-24,79.699997,79.720001,79.650002,79.669998,79.669998,405600
2017-11-27,79.669998,79.690002,79.620003,79.690002,79.690002,2406000
2017-11-28,79.720001,79.739998,79.699997,79.705002,79.705002,1148428
