Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,6.350000,6.380000,6.310000,6.350000,6.350000,26963700
2017-10-31,6.330000,6.430000,6.290000,6.330000,6.330000,22224600
2017-11-01,6.380000,6.450000,6.290000,6.290000,6.290000,20600600
2017-11-02,6.310000,6.320000,6.210000,6.280000,6.280000,20815400
2017-11-03,6.300000,6.320000,6.120000,6.170000,6.170000,43746500
2017-11-06,6.220000,6.290000,6.180000,6.240000,6.240000,25072700
2017-11-07,6.230000,6.230000,6.070000,6.120000,6.120000,30408900
2017-11-08,6.200000,6.220000,6.050000,6.180000,6.180000,53627800
2017-11-09,6.120000,6.190000,6.090000,6.170000,6.170000,15023800
2017-11-10,6.110000,6.150000,6.070000,6.120000,6.120000,20086700
2017-11-13,6.060000,6.150000,6.030000,6.120000,6.120000,14779000
2017-11-14,6.130000,6.150000,6.050000,6.060000,6.060000,13492100
2017-11-15,6.050000,6.080000,6.020000,6.050000,6.050000,8667900
2017-11-16,6.170000,6.240000,6.120000,6.170000,6.170000,15915700
2017-11-17,6.200000,6.280000,6.150000,6.240000,6.240000,17121300
2017-11-20,6.220000,6.280000,6.180000,6.270000,6.270000,8360200
2017-11-21,6.290000,6.390000,6.290000,6.350000,6.350000,38503000
2017-11-22,6.370000,6.420000,6.350000,6.400000,6.400000,13423200
2017-11-24,6.340000,6.390000,6.330000,6.380000,6.380000,6148300
2017-11-27,6.320000,6.400000,6.300000,6.360000,6.360000,12029100
2017-11-28,6.380000,6.440000,6.370000,6.435000,6.435000,12151988
