Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,24.330000,24.330000,24.180000,24.270000,24.270000,172600
2017-10-31,24.270000,24.320000,24.209999,24.309999,24.309999,132400
2017-11-01,24.270000,24.320000,24.170000,24.280001,24.280001,104800
2017-11-02,24.139999,24.230000,24.129999,24.219999,24.219999,132700
2017-11-03,24.260000,24.260000,24.200001,24.260000,24.260000,117800
2017-11-06,24.260000,24.520000,24.209999,24.500000,24.500000,140700
2017-11-07,24.629999,24.680000,24.549999,24.670000,24.670000,112000
2017-11-08,24.830000,24.840000,24.740000,24.790001,24.790001,89200
2017-11-09,24.780001,24.799999,24.620001,24.799999,24.799999,102800
2017-11-10,24.809999,24.950001,24.809999,24.920000,24.920000,103200
2017-11-13,24.900000,24.980000,24.850000,24.930000,24.930000,79000
2017-11-14,24.940001,25.059999,24.910000,25.010000,25.010000,97800
2017-11-15,24.740000,24.860001,24.680000,24.830000,24.830000,97500
2017-11-16,24.950001,25.020000,24.910000,24.980000,24.980000,89600
2017-11-17,24.959999,25.000000,24.920000,24.969999,24.969999,94600
2017-11-20,25.059999,25.110001,25.010000,25.049999,25.049999,92100
2017-11-21,25.480000,25.490000,25.420000,25.480000,25.480000,128900
2017-11-22,25.530001,25.610001,25.459999,25.600000,25.600000,69500
2017-11-24,25.780001,25.790001,25.670000,25.709999,25.709999,41700
2017-11-27,25.750000,25.860001,25.730000,25.770000,25.770000,109800
2017-11-28,25.740000,25.790001,25.700001,25.790001,25.790001,43318
