Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,240.100006,242.589996,239.529999,240.889999,240.889999,1764400
2017-10-31,240.679993,244.179993,240.630005,242.479996,242.479996,2658700
2017-11-01,243.889999,247.399994,242.910004,244.259995,244.259995,2969600
2017-11-02,244.690002,247.740005,243.380005,246.880005,246.880005,2509100
2017-11-03,245.369995,246.279999,243.190002,244.399994,244.399994,1954600
2017-11-06,243.500000,244.580002,241.669998,243.490005,243.490005,1744800
2017-11-07,243.910004,244.979996,238.839996,239.809998,239.809998,2483900
2017-11-08,239.199997,242.320007,237.550003,241.250000,241.250000,2349800
2017-11-09,239.509995,242.369995,237.839996,240.789993,240.789993,2122400
2017-11-10,241.690002,243.320007,240.000000,240.149994,240.149994,1845600
2017-11-13,237.970001,240.899994,237.160004,240.270004,240.270004,1953900
2017-11-14,239.649994,240.880005,235.630005,237.240005,237.240005,3000200
2017-11-15,234.970001,238.149994,233.550003,237.610001,237.610001,2564100
2017-11-16,238.380005,240.690002,238.199997,239.369995,239.369995,2304300
2017-11-17,238.860001,239.080002,237.119995,238.020004,238.020004,2826400
2017-11-20,238.779999,238.779999,237.110001,238.130005,238.130005,2000700
2017-11-21,239.410004,239.589996,237.539993,238.020004,238.020004,2223800
2017-11-22,237.940002,238.949997,236.360001,236.429993,236.429993,2177200
2017-11-24,237.419998,238.559998,235.550003,235.949997,235.949997,1268500
2017-11-27,235.750000,236.880005,234.800003,235.110001,235.110001,1972700
2017-11-28,236.089996,236.330002,234.330002,235.449997,235.449997,749121
