Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,6.870000,6.890000,6.820000,6.860000,6.860000,1686500
2017-10-31,6.770000,6.820000,6.750000,6.790000,6.790000,1445400
2017-11-01,6.800000,6.830000,6.780000,6.800000,6.800000,1951700
2017-11-02,6.780000,6.850000,6.740000,6.840000,6.840000,1510500
2017-11-03,6.820000,6.820000,6.780000,6.820000,6.820000,796100
2017-11-06,6.720000,6.740000,6.680000,6.710000,6.710000,1699400
2017-11-07,6.720000,6.740000,6.670000,6.700000,6.700000,940100
2017-11-08,6.720000,6.720000,6.660000,6.680000,6.680000,1325500
2017-11-09,6.590000,6.620000,6.490000,6.600000,6.600000,5669300
2017-11-10,6.530000,6.550000,6.510000,6.540000,6.540000,1282000
2017-11-13,6.460000,6.540000,6.450000,6.510000,6.510000,904000
2017-11-14,6.630000,6.700000,6.580000,6.640000,6.640000,2215500
2017-11-15,6.440000,6.540000,6.430000,6.530000,6.530000,1297200
2017-11-16,6.550000,6.590000,6.540000,6.570000,6.570000,813200
2017-11-17,6.570000,6.600000,6.560000,6.600000,6.600000,1478800
2017-11-20,6.570000,6.590000,6.540000,6.580000,6.580000,1284000
2017-11-21,6.650000,6.650000,6.620000,6.630000,6.630000,1115100
2017-11-22,6.750000,6.800000,6.750000,6.780000,6.780000,3878300
2017-11-24,6.830000,6.880000,6.820000,6.830000,6.830000,516500
2017-11-27,6.830000,6.880000,6.800000,6.860000,6.860000,2103700
2017-11-28,6.870000,6.910000,6.865000,6.909000,6.909000,553675
