Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,65.110001,65.820000,65.029999,65.599998,65.599998,103100
2017-10-31,65.500000,65.720001,65.209999,65.500000,65.500000,75900
2017-11-01,65.889999,66.260002,65.589996,66.040001,66.040001,145000
2017-11-02,67.690002,68.959999,67.540001,68.820000,68.820000,149500
2017-11-03,68.480003,68.480003,67.660004,67.790001,67.790001,85900
2017-11-06,69.620003,71.379997,69.410004,71.330002,71.330002,172500
2017-11-07,71.209999,72.000000,71.209999,71.790001,71.790001,196200
2017-11-08,71.169998,71.239998,70.580002,71.000000,71.000000,75400
2017-11-09,71.070000,71.470001,70.889999,71.349998,71.349998,71900
2017-11-10,71.300003,71.690002,71.190002,71.459999,71.459999,69900
2017-11-13,70.360001,70.660004,70.120003,70.199997,70.199997,55100
2017-11-14,69.760002,69.760002,68.610001,68.610001,68.610001,76300
2017-11-15,67.639999,67.699997,67.059998,67.620003,67.620003,123100
2017-11-16,67.500000,68.129997,67.470001,67.699997,67.699997,142900
2017-11-17,67.290001,67.290001,66.779999,66.970001,66.970001,119000
2017-11-20,66.419998,66.419998,65.510002,65.970001,65.970001,114300
2017-11-21,66.959999,67.459999,66.660004,66.839996,66.839996,112100
2017-11-22,67.959999,68.480003,67.849998,68.470001,68.470001,105500
2017-11-24,68.459999,68.779999,68.190002,68.419998,68.419998,46200
2017-11-27,68.430000,68.739998,68.050003,68.190002,68.190002,57500
2017-11-28,68.239998,68.245003,67.989998,68.055000,68.055000,17722
