Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,6.740000,6.770000,6.730000,6.730000,6.730000,10173500
2017-10-31,6.770000,6.800000,6.730000,6.740000,6.740000,4609200
2017-11-01,6.750000,6.780000,6.730000,6.770000,6.770000,4339200
2017-11-02,6.700000,6.770000,6.690000,6.770000,6.770000,5580200
2017-11-03,6.610000,6.620000,6.550000,6.600000,6.600000,5565200
2017-11-06,6.520000,6.560000,6.500000,6.560000,6.560000,3409900
2017-11-07,6.550000,6.550000,6.450000,6.460000,6.460000,4171600
2017-11-08,6.450000,6.490000,6.420000,6.480000,6.480000,2685600
2017-11-09,6.470000,6.480000,6.400000,6.460000,6.460000,3905500
2017-11-10,6.510000,6.540000,6.450000,6.460000,6.460000,2640000
2017-11-13,6.410000,6.450000,6.400000,6.420000,6.420000,2929800
2017-11-14,6.430000,6.440000,6.390000,6.390000,6.390000,2978800
2017-11-15,6.380000,6.510000,6.370000,6.490000,6.490000,2835000
2017-11-16,6.530000,6.540000,6.490000,6.500000,6.500000,1747600
2017-11-17,6.490000,6.490000,6.440000,6.450000,6.450000,2476200
2017-11-20,6.450000,6.450000,6.390000,6.420000,6.420000,2975800
2017-11-21,6.420000,6.450000,6.400000,6.400000,6.400000,2581700
2017-11-22,6.480000,6.500000,6.440000,6.460000,6.460000,2747400
2017-11-24,6.620000,6.630000,6.580000,6.590000,6.590000,3021600
2017-11-27,6.620000,6.670000,6.600000,6.610000,6.610000,2881000
2017-11-28,6.620000,6.620000,6.580100,6.615000,6.615000,1210996
