Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,73.709999,74.440002,73.709999,73.930000,73.930000,150700
2017-10-31,74.040001,74.040001,73.570000,73.639999,73.639999,172000
2017-11-01,73.750000,74.379997,73.690002,73.809998,73.809998,141800
2017-11-02,74.209999,74.680000,73.930000,74.550003,74.550003,149700
2017-11-03,73.930000,73.930000,73.489998,73.580002,73.580002,113000
2017-11-06,73.480003,76.000000,73.480003,75.540001,75.540001,403400
2017-11-07,76.360001,76.809998,76.250000,76.660004,76.660004,232300
2017-11-08,75.300003,75.300003,74.669998,74.839996,74.839996,157800
2017-11-09,75.000000,75.019997,74.639999,74.870003,74.870003,154900
2017-11-10,74.500000,74.599998,74.220001,74.489998,74.489998,99600
2017-11-13,73.580002,73.769997,73.269997,73.519997,73.519997,90100
2017-11-14,72.510002,72.650002,71.639999,71.680000,71.680000,180700
2017-11-15,70.959999,71.160004,70.580002,70.980003,70.980003,160100
2017-11-16,71.160004,71.230003,70.800003,71.029999,71.029999,159600
2017-11-17,70.610001,70.800003,70.209999,70.650002,70.650002,167600
2017-11-20,69.980003,70.290001,69.860001,70.000000,70.000000,145500
2017-11-21,70.830002,71.169998,70.620003,70.809998,70.809998,146500
2017-11-22,71.699997,72.000000,71.339996,71.980003,71.980003,103500
2017-11-24,72.809998,72.849998,72.459999,72.580002,72.580002,48400
2017-11-27,72.750000,72.769997,72.269997,72.269997,72.269997,117100
2017-11-28,72.620003,72.559998,72.083000,72.160004,72.160004,45441
