Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,47.340000,47.660000,47.230000,47.430000,47.430000,1308600
2017-10-31,47.529999,47.570000,47.139999,47.279999,47.279999,1099700
2017-11-01,46.980000,47.150002,46.369999,46.480000,46.480000,1588800
2017-11-02,45.880001,46.389999,45.810001,46.220001,46.220001,1958300
2017-11-03,46.029999,46.080002,45.709999,45.740002,45.740002,805400
2017-11-06,46.119999,46.189999,45.970001,46.070000,46.070000,1238700
2017-11-07,45.520000,45.700001,45.360001,45.580002,45.580002,571300
2017-11-08,45.770000,46.009998,45.580002,45.880001,45.880001,825800
2017-11-09,45.340000,45.520000,45.070000,45.419998,45.419998,1648600
2017-11-10,45.009998,45.119999,44.900002,45.000000,45.000000,1525500
2017-11-13,44.400002,44.779999,44.360001,44.639999,44.639999,646500
2017-11-14,44.560001,44.680000,44.380001,44.650002,44.650002,610900
2017-11-15,44.470001,44.770000,44.450001,44.660000,44.660000,812800
2017-11-16,44.500000,44.810001,44.490002,44.650002,44.650002,1053000
2017-11-17,44.560001,44.720001,44.400002,44.540001,44.540001,661400
2017-11-20,44.619999,44.660000,44.320000,44.320000,44.320000,613700
2017-11-21,44.439999,45.000000,44.439999,44.790001,44.790001,858500
2017-11-22,45.450001,45.630001,45.119999,45.369999,45.369999,968700
2017-11-24,45.980000,46.250000,45.820000,46.099998,46.099998,523800
2017-11-27,46.110001,46.189999,45.580002,45.610001,45.610001,1209700
2017-11-28,46.000000,46.070000,45.799999,45.970001,45.970001,1258453
