Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,56.660000,56.880001,56.590000,56.799999,56.799999,884700
2017-10-31,56.549999,57.060001,56.500000,56.849998,56.849998,996800
2017-11-01,57.020000,57.150002,56.779999,56.869999,56.869999,1227400
2017-11-02,57.169998,57.349998,56.830002,57.320000,57.320000,969900
2017-11-03,57.490002,57.619999,57.189999,57.419998,57.419998,688900
2017-11-06,57.380001,57.639999,57.270000,57.599998,57.599998,561400
2017-11-07,57.470001,57.490002,57.160000,57.480000,57.480000,650300
2017-11-08,57.630001,57.709999,57.369999,57.599998,57.599998,651000
2017-11-09,57.419998,57.580002,57.250000,57.570000,57.570000,673200
2017-11-10,57.430000,57.509998,57.060001,57.330002,57.330002,564500
2017-11-13,56.950001,57.290001,56.860001,57.169998,57.169998,667000
2017-11-14,57.060001,57.369999,56.869999,57.230000,57.230000,701700
2017-11-15,56.799999,57.259998,56.740002,57.099998,57.099998,689900
2017-11-16,57.169998,57.540001,57.169998,57.389999,57.389999,562200
2017-11-17,57.230000,57.740002,57.130001,57.630001,57.630001,775900
2017-11-20,57.470001,57.799999,57.400002,57.650002,57.650002,736400
2017-11-21,57.939999,58.290001,57.849998,58.080002,58.080002,975000
2017-11-22,58.259998,58.759998,58.240002,58.669998,58.669998,1123500
2017-11-24,58.520000,58.529999,58.320000,58.380001,58.380001,297000
2017-11-27,58.480000,58.480000,58.049999,58.070000,58.070000,564300
2017-11-28,58.060001,58.143398,57.790001,57.924999,57.924999,351714
