Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,83.709999,83.949997,83.410004,83.540001,82.773941,7811100
2017-10-31,83.650002,83.680000,83.169998,83.349998,82.585686,9754200
2017-11-01,83.389999,83.940002,83.260002,83.870003,83.100922,9430000
2017-11-02,83.599998,83.709999,82.910004,83.529999,82.764030,7775500
2017-11-03,83.419998,83.639999,83.160004,83.180000,82.417244,6903500
2017-11-06,83.300003,83.870003,83.059998,83.750000,82.982018,9276700
2017-11-07,83.739998,83.820000,83.029999,83.580002,82.813576,8471800
2017-11-08,83.360001,83.500000,82.860001,83.470001,82.704590,8691600
2017-11-09,83.300003,84.139999,83.080002,83.970001,83.200005,10528800
2017-11-10,83.010002,83.080002,82.419998,82.940002,82.940002,8693700
2017-11-13,82.650002,83.089996,82.599998,82.889999,82.889999,6720400
2017-11-14,82.419998,82.750000,82.089996,82.239998,82.239998,9251700
2017-11-15,81.750000,82.089996,81.150002,81.209999,81.209999,9663600
2017-11-16,80.440002,80.849998,80.150002,80.559998,80.559998,10527200
2017-11-17,80.320000,80.660004,80.160004,80.239998,80.239998,9536400
2017-11-20,80.230003,80.639999,80.010002,80.550003,80.550003,8468600
2017-11-21,80.690002,81.250000,80.639999,80.870003,80.870003,8838400
2017-11-22,81.160004,81.410004,81.050003,81.099998,81.099998,7941600
2017-11-24,81.440002,81.699997,81.220001,81.419998,81.419998,3851300
2017-11-27,81.320000,81.400002,81.019997,81.110001,81.110001,8693600
2017-11-28,81.410004,81.992996,81.309998,81.699997,81.699997,2757579
