Date,Title,Link,Status,Source
"""Nov 21, 2017""","""What Is Altaba Inc. Up\u00a0To?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/20/what-is-altaba-inc-up-to.aspx&cid=52779683476475&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNHzjvfkZjobcIsvtJmuXkJIwdiLnw""",1,"""Motley Fool"""
"""15 hours ago""","""Analytical Guide for two rising stock's: Merck & Co., Inc. (MRK), Altaba Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/analytical-guide-for-two-rising-stocks-merck-co-inc-mrk-altaba-inc-aaba/&cid=52779693752498&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNHcZzFUdtY1Tlh9FsO4IOg3kdj6FA""",2,"""StockNewsJournal"""
"""12 hours ago""","""An Eye On Valuation Metrics Of Altaba Inc. (AABA), Synergy Pharmaceuticals Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/an-eye-on-valuation-metrics-of-altaba-inc-aaba-synergy-pharmaceuticals-inc-sgyp/&cid=52779694067726&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNG-X5SilUPkD3ivoCZ-TseEIFHCdA""",3,"""Post Analyst"""
"""Nov 27, 2017""","""The Bull Case for Altaba Inc.\u00a0(AABA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/the-bull-case-for-altaba-inc-aaba/&cid=52779694132685&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNGj-jHMNpPfOb1PlZHVgOxqSJQT3A""",4,"""Economic News"""
"""Nov 15, 2017""","""Howard Marks Buys Altaba Inc, Vale SA, Crown Castle International Corp, Sells\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/howard-marks-buys-altaba-inc-vale-sa-crown-castle-international-corp-sells-vale-sa-first-cm877582&cid=52779677304092&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNGgFyXl9bAoxe-RLKd_3rdxbsRxtA""",5,"""Nasdaq"""
"""Nov 15, 2017""","""Steven Cohen Buys Time Warner Inc, Altaba Inc, Amazon.com Inc, Sells Visa Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/steven-cohen-buys-time-warner-inc-altaba-inc-amazoncom-inc-sells-visa-inc-jd-cm878038&cid=52779677508605&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNGj8XYYJfbDe0H4-olSgdxPovqK1g""",6,"""Nasdaq"""
"""Nov 15, 2017""","""John Paulson Buys Altaba Inc, Calpine Corp, EQT Corp, Sells American\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/john-paulson-buys-altaba-inc-calpine-corp-eqt-corp-sells-american-international-group-inc-cm878041&cid=0&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNEG14atZYsW7Nw6PjeTES5DhhkgLQ""",7,"""Nasdaq"""
"""Nov 16, 2017""","""Bluefin Trading, LLC Buys Time Warner Inc, Altaba Inc, Arconic Inc, Sells\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/bluefin-trading-llc-buys-time-warner-inc-altaba-inc-arconic-inc-sells-allied-world-cm878859&cid=0&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNGYMIU_YnMykjFm3IVJxYhsFtgdkw""",8,"""Nasdaq"""
"""9 hours ago""","""Latest Tally Of Analyst Opinions: Halliburton Company (HAL), Altaba Inc.\u00a0(AABA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/latest-tally-of-analyst-opinions-halliburton-company-hal-altaba-inc-aaba/&cid=52779694659234&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNFxGGyHgQ8GfVH6igCbVCi964XuXA""",9,"""AllStockNews"""
"""Nov 28, 2017""","""Take This As A Wake-Up Call: Altaba Inc. (AABA), Nektar Therapeutics\u00a0(NKTR)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/28/take-this-as-a-wake-up-call-altaba-inc-aaba-nektar-therapeutics-nktr/&cid=52779692719462&ei=8osfWuCVGMTg2Aa3y6-YAw&usg=AFQjCNHfPX4pfRSigN8x1U2Lb4iojREVHQ""",10,"""AllStockNews"""
