Date,Title,Link,Status,Source
"""Nov 28, 2017""","""American Airlines and Mastercard Stand Up in the Fight Against\u00a0Cancer""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/28/1206827/0/en/American-Airlines-and-Mastercard-Stand-Up-in-the-Fight-Against-Cancer.html&cid=52779694754583&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNHC-DCJVb251bBxmmxXpk1WeqaGAw""",1,"""GlobeNewswire (press release)"""
"""11 hours ago""","""Today's Brokerage Rating: E*TRADE Financial Corporation (ETFC), American\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/todays-brokerage-rating-etrade-financial-corporation-etfc-american-airlines-group-inc-aal/&cid=52779697307594&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNED4Z1f4aRSVpOGVy4KjdXKJkLbOw""",2,"""StockNewsJournal"""
"""Nov 17, 2017""","""RWC Asset Management LLP Buys The Kroger Co, American Airlines Group Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/rwc-asset-management-llp-buys-the-kroger-co-american-airlines-group-inc-progress-software-cm879371&cid=52779680205002&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNELfj-e0vQQ9KSEoaUOrvJnJC8cHw""",3,"""Nasdaq"""
"""Nov 9, 2017""","""American Airlines Group, Inc. (AAL) Ex-Dividend Date Scheduled for November 10\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/american-airlines-group-inc-aal-ex-dividend-date-scheduled-for-november-10-2017-cm874500&cid=52779668664777&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNEIadoCgKF2vwCzbNFR1OR_1L0dNQ""",4,"""Nasdaq"""
"""9 hours ago""","""American Airlines Group Inc. (AAL) and Spirit Airlines, Inc. (SAVE) Go Head-to\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsgazette.com/2017/11/29/american-airlines-group-inc-aal-and-spirit-airlines-inc-save-go-head-to-head/&cid=52779693807916&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNFuJhzA-26hi_g8Jl5j2dJ5o6Ca-A""",5,"""StockNewsGazette"""
"""16 hours ago""","""American Airlines to Launch More Flights to Canada in\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284406/american-airlines-to-launch-more-flights-to-canada-in-2018&cid=52779695138736&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNGOm-WxMr779NmasWDpksdUAwkisA""",6,"""Zacks.com"""
"""Nov 8, 2017""","""Ex-Dividend Reminder: American Airlines Group, Astec Industries and Rockwell\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/dividendchannel/2017/11/08/ex-dividend-reminder-american-airlines-group-astec-industries-and-rockwell-automation/&cid=52779665945208&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNF2O4ldyT2WQRw_RacNndsIiabKeA""",7,"""Forbes"""
"""14 hours ago""","""Diehard Bargain Hunter: Sinclair Broadcast Group, Inc. (SBGI), American\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/diehard-bargain-hunter-sinclair-broadcast-group-inc-sbgi-american-airlines-group-inc-aal/&cid=52779695735442&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNF-1OvhFEemfCf2JLhH71P7ioD7fQ""",8,"""AllStockNews"""
"""Nov 20, 2017""","""Workers At American Airlines Subsidiary Say Starting Hourly Pay Is Too\u00a0Low""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/tedreed/2017/11/20/workers-at-american-airlines-subsidiary-say-starting-hourly-pay-of-9-70-is-too-little/&cid=0&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNHNk_qps8vQXB7OkiQoQySBrPCG0A""",9,"""Forbes"""
"""Nov 29, 2017""","""American Airlines Group (AAL) Upgraded at Zacks Investment\u00a0Research""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/american-airlines-group-inc-aal-stock-rating-upgraded-by-zacks-investment-research.html&cid=52779689923184&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNEsbpSUtXedwETUX6g5Syhrr7YI1Q""",Not Reachable,"""The Ledger Gazette"""
"""Nov 14, 2017""","""American Airlines Sky Ball XV Raises $3.1 Million for Military and Veterans\u00a0Causes""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/14/1186093/0/en/American-Airlines-Sky-Ball-XV-Raises-3-1-Million-for-Military-and-Veterans-Causes.html&cid=52779676103033&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNHnv51z2ZDYq6NfkI61xAWwZ2TnAQ""",10,"""GlobeNewswire (press release)"""
"""10 hours ago""","""American Airlines Group Inc. (AAL) price to earnings P/E ratio stands at\u00a012.52""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/29/american-airlines-group-inc-aal-price-to-earnings-p-e-ratio-stands-at-12-52/&cid=52779696526636&ei=B44fWpCvNI3kjAHx2JK4Cg&usg=AFQjCNEOwWfY9iMbrM7D3iHei4-qtCCmlg""",11,"""Street Observer (press release)"""
