Date,Title,Link,Status,Source
"""11 hours ago""","""Apple to audit development processes after Mac bug\u00a0discovered""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-apple-cyber/apple-to-audit-development-processes-after-mac-bug-discovered-idUSKBN1DT2TJ&cid=52779695194131&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNH3VNl6_2k052KVB4-0aAZKSUqiig""",1,"""Reuters"""
"""17 hours ago""","""Some Great News for Apple Inc.'s iPhone X\u00a0Sales""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/29/some-great-news-for-apple-incs-iphone-x-sales.aspx&cid=52779694278607&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNFgucT3Y66nAmB430o6ejxnmU4D-g""",2,"""Motley Fool"""
"""Nov 27, 2017""","""Why This Apple Inc. iPhone Rumor Probably Isn't\u00a0True""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/27/why-this-apple-inc-iphone-rumor-probably-isnt-true.aspx&cid=52779691557105&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNFwMWKojtxE9r7ck0cWcCldyOjplA""",3,"""Motley Fool"""
"""6 hours ago""","""Maybe I Was Wrong About This Apple Inc. iPhone\u00a0Prediction""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/29/maybe-i-was-wrong-about-this-apple-inc-iphone-pred.aspx&cid=0&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNGg_N1JQT7te7Hkd9O6nla5RSHjAQ""",4,"""Motley Fool"""
"""13 hours ago""","""Amazon.com, Inc., Apple Inc. and Nintendo Co. Ride Huge Cyber Monday\u00a0Growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/amazon-apple-nintendo-ride-cyber-monday/&cid=52779696699321&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNERTnKOwJkS0vlTPa8wAiUZPNyhlA""",5,"""Investorplace.com"""
"""Nov 23, 2017""","""3 Big Focus Areas for Apple Inc.'s 2018 Premium\u00a0iPhones""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/23/3-big-focus-areas-for-apple-incs-2018-premium-ipho.aspx&cid=52779686770226&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNFAqnSKTytWejS-ni4p_wPj07e11g""",6,"""Motley Fool"""
"""Nov 25, 2017""","""Apple, Inc. Sales and Earnings Are Set to Soar, Thanks to the iPhone\u00a0X""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/25/apple-inc-sales-and-earnings-are-set-to-soar-thank.aspx&cid=52779689917043&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNEjB0XRnlB_E3-Pfcfzbn4TwxvpbA""",7,"""Motley Fool"""
"""Nov 24, 2017""","""Apple: Macs Don't Get Enough\u00a0Love""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127457-apple-macs-get-enough-love&cid=0&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNFK7jvM5WqLyJpnSUoWWWz8pRcbIA""",Not Reachable,"""Seeking Alpha"""
"""Nov 7, 2017""","""Investors Shrug off Apple Inc. (AAPL) iPhone\u00a0Bug""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-07/apple-inc-aapl-iphone-x-bug&cid=52779665152754&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNF5aP6bk0EC6onGrY1OcK2aCB_RDg""",Not Reachable,"""U.S. News & World Report"""
"""Nov 27, 2017""","""Apple Services: The Nitrous In Apple's Profit\u00a0Engine""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127856-apple-services-nitrous-apples-profit-engine&cid=52779692026726&ei=VpAfWpGMFpCYjAHh6anQCA&usg=AFQjCNE_cG8ZsSODFDdrkOSHvqZ39rJ71A""",8,"""Seeking Alpha"""
