Date,Title,Link,Status,Source
"""6 hours ago""","""Analog Devices Inc. (ADI) Moves Lower on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/analog-devices-inc-adi-moves-lower-on-volume-spike-for-november-29&cid=52779697042915&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNFLjtWtcsqDoOjmPLEyWVgkmAq0Uw""",Not Reachable,"""Equities.com"""
"""Nov 27, 2017""","""Peak Earnings In Analog\u00a0Devices?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127743-peak-earnings-analog-devices&cid=0&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNEVzBwAsMW8ajs3BqdIcTPTV0hfzA""",Not Reachable,"""Seeking Alpha"""
"""Nov 28, 2017""","""Here's Why You Should Bet on Analog Devices (ADI)\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284242/heres-why-you-should-bet-on-analog-devices-adi-stock&cid=52779693023259&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNHvr2VKECud3DDmvF8ygqx7Znmcyw""",1,"""Zacks.com"""
"""Nov 20, 2017""","""Analog Devices Inc. (ADI) Rises 2.93% for November\u00a020""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/analog-devices-inc-adi-rises-2-93-for-november-20&cid=52779680660480&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNE9efMhzXpm921sjjOSe846EnIYNg""",Not Reachable,"""Equities.com"""
"""Nov 1, 2017""","""Montag & Caldwell, Llc Buys eBay Inc, Sherwin-Williams Co, Analog Devices Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/montag-caldwell-llc-buys-ebay-inc-sherwin-williams-co-analog-devices-inc-sells-cm870089&cid=0&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNG3GsZzWyyCgphgPFedoUZNmssSow""",2,"""Nasdaq"""
"""Nov 2, 2017""","""Analog Devices, Inc. to Report Fourth Quarter and Fiscal Year 2017 Financial\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171102005974/en/Analog-Devices-Report-Fourth-Quarter-Fiscal-Year&cid=52779659842974&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNHH7tG63lRD6GYSZ4GbTn2Qi1fYaw""",3,"""Business Wire (press release)"""
"""10 hours ago""","""Investors Still Pinning Hopes On Analog Devices, Inc. (ADI), Glu Mobile Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/investors-still-pinning-hopes-on-analog-devices-inc-adi-glu-mobile-inc-gluu/&cid=52779689089440&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNGTt5JXlrkKMyT0MYXlqEpXnRpyQQ""",4,"""Post Analyst"""
"""Nov 11, 2017""","""Lifshitz & Miller LLP Announces Investigation of Analog Devices, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/lifshitz--miller-llp-announces-investigation-of-analog-devices-inc-fidelity-national-information-services-inc-ford-motor-company-gartner-inc-general-electric-company-genocea-biosciences-inc-and-oracle-corporation-300553970.html&cid=52779671020676&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNEyrWMoEfct86EW70KKiHnhZhZZAg""",5,"""PR Newswire (press release)"""
"""Nov 21, 2017""","""Analog Devices (ADI) Tops Q4 Earnings and Revenue\u00a0Estimates""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/analog-devices-adi-tops-q4-earnings-and-revenue-estimates-cm880901&cid=52779683599063&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNFAGWHgN1FQb_8SseQt7jY1rC7R_g""",6,"""Nasdaq"""
"""Nov 27, 2017""","""Reading the Tea Leaves for Analog Devices, Inc.\u00a0(ADI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/reading-the-tea-leaves-for-analog-devices-inc-adi/&cid=52779694659294&ei=FJQfWtG1HcTejAGf24XwCA&usg=AFQjCNH0E9LBTX4lN1EY3sHqOQwQuheiCw""",7,"""Economic News"""
