Date,Title,Link,Status,Source
"""Nov 28, 2017""","""CME Group Takes Over #114 Spot From Automatic Data\u00a0Processing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/cme-group-takes-over-114-spot-from-automatic-data-processing-cm883600&cid=52779691859390&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNGGuFTKMkvuIAJLtiwYOUYeXW6HpQ""",1,"""Nasdaq"""
"""Nov 2, 2017""","""Automatic Data Processing (ADP) Q1 2018 Results - Earnings Call\u00a0Transcript""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119752-automatic-data-processing-adp-q1-2018-results-earnings-call-transcript&cid=52779658612126&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNHO5p113rX4Op3iQJaOKrfoKcP9Nw""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""Automatic Data Processing a Top Ranked SAFE Dividend Stock With 2.3% Yield\u00a0(ADP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/automatic-data-processing-a-top-ranked-safe-dividend-stock-with-23-yield-adp-cm880511&cid=52779683357478&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNEkIZr8jLMbQ-IGh6ns6lE0ZYrRlg""",2,"""Nasdaq"""
"""3 hours ago""","""Ally Financial Inc. Invests $1.03 Million in Automatic Data Processing, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/ally-financial-inc-purchases-new-position-in-automatic-data-processing-adp.html&cid=52779696906262&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNFcovjBGxVX8D3MujqkMkJdUwjBvQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 16, 2017""","""See Which Of The Latest 13F Filers Holds Automatic Data\u00a0Processing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/see-which-of-the-latest-13f-filers-holds-automatic-data-processing-cm878699&cid=52779676980961&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNHBLmy85f8o5mOXvInyKXAjlMTTfg""",3,"""Nasdaq"""
"""Nov 6, 2017""","""Automatic Data Processing to announce dividend\u00a0increase""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/automatic-data-processing-to-announce-dividend-increase-cm871951&cid=52779661597636&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNHlkNCL54aJ0W39ITy-iAo8BHfaRw""",4,"""Nasdaq"""
"""Nov 10, 2017""","""Automatic Data Processing Leads 7 Dividend Stocks Boosting\u00a0Payouts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/adp-leads-7-dividend-stocks-boosting-payouts/&cid=52779668834011&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNGJTFa15NO4MhixBUITa7zxEcORmg""",5,"""Investorplace.com"""
"""Nov 14, 2017""","""Bill Ackman Buys Automatic Data Processing Inc, Sells Restaurant Brands\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/bill-ackman-buys-automatic-data-processing-inc-sells-restaurant-brands-international-inc-cm878006&cid=52779677855527&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNHwNeT_2NNshV7SvYzm4ufbIYaopg""",6,"""Nasdaq"""
"""Oct 31, 2017""","""ADP to Submit SEC Complaint Against\u00a0Ackman""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-10-31/adp-to-submit-sec-complaint-against-ackman-as-fight-heats-up&cid=52779657584990&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNHep5Q9JbrAYHqfzM2WnzemW_0idw""",7,"""Bloomberg"""
"""Nov 10, 2017""","""ADP: Great Business, But Not The Best In Its\u00a0Industry""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4123232-adp-great-business-best-industry&cid=0&ei=CJYfWvG2J4GG2Ab8_LzoDA&usg=AFQjCNFDwJ6Bb4K-5x5aBeiZY8dQ5g7H_Q""",8,"""Seeking Alpha"""
