Date,Title,Link,Status,Source
"""Nov 20, 2017""","""It's Not Too Late to Buy Align Technology, Inc.\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/not-too-late-to-buy-align-technology-inc-algn-stock/&cid=52779679944905&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNEYiPeCYYY-zV6kOssO3RlI1o49VA""",1,"""Investorplace.com"""
"""Nov 28, 2017""","""Align Technology (ALGN) Grows on InvisAlign System\u00a0Strength""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/align-technology-algn-grows-on-invisalign-system-strength-cm883342&cid=52779694715327&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNFT4FofUflcyF98UQMLREVYlfnKmA""",2,"""Nasdaq"""
"""Nov 23, 2017""","""Here's Why You Should Invest in Align Technology (ALGN)\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/heres-why-you-should-invest-in-align-technology-algn-now-cm881812&cid=52779686125228&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNHgSHWM0GhltxefEZE0Mn_aOrembg""",3,"""Nasdaq"""
"""11 hours ago""","""Now Is The Time To Reconsider Align Technology, Inc. (ALGN), Applied Materials\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/now-is-the-time-to-reconsider-align-technology-inc-algn-applied-materials-inc-amat/&cid=52779694951988&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNGlkQhOErDaduAVWdnoRCdFk8gP_g""",4,"""AllStockNews"""
"""Nov 8, 2017""","""Align Technology at 52-Week High: What's Driving the\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finance.yahoo.com/news/align-technology-52-week-high-121912808.html&cid=52779667289930&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNFta1D-Z1n2MMnQsNnMuqcdxPhSFg""",5,"""Yahoo Finance"""
"""Nov 20, 2017""","""Align Technology-Glidewell Dental Deal to Boost iTero\u00a0Uptake""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/align-technology-glidewell-dental-deal-to-boost-itero-uptake-cm880087&cid=52779683742052&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNHUDL0gx2qVmsCmCKkFEQUhyOdnOg""",6,"""Nasdaq"""
"""Nov 28, 2017""","""The Zacks Analyst Blog Highlights: IDEXX Laboratories, Luminex, Masimo, Align\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/the-zacks-analyst-blog-highlights-idexx-laboratories-luminex-masimo-align-technology-and-cooper-companies-cm883010&cid=52779693023259&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNHxwKlsOYg11DEJjSjdmc9D-h6vdA""",7,"""Nasdaq"""
"""Nov 21, 2017""","""Premarket analyst action -\u00a0healthcare""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3313793-premarket-analyst-action-healthcare&cid=52779684983483&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNGSU66KvYK6eQfqxTf7odObxMZfqw""",Not Reachable,"""Seeking Alpha"""
"""Nov 2, 2017""","""Align Technology (ALGN) Gains on InvisAlign, Competition\u00a0Rife""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/align-technology-algn-gains-on-invisalign-competition-rife-cm870524&cid=52779659435796&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNF1y84NIFPwyg-K4vWktNsZMpHyoQ""",8,"""Nasdaq"""
"""Nov 21, 2017""","""IFM Investors Pty Ltd Buys DowDuPont Inc, Align Technology Inc, Andeavor\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/600181/ifm-investors-pty-ltd-buys-dowdupont-inc-align-technology-inc-andeavor-sells-ei-du-pont-de-nemours-baker-hughes-inc-reynolds-american-inc&cid=52779685593132&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNF685-MY0nssyyIxuKF99XrqU532Q""",9,"""GuruFocus.com"""
"""Nov 22, 2017""","""Align Technology's Big Rally Is Starting to\u00a0Slow""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://realmoney.thestreet.com/articles/11/22/2017/align-technologys-big-rally-starting-slow&cid=52779684625204&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNEzJ0Hc_N5jqZhDRnZaVkZsRN9wWQ""",Not Reachable,"""TheStreet.com"""
"""Nov 14, 2017""","""Align Technology Files Six Patent Infringement Lawsuits Asserting 26 Patents\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.marketwired.com/press-release/align-technology-files-six-patent-infringement-lawsuits-asserting-26-patents-against-2240706.htm&cid=52779676252465&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNH2gBOub-DWXNOCvm3Q-grSEfcWqw""",10,"""Marketwired (press release)"""
"""Nov 23, 2017""","""Today's Brokerage Rating: Align Technology, Inc. (ALGN), WEC Energy Group, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/23/todays-brokerage-rating-align-technology-inc-algn-wec-energy-group-inc-wec/&cid=52779685043746&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNFrZvBhJgkdwL1r0pzaVCh8xdNEqg""",11,"""StockNewsJournal"""
"""14 hours ago""","""Stock Review: Tracking Shares of Align Technology, Inc.\u00a0(NASDAQ:ALGN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/stock-review-tracking-shares-of-align-technology-inc-nasdaqalgn/&cid=52779693170235&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNHqLFndw7T463OpRyilTvYiivJHHg""",12,"""Stock Talker"""
"""Nov 17, 2017""","""Align Technology Expands Distribution for iTero Element\ufffdand Enhances Same-Day\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.marketwired.com/press-release/align-technology-expands-distribution-itero-elementrand-enhances-same-day-dental-restorations-nasdaq-algn-2241137.htm&cid=52779679923136&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNEvlYz0YXWCx_2Vg0lM6oMa0OgBfg""",13,"""Marketwired (press release)"""
"""Nov 28, 2017""","""Financially Devastating or Fantastic? \u2013 Hertz Global Holdings, Inc. (HTZ\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/28/financially-devastating-or-fantastic-hertz-global-holdings-inc-htz-align-technology-inc-algn/&cid=52779693157199&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNHhsrBcofRhxiCwvHWjs1Lh99zFhw""",14,"""StockNewsGazette"""
"""Nov 28, 2017""","""L Brands and Align Technology Rose on November\u00a027""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://marketrealist.com/2017/11/l-brands-align-technology-inc-surge-higher-november-27/&cid=52779694670204&ei=DZsfWsniAYTZjAHpqpfYCw&usg=AFQjCNHYTE6vtUIaOw32TqOL8GNRaWpD4w""",15,"""Market Realist"""
