Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Alexion (ALXN) Down 14.6% Since Earnings Report: Can It\u00a0Rebound?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/alexion-alxn-down-146-since-earnings-report-can-it-rebound-cm882955&cid=52779689520600&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNGWHGluqevqzQ_fEzzMJFwbJeqc_g""",1,"""Nasdaq"""
"""5 hours ago""","""TheStreet Downgrades Alexion Pharmaceuticals (ALXN) to\u00a0C+""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/thestreet-downgrades-alexion-pharmaceuticals-inc-alxn-to-c.html&cid=52779695972763&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNEdLfuSm36c2IVDcgZR2SR5c1tJoA""",Not Reachable,"""The Ledger Gazette"""
"""Nov 7, 2017""","""The Clear-Cut Reason Alexion Pharmaceuticals Tanked 15% in\u00a0October""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/07/the-clear-cut-reason-alexion-pharmaceuticals-tanke.aspx&cid=52779663573752&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNHDvUEFzUkr2tIjbBMlxakLHMKvZg""",2,"""Motley Fool"""
"""13 hours ago""","""Alexion Pharmaceuticals, Inc. (ALXN) \u2013 Short Term Technical\u00a0look""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.stocksgallery.com/2017/11/29/alexion-pharmaceuticals-inc-alxn-short-term-technical-look/&cid=52779693379498&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNG7pZiL63QHuxsqrWp59LeVHriAuQ""",3,"""Stocks Gallery"""
"""11 hours ago""","""Technical Secrets: Alexion Pharmaceuticals, Inc. (NASDAQ:\u00a0ALXN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.hotstockspoint.com/2017/11/technical-secrets-alexion-pharmaceuticals-inc-nasdaq-alxn/&cid=52779696367300&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNHZpN7Y8p_Vd2yGORwgZjoUwqVXpw""",4,"""Hot Stocks Point"""
"""Nov 15, 2017""","""3 Big Stock Charts for Wednesday: Alexion Pharmaceuticals, Inc., Alliance Data\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/3-big-stock-charts-for-wednesday-alexion-pharmaceuticals-inc-alxn-alliance-data-systems-corporation-ads-and-snap-on-incorporated-sna/&cid=52779674379717&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNGjgCRRQhXrDuZr7wKTcguynz-k7Q""",5,"""Investorplace.com"""
"""Nov 22, 2017""","""Revenue Approximations Analysis: Henry Schein, Inc. (HSIC), Alexion\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/22/revenue-approximations-analysis-henry-schein-inc-hsic-alexion-pharmaceuticals-inc-alxn/&cid=52779684575136&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNHyXyZEp2w1If0U4bmTXSi0CHD-6w""",6,"""StockNewsJournal"""
"""14 hours ago""","""Tracking Analyst Views on Shares of Alexion Pharmaceuticals, Inc.\u00a0(NASDAQ:ALXN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/tracking-analyst-views-on-shares-of-alexion-pharmaceuticals-inc-nasdaqalxn/&cid=52779695468544&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNHQF0v0beICD7XTuyGaqz3RDBX1rg""",7,"""Stock Talker"""
"""Oct 31, 2017""","""Alexion Pharmaceuticals Inc. (ALXN) Dips 6.38% for October\u00a031""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/alexion-pharmaceuticals-inc-alxn-dips-6-38-for-october-31&cid=52779657715616&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNEJRP5H0Uhjh4w09sXUqNTj3yj0EQ""",Not Reachable,"""Equities.com"""
"""Oct 30, 2017""","""Alexion to Present at the Citi 2017 Global Healthcare\u00a0Conference""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171127005169/en/Alexion-Present-Citi-2017-Global-Healthcare-Conference&cid=0&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNEA09GuMvWd9pj5xcW4RSSi5ssSvQ""",8,"""Business Wire (press release)"""
"""Nov 7, 2017""","""Weak Sales Growth Drop Alexion Pharmaceuticals (ALXN) to\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/weak-sales-growth-drop-alexion-pharmaceuticals-alxn-to-sell/&cid=52779665675398&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNG2NvQKWbgl1P1wkzs5KtCsiICzHg""",9,"""Investorplace.com"""
"""17 hours ago""","""An easy way to pick winning stocks: Alexion Pharmaceuticals, Inc. (ALXN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/29/an-easy-way-to-pick-winning-stocks-alexion-pharmaceuticals-inc-alxn-prologis-inc-pld/&cid=52779696316453&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNFcG5hYUEVPRaWSv43JEmEzJ_yDgg""",10,"""USA Commerce Daily"""
"""Nov 28, 2017""","""Hot Stocks Among Investors: SLM Corporation (SLM), Alexion Pharmaceuticals\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/28/hot-stocks-among-investors-slm-corporation-slm-alexion-pharmaceuticals-inc-alxn/&cid=52779694714204&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNFrElZi_O0w7JH3FuR7tHS7o5eDrQ""",11,"""Post Analyst"""
"""Nov 3, 2017""","""Alexion Pharmaceuticals, Inc. (ALXN): What's the\u00a0Story?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/03/alexion-pharmaceuticals-inc-alxn-whats-the-story-3/&cid=52779660205943&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNEv_h9M3j6G4Quuqvb7Q6wmTY_3aw""",12,"""StockNewsJournal"""
"""Nov 24, 2017""","""Why Investors remained buoyant on: Omega Healthcare Investors, Inc. (OHI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/why-investors-remained-buoyant-on-omega-healthcare-investors-inc-ohi-alexion-pharmaceuticals-inc-alxn/&cid=52779684533288&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNHJzvVqtrst2e-IsUAPEgEj-UmXHw""",13,"""StockNewsJournal"""
"""Nov 24, 2017""","""Alexion Pharmaceuticals, Inc. (ALXN) Shares Sold by Gabelli Funds\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/24/gabelli-funds-llc-sells-9800-shares-of-alexion-pharmaceuticals-inc-alxn.html&cid=52779684988855&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNGxmzg1jroN8ACfSmJz5LTrSxS4DQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 27, 2017""","""A Side-by-side Analysis of Alexion Pharmaceuticals, Inc. (ALXN) and Vertex\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/a-side-by-side-analysis-of-alexion-pharmaceuticals-inc-alxn-and-vertex-pharmaceuticals-incorporated-vrtx/&cid=52779690547485&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNHhXSw6BNLllRAsQPQHgdNpyXpTDQ""",14,"""Economic News"""
"""9 hours ago""","""Alexion Pharmaceuticals, Inc. (NASDAQ:ALXN) \u2013 Important Factors to Analyse A\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://nasdaqjournal.com/index.php/2017/11/29/alexion-pharmaceuticals-inc-nasdaqalxn-important-factors-to-analyse-a-good-investment/&cid=52779696379998&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNEp_FOhQXg0vxAmkG9ctDG8lmyHCw""",15,"""Nasdaq Journal (press release)"""
"""Nov 16, 2017""","""Today's Brokerage Rating: Alexion Pharmaceuticals, Inc. (ALXN), Advance Auto\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/16/todays-brokerage-rating-alexion-pharmaceuticals-inc-alxn-advance-auto-parts-inc-aap/&cid=52779677969966&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNFLEGkzbEzojHM4hItGVU9XsUgP_Q""",16,"""StockNewsJournal"""
"""17 hours ago""","""Notable Stocks Intraday Alert: Alexion Pharmaceuticals, Inc., (NASDAQ: ALXN\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/29/notable-stocks-intraday-alert-alexion-pharmaceuticals-inc-nasdaq-alxn-g-iii-apparel-group-ltd-nasdaq-giii-mitsubishi-ufj-financial-group-inc-nyse-mtu-energy-transfer-equity-l-p/&cid=52779690486367&ei=q5wfWonuEsTg2Aa3y6-YAw&usg=AFQjCNF5Crm_fe1w-yjU7rtlNpkZnmL8uA""",17,"""Stocks In The News (press release)"""
