Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Booming\u00a0Chips""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128050-booming-chips&cid=0&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNEJQ92rvBZfwGXTXbjYkkK0bAXSOA""",Not Reachable,"""Seeking Alpha"""
"""Nov 26, 2017""","""Applied Materials: There's Still Time To Get On Board The Growth\u00a0Train""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127692-applied-materials-still-time-get-board-growth-train&cid=52779691736884&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNELT4ueUOjRkIsADZzVpKYHxEtxIg""",Not Reachable,"""Seeking Alpha"""
"""Nov 20, 2017""","""Applied Materials Beats, Raises, CEO Gets\u00a0Bullish""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126618-applied-materials-beats-raises-ceo-gets-bullish&cid=52779680452892&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNFhy1hOm22nFHD60NR4617kEKk0RQ""",Not Reachable,"""Seeking Alpha"""
"""17 hours ago""","""Implied Volatility Surging for Applied Materials (AMAT) Stock Options November\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.zacks.com/stock/news/284410/implied-volatility-surging-for-applied-materials-amat-stock-options&cid=52779696100878&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNEKre9twpe1ydG354Xzvq2yQGwV6w""",1,"""Zacks.com"""
"""Nov 22, 2017""","""The Applied Materials Super-Cycle Is In Full\u00a0Swing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127198-applied-materials-super-cycle-full-swing&cid=0&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNHXPYZZpUzBaSShShAJQeC5sJlNhg""",Not Reachable,"""Seeking Alpha"""
"""Nov 17, 2017""","""Applied Materials In Danger Of Losing Top Semiconductor Equipment\u00a0Ranking""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126032-applied-materials-danger-losing-top-semiconductor-equipment-ranking&cid=52779678106025&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNHVln58QZS13Sw_x_mEG2FNmlzlow""",Not Reachable,"""Seeking Alpha"""
"""Nov 20, 2017""","""Ex-Dividend Reminder: Navigators Group, CDW and Applied\u00a0Materials""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/dividendchannel/2017/11/20/ex-dividend-reminder-navigators-group-cdw-and-applied-materials/&cid=52779681056538&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNG-zrCa1rIpTsMPRufUOTa7Hevq5w""",2,"""Forbes"""
"""Nov 3, 2017""","""Applied Materials to Hold Q4 & FY2017 Earnings Webcast on November 16, 2017 at\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/03/1174432/0/en/Applied-Materials-to-Hold-Q4-FY2017-Earnings-Webcast-on-November-16-2017-at-4-30-p-m-ET.html&cid=52779659797694&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNEgWq3q412tFqJ0fQ4dFo85j5H9TA""",3,"""GlobeNewswire (press release)"""
"""Nov 17, 2017""","""Applied Materials CEO: 'The future of competition' is changing across\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/11/17/applied-materials-ceo-the-future-of-competition-is-fueling-business.html&cid=52779680500633&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNFGVmJ5RLfzh486cdtOX2u18PtKSQ""",4,"""CNBC"""
"""Nov 16, 2017""","""Chip gear maker Applied Materials up after strong results,\u00a0forecast""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsider.com/r-chip-gear-maker-applied-materials-up-after-strong-results-forecast-2017-11&cid=0&ei=650fWtD5MIGG2Ab8_LzoDA&usg=AFQjCNHBO6vRdHzVXk5nmC8-rTpRiuD0-Q""",5,"""Business Insider"""
