Date,Title,Link,Status,Source
"""Nov 7, 2017""","""Harfst & Associates, Inc. Buys Barnes Group Inc, TD Ameritrade Holding Corp\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/harfst-associates-inc-buys-barnes-group-inc-td-ameritrade-holding-corp-boeing-co-cm873873&cid=0&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNGBKsX1lvygX-nhbFpUfG3GmtShTg""",1,"""Nasdaq"""
"""Nov 3, 2017""","""TD Ameritrade Holding Corporation (AMTD) Ex-Dividend Date Scheduled for\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/td-ameritrade-holding-corporation-amtd-ex-dividend-date-scheduled-for-november-06-2017-cm871057&cid=52779664697796&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNH1nKQz7ujQH4I6QXp3J8_6yQ5ntw""",2,"""Nasdaq"""
"""Nov 22, 2017""","""TD Ameritrade Provides Year-End Tax Strategies for Traders and\u00a0Investors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investopedia.com/news/td-ameritrade-provides-yearend-tax-strategies-traders-and-investors/&cid=0&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNGSf0Ku8S__VKdcqrRnst-3pHFWGw""",3,"""Investopedia (blog)"""
"""16 hours ago""","""Stocks Views And Recommendations: TD Ameritrade Holding Corporation (AMTD\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/stocks-views-and-recommendations-td-ameritrade-holding-corporation-amtd-schlumberger-limited-slb/&cid=0&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNGINVJRF1UuNveWXBoyoVuKcK-aQA""",4,"""AllStockNews"""
"""14 hours ago""","""Watching the Numbers on These Shares: TD Ameritrade Holding Corporation (NYSE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/watching-the-numbers-on-these-shares-td-ameritrade-holding-corporation-nyseamtd/&cid=52779693170235&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNE6QC_khDwQPEZx4KiRZSIOt7mXaw""",5,"""Stock Talker"""
"""Nov 24, 2017""","""Why Is TD Ameritrade (AMTD) Up 2.4% Since the Last Earnings\u00a0Report?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/why-is-td-ameritrade-amtd-up-24-since-the-last-earnings-report-cm882120&cid=52779688894715&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNEj_aTtpM5pWzB1NhXwLeWmMHzwEg""",6,"""Nasdaq"""
"""Nov 10, 2017""","""Charles Schwab, E*Trade, TD Ameritrade Benefit From Rising Interest Rates in\u00a0Q3""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investopedia.com/news/charles-schwab-etrade-td-ameritrade-benefit-rising-interest-rates-q3/&cid=52779670643663&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNG7IwjnO6rOYqkNxP1LvcNPNePEAA""",7,"""Investopedia (blog)"""
"""Nov 16, 2017""","""TD Ameritrade: Singles Make, Save Less Than Married\u00a0Counterparts""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investopedia.com/news/td-ameritrade-singles-make-save-less-married-counterparts/&cid=0&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNF-9GQIvU5IhUomTVrlkdNDUUPg1w""",8,"""Investopedia (blog)"""
"""Nov 17, 2017""","""TD Ameritrade Holding Corp (AMTD) Files 10-K for the Fiscal Year Ended on\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/598255/td-ameritrade-holding-corp-amtd-files-10k-for-the-fiscal-year-ended-on-september-30-2017&cid=52779679970763&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNFH0wO_I7hbwiA3RkMt-Ykv5ElxSw""",9,"""GuruFocus.com"""
"""Nov 15, 2017""","""TD Ameritrade Launches Tax-Loss Harvesting Tool for\u00a0Investors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171115005093/en/TD-Ameritrade-Launches-Tax-Loss-Harvesting-Tool-Investors&cid=52779677171887&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNG39IX-W2S55OcAuUOpPQMNrrY43A""",10,"""Business Wire (press release)"""
"""Nov 2, 2017""","""Ex-Dividend Reminder: Welltower, TD Ameritrade Holding and New York Community\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/dividendchannel/2017/11/02/ex-dividend-reminder-welltower-td-ameritrade-holding-and-new-york-community-bancorp/&cid=52779658185306&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNEqldVceBicFN1cPiar8d4qw-E7yg""",11,"""Forbes"""
"""Nov 6, 2017""","""TD Ameritrade Investor Movement Index: IMX Rebounds to a Near Record\u00a0High""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171106005915/en/TD-Ameritrade-Investor-Movement-Index-IMX-Rebounds&cid=52779664975537&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNHNP6mtxbuVc-52tuuRiTRqjTwiqQ""",12,"""Business Wire (press release)"""
"""16 hours ago""","""Bewitching Stocks: TD Ameritrade Holding Corporation, (NASDAQ: AMTD), Net 1\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/29/bewitching-stocks-td-ameritrade-holding-corporation-nasdaq-amtd-net-1-ueps-technologies-inc-nasdaq-ueps-firstenergy-corp-nyse-fe-koninklijke-philips-n-v-nyse-phg/&cid=52779692433711&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNE07fzcqwFuQ9VpDpXpHSVFBQIIHw""",13,"""Stocks In The News (press release)"""
"""Nov 13, 2017""","""TD Ameritrade Upgraded by Deutsche Bank, Considers Merger With\u00a0E*Trade""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investopedia.com/news/td-ameritrade-upgraded-deutsche-bank-considers-merger-etrade/&cid=52779674542317&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNGmd9mN-A6uJ-_WkmPOtuvawhvb_Q""",14,"""Investopedia (blog)"""
"""Nov 1, 2017""","""Voting Opens for 2018 Benzinga Global Fintech Awards - Hundreds Of Startups To\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/fintech/17/11/10265789/voting-opens-for-2018-benzinga-global-fintech-awards-hundreds-of-startups-to-&cid=52779659063860&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNEXhnnEzmqIaw8Iafn1UXMXQbCEbw""",15,"""Benzinga"""
"""Nov 13, 2017""","""TD Ameritrade (AMTD) October Daily Client Trades Up 55%\u00a0Y/Y""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/td-ameritrade-amtd-october-daily-client-trades-up-55-yy-cm876066&cid=52779674201196&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNFAH_o_dZQoaOvMCpeHn3sLrJPeNw""",16,"""Nasdaq"""
"""Nov 27, 2017""","""TD Ameritrade Holding Corp (NYSE:AMTD) Institutional Investors\u00a0Sentiment""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/td-ameritrade-holding-corp-nyseamtd-institutional-investors-sentiment/&cid=52779688636088&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNG9bpm3nJ3whbmq8bQ70TnrCXNMtA""",17,"""WeeklyHub"""
"""14 hours ago""","""How expensive a TD Ameritrade Holding Corporation (AMTD) stock\u00a0is?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/29/how-expensive-a-td-ameritrade-holding-corporation-amtd-stock-is/&cid=52779696136152&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNFAqgWFWIVY2F6sAyRGpU61tzxyCA""",18,"""Street Observer (press release)"""
"""15 hours ago""","""TD Ameritrade Holding Corporation (NASDAQ: AMTD) \u2013 Hot Stock's\u00a0Alert""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://alphabetastock.com/td-ameritrade-holding-corporation-nasdaq-amtd-hot-stocks-alert/&cid=52779691579183&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNFGYXWXYDhnwmTw0y_cbhi7QA69vQ""",19,"""Alpha Beta Stock"""
"""14 hours ago""","""Trading Sheet: Reviewing the Levels for TD Ameritrade Holding Corporation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.concordregister.com/trading-sheet-reviewing-the-levels-for-td-ameritrade-holding-corporation-nasdaqgsamtd/&cid=52779696842248&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNEdDclclKKiqDeAcbDMmx1mvR8YkA""",20,"""Concord Register"""
"""Nov 17, 2017""","""TD Ameritrade Short Interest Down in\u00a0October""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investopedia.com/news/td-ameritrade-short-interest-down-october/&cid=0&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNHTz2Qe220aixiuJurJfOeYfliJ1A""",21,"""Investopedia (blog)"""
"""15 hours ago""","""Reasons your investment Isn't Going wrong way:- TD Ameritrade Holding\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/29/reasons-your-investment-isnt-going-wrong-way-td-ameritrade-holding-corporation-nasdaqamtd-a-investment-brokerage-national-company/&cid=52779695537892&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNEWcuNrD9na_Vs5Jqyye1C-TYqI0A""",22,"""The Stock Street (press release)"""
"""Nov 13, 2017""","""Which Way Traders Signposts Yelp Inc. (YELP), TD Ameritrade Holding\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/13/which-way-traders-signposts-yelp-inc-yelp-td-ameritrade-holding-corporation-amtd-stocks/&cid=52779668028907&ei=fqEfWvmrDsSPjAG5hbEY&usg=AFQjCNGSUswMv_6PkxOqyFLrtRGUUW1vRw""",23,"""StockNewsJournal"""
