Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Traders Are Bullish ASML Holding NV (ADR) (ASML) After The Stock Formed Wedge\u00a0Up""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/traders-are-bullish-asml-holding-nv-adr-asml-after-the-stock-formed-wedge-up/&cid=52779693163760&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNE3q91HpcM21LcsWlveZ08poyOA8A""",1,"""BZ Weekly"""
"""Nov 24, 2017""","""ASML Holding NV (ADR) (ASML) Can't Burn Your Long Portfolio. Just Reaches All\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/asml-holding-nv-adr-asml-cant-burn-your-long-portfolio-just-reaches-all-time-high/&cid=52779686357842&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNHNf0nlAHk0sNjK5-XqAfrlHzB2SA""",2,"""BZ Weekly"""
"""Apr 19, 2017""","""ASML Holding NV (ADR) Q1 Earnings Beat, Q2 Forecast\u00a0In-Line""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknews.com/news/asml-beats-by-e0-31-and-beats-on-revenues/&cid=52779463519810&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNHjULHBZ7EaNPF8y7rMl_VPJUlS2Q""",3,"""StockNews.com (blog)"""
"""Nov 1, 2017""","""Bullish Chart Formation for ASML Holding NV (ADR) (ASML) After Forming Bullish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/bullish-chart-formation-for-asml-holding-nv-adr-asml-after-forming-bullish-wedge-up/&cid=52779658899301&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNFokFTFH3LWnOGjuKLg4KOjEHzPEQ""",4,"""BZ Weekly"""
"""Nov 17, 2017""","""What's Propelling ASML Holding NV (ADR) (ASML) to Increase? The Stock Formed a\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/whats-propelling-asml-holding-nv-adr-asml-to-increase-the-stock-formed-a-bullish-wedge-up-pattern/&cid=52779679832454&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNEMW0romGxnWiSPu6gex13N07O4Xg""",5,"""BZ Weekly"""
"""Nov 16, 2017""","""Analysts are on the Bearish side about ASML Holding NV (ADR) (NASDAQ:ASML\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/analysts-are-on-the-bearish-side-about-asml-holding-nv-adr-nasdaqasml-this-week/&cid=52779678459578&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNG-RxbCItA4VbvaRHkcApQqvMAHNg""",6,"""BZ Weekly"""
"""Nov 26, 2017""","""ASML Holding NV (ADR) (ASML) Reaches $186.37 52-Week High; Comstock Mining\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://huronreport.com/asml-holding-nv-adr-asml-reaches-186-37-52-week-high-comstock-mining-nyseamericanlode-sellers-increased-by-57-22-their-shorts/&cid=52779691326504&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNGTAaljvMFnDLcSVJ2eFgPbXKa6lQ""",7,"""HuronReport"""
"""Nov 27, 2017""","""Is ASML Holding NV (ADR) (ASML)'s Fuel Running High? The Stock Formed Bullish\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finnewsdaily.com/is-asml-holding-nv-adr-asmls-fuel-running-high-the-stock-formed-bullish-wedge-up-chart-pattern/&cid=0&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNE0RhQ4-9Q-3f4FtK2Dvpb16NDxlw""",8,"""Finance News Daily"""
"""Dec 13, 2016""","""Is ASML Holding NV (ADR) (ASML) A Good Stock To\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.insidermonkey.com/blog/is-asml-holding-nv-adr-asml-a-good-stock-to-buy-506280/&cid=52779303321943&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNHUeeX56uVQrEyrGaX42isLJolrRQ""",9,"""Insider Monkey (blog)"""
"""Nov 21, 2017""","""ASML Holding NV (ADR) (ASML) Is At $184.18 Formed Wedge; Rockland Trust Co Has\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://wolcottdaily.com/asml-holding-nv-adr-asml-is-at-184-18-formed-wedge-rockland-trust-co-has-lowered-its-pacwest-bancorp-pacw-stake/&cid=52779683215232&ei=n6QfWvC8JYfSjAHDvqqQDA&usg=AFQjCNEpXKQekTxRmv-DHz1nLxaxGjSiRg""",10,"""Wolcott Daily"""
