Date,Title,Link,Status,Source
"""Nov 22, 2017""","""Activision Blizzard: Play On A\u00a0Pullback""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127097-activision-blizzard-play-pullback&cid=52779686261237&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNF0IX_7pxM1sTkwGWSc9J7mZekBwg""",Not Reachable,"""Seeking Alpha"""
"""Nov 20, 2017""","""Activision Blizzard, Inc. Stock Charges a High Price for Low\u00a0Growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/atvi-stock-low-growth/&cid=52779683870877&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNFEVsYW5XiSrnUp0BqUrqVJ8VrfMg""",1,"""Investorplace.com"""
"""Nov 6, 2017""","""Activision Blizzard: Long-Term\u00a0Bullish""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121297-activision-blizzard-long-term-bullish&cid=52779662370910&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNG1AhTKC271_hZlXffrqqtjFnf7JA""",2,"""Seeking Alpha"""
"""Nov 16, 2017""","""Why Activision Blizzard, Inc. Stock Looks Risky\u00a0Here""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/activision-looks-risky-here/&cid=52779677801784&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNEyH4HgKRCfh-W6zkCLAX03thJNUA""",3,"""Investorplace.com"""
"""Nov 3, 2017""","""Activision Blizzard, Inc's Streak of Incredible Earnings\u00a0Continues""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/03/activision-blizzard-incs-streak-of-incredible-earn.aspx&cid=52779659449488&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNHWj8iGPQ9a_JVcdkspqgDok9oPrQ""",4,"""Motley Fool"""
"""13 hours ago""","""Buy or Sell? What Analysts Recommends: Tronox Limited (TROX), Activision\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/buy-or-sell-what-analysts-recommends-tronox-limited-trox-activision-blizzard-inc-atvi/&cid=52779695228063&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNEzKORYadulOJPcJyND_2kVl7wsSw""",5,"""StockNewsJournal"""
"""Nov 1, 2017""","""Activision Blizzard Earnings Preview: Destiny 2 And Upcoming Game Launches In\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/news/earnings/17/11/10266464/activision-blizzard-earnings-preview-destiny-2-and-upcoming-game-launch&cid=52779656231552&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNHxPg2duSFtpLtS6L-7ED3TqKSdcA""",6,"""Benzinga"""
"""Nov 2, 2017""","""Activision Blizzard Earnings: What to\u00a0Watch""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/activision-blizzard-earnings-what-to-watch-1509620402&cid=0&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNEHTjYBI-Qg2rCpzaRbazALUnPFmQ""",7,"""Wall Street Journal"""
"""Nov 3, 2017""","""Activision Blizzard Inc (ATVI) Dips 3.44% for November\u00a003""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/activision-blizzard-inc-atvi-dips-3-44-for-november-03&cid=52779659223904&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNECqxVe9M2BPcssoNPzNnaKMbZ_5g""",Not Reachable,"""Equities.com"""
"""Nov 6, 2017""","""Activision Blizzard Inc (ATVI) Moves Lower on Volume Spike for November\u00a006""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/activision-blizzard-inc-atvi-moves-lower-on-volume-spike-for-november-06&cid=52779665441941&ei=Y6UfWvmxDNWEjAGEpImwDQ&usg=AFQjCNH1Q1LidSIjOzDYufE6epZcIqcW2g""",Not Reachable,"""Equities.com"""
