Date,Title,Link,Status,Source
"""2 hours ago""","""Liberty Braves Group (NASDAQ:BATRK) Shares Bought by Gilder Gagnon Howe & Co.\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.truebluetribune.com/2017/11/30/liberty-media-corporation-batrk-shares-bought-by-gilder-gagnon-howe-co-llc.html&cid=52779695863258&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNEJWvqvmdfIF61VeoXNDMGrZfGDgg""",Not Reachable,"""TrueBlueTribune"""
"""Apr 12, 2017""","""How (And Why) To Buy A Piece Of The Atlanta\u00a0Braves""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/lukeschiefelbein/2017/04/12/how-and-why-to-buy-a-piece-of-the-atlanta-brave/&cid=0&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNFPh36LlX8y0VFG36XSd1za5CXdPw""",1,"""Forbes"""
"""11 hours ago""","""Influential Analyst Rating Changes: Chemed Corporation ((CHE)), The Liberty\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://thewellesleysnews.com/2017/11/29/influential-analyst-rating-changes-chemed-corporation-che-the-liberty-braves-group-batrk/&cid=52779695186099&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNFVt0S7zuAvT5Bq8JuqVTxWbYkxlA""",2,"""Analyst Journal"""
"""Nov 8, 2017""","""Liberty Braves Group (BATRK) Analysts See $0.09\u00a0EPS""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/liberty-braves-group-batrk-analysts-see-0-09-eps/&cid=52779662933109&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNFp3vfxD3HgQS-Wqmvn575xJtYpow""",3,"""WeeklyHub"""
"""Jul 11, 2017""","""Liberty Media Announces Braves Group Investor Meeting\u00a0Webcast""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20170711006473/en/Liberty-Media-Announces-Braves-Group-Investor-Meeting&cid=52779551774954&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNH_6EyQvT7BKzXzYfVpL8lhCQHltQ""",4,"""Business Wire (press release)"""
"""May 5, 2017""","""Billionaire value investor explains how you can buy your grandkids a baseball\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/05/05/mario-gabelli-explains-how-you-can-buy-your-grandkids-a-baseball-team-for-cheap.html&cid=52779483784395&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNFUZS-oHEqFypJ6xGxtk70JFiWuRQ""",5,"""CNBC"""
"""Jun 9, 2017""","""Formula One Group Could Be Undervalued By\u00a050%""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4080274-formula-one-group-undervalued-50-percent&cid=52779524222557&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNE-U0YnlvuiscFjt54HA9cGriFUzg""",Not Reachable,"""Seeking Alpha"""
"""Sep 30, 2017""","""Blue Skies Ahead for Malone's LiLAC\u00a0Group""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.barrons.com/articles/blue-skies-ahead-for-malones-lilac-group-1506743163&cid=0&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNGCTbZCaNMkaQxTISU1OJ5q5mqcGA""",6,"""Barron's"""
"""Nov 27, 2017""","""The Zacks: Brokerages Expect Liberty Braves Group (BATRK) to Post -$0.49\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bangaloreweekly.com/2017-11-27-zacks-brokerages-expect-liberty-braves-group-batrk-to-post-0-49-earnings-per-share/&cid=52779691802186&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNHLfH2h8Px_YZGwOlWNGlc1OqgvFQ""",7,"""BangaloreWeekly"""
"""Nov 9, 2017""","""Braves revenue soars at SunTrust\u00a0Park""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/09/braves-revenue-soars-at-suntrust-park.html&cid=52779668773320&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNEEOKRBcbCc7FOrICujcJ0ePmacOQ""",8,"""Atlanta Business Chronicle"""
"""Nov 7, 2017""","""Stocks making its way to the top: The Liberty Braves Group\u00a0(NASDAQ:BATRA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/07/stocks-making-its-way-to-the-top-the-liberty-braves-group-nasdaqbatra/&cid=52779667516548&ei=eqkfWvGZB4nFjAHouZ3ACQ&usg=AFQjCNH7CZtb3LHcydn3M_u6eiAuOQh7wg""",9,"""The News Journal"""
