Date,Title,Link,Status,Source
"""2 hours ago""","""Liberty Braves Group (NASDAQ:BATRK) Shares Bought by Gilder Gagnon Howe & Co.\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.truebluetribune.com/2017/11/30/liberty-media-corporation-batrk-shares-bought-by-gilder-gagnon-howe-co-llc.html&cid=52779695863258&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNEq4B9uPa7u4W9HtHzLTyFrmIpkVw""",Not Reachable,"""TrueBlueTribune"""
"""Apr 12, 2017""","""How (And Why) To Buy A Piece Of The Atlanta\u00a0Braves""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/lukeschiefelbein/2017/04/12/how-and-why-to-buy-a-piece-of-the-atlanta-brave/&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNH06qG5Ol0g8IViQwN_ZA_0tQF_3w""",1,"""Forbes"""
"""11 hours ago""","""Influential Analyst Rating Changes: Chemed Corporation ((CHE)), The Liberty\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://thewellesleysnews.com/2017/11/29/influential-analyst-rating-changes-chemed-corporation-che-the-liberty-braves-group-batrk/&cid=52779695186099&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNF-R8ajl2ldOTyiQfybpIIkFjVyVw""",2,"""Analyst Journal"""
"""Nov 8, 2017""","""Liberty Braves Group (BATRK) Analysts See $0.09\u00a0EPS""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/liberty-braves-group-batrk-analysts-see-0-09-eps/&cid=52779662933109&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFuergl-0meYsEbVJxxmALVTtwgHQ""",3,"""WeeklyHub"""
"""Jul 11, 2017""","""Liberty Media Announces Braves Group Investor Meeting\u00a0Webcast""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20170711006473/en/Liberty-Media-Announces-Braves-Group-Investor-Meeting&cid=52779551774954&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNH0ssEPusGjevQVu1pAIx9b_gJIAw""",4,"""Business Wire (press release)"""
"""May 5, 2017""","""Billionaire value investor explains how you can buy your grandkids a baseball\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.cnbc.com/2017/05/05/mario-gabelli-explains-how-you-can-buy-your-grandkids-a-baseball-team-for-cheap.html&cid=52779483784395&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNEb2S2SxCfGbBbijIjmmYy9nzR14w""",5,"""CNBC"""
"""Jun 9, 2017""","""Formula One Group Could Be Undervalued By\u00a050%""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4080274-formula-one-group-undervalued-50-percent&cid=52779524222557&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNEAbpieVXNyfdiJZEOcm-AiNh9cDQ""",Not Reachable,"""Seeking Alpha"""
"""Sep 30, 2017""","""Blue Skies Ahead for Malone's LiLAC\u00a0Group""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.barrons.com/articles/blue-skies-ahead-for-malones-lilac-group-1506743163&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFYF5bWTVsnr4lopMOiNw5w0paF2w""",6,"""Barron's"""
"""Nov 27, 2017""","""The Zacks: Brokerages Expect Liberty Braves Group (BATRK) to Post -$0.49\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bangaloreweekly.com/2017-11-27-zacks-brokerages-expect-liberty-braves-group-batrk-to-post-0-49-earnings-per-share/&cid=52779691802186&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNEMmwrAHXX5b-1XWHHk0UaxRI-KIA""",7,"""BangaloreWeekly"""
"""Nov 9, 2017""","""Braves revenue soars at SunTrust\u00a0Park""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/09/braves-revenue-soars-at-suntrust-park.html&cid=52779668773320&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFs6E3fZUP5yhbiiLMpKeOVRtzrDg""",8,"""Atlanta Business Chronicle"""
"""Nov 7, 2017""","""Stocks making its way to the top: The Liberty Braves Group\u00a0(NASDAQ:BATRA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/07/stocks-making-its-way-to-the-top-the-liberty-braves-group-nasdaqbatra/&cid=52779667516548&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHXQrB5dOr96kBklWBDoGutF9UQ6Q""",9,"""The News Journal"""
"""Oct 31, 2017""","""Analysts See $0.09 EPS for Liberty Braves Group\u00a0(BATRK)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/analysts-see-0-09-eps-for-liberty-braves-group-batrk/&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNErOT4XF7osUBY8xftZTvQU8oJlJA""",10,"""WeeklyHub"""
"""Nov 14, 2017""","""Stock that will multiply your investment: The Liberty Braves Group\u00a0(BATRA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/14/stock-that-will-multiply-your-investment-the-liberty-braves-group-batra/&cid=52779675845287&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNGK3RsWYcyiSpIPx_0urj4FiKYqwA""",11,"""The News Journal"""
"""Nov 23, 2017""","""Wish to know which stocks you need to buy?: The Liberty Braves Group (NASDAQ\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/23/wish-to-know-which-stocks-you-need-to-buy-the-liberty-braves-group-nasdaq-batra-2/&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHWUFcdoVMvJ-BCuq1sWcIAyjd3VQ""",12,"""The News Journal"""
"""Oct 30, 2017""","""Evaluating today's stock market for: The Liberty Braves Group (NASDAQ:\u00a0BATRA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/10/30/evaluating-todays-stock-market-for-the-liberty-braves-group-nasdaq-batra/&cid=52779650552796&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHCZbqjWVXw8IjgW3m09k_7h7m9Xw""",13,"""The News Journal"""
"""Nov 10, 2017""","""Searching for the most successful stocks? Check: The Liberty Braves Group\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/10/searching-for-the-most-successful-stocks-check-the-liberty-braves-group-nasdaqbatra/&cid=52779669866807&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNGxdAxy_edWH5c6IyYEu-8dIl4NqA""",14,"""The News Journal"""
"""Nov 21, 2017""","""Reigning shares of the market today: The Liberty Braves Group\u00a0(BATRA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/21/reigning-shares-of-the-market-today-the-liberty-braves-group-batra/&cid=52779685461763&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHAT3XS7NMLL656mJ5H-dlJyQSoPg""",15,"""The News Journal"""
"""Nov 28, 2017""","""The BNP Paribas Arbitrage SA Acquires 5923 Shares of Liberty Braves Group\u00a0(BATRK)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bangaloreweekly.com/2017-11-28-bnp-paribas-arbitrage-sa-acquires-5923-shares-of-liberty-braves-group-batrk/&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNEuQRYLmKpJxJac6zOdTF4PAHj2GA""",16,"""BangaloreWeekly"""
"""Nov 1, 2017""","""Effectively hedging the stocks in today's share market: The Liberty Braves\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/01/effectively-hedging-the-stocks-in-todays-share-market-the-liberty-braves-group-batra-5/&cid=52779658969559&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFcVGkQqpp1UjQgR6zYa5tNwcTzZQ""",17,"""The News Journal"""
"""Nov 17, 2017""","""Why You Should Not Give Up On Hovnanian Enterprises, Inc. (HOV), The Liberty\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/17/why-you-should-not-give-up-on-hovnanian-enterprises-inc-hov-the-liberty-braves-group-batrk/&cid=52779679845294&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHl_tobwkpomFLQXyjiYmJEYKzRww""",18,"""Post Analyst"""
"""Oct 31, 2017""","""$0.09 EPS Expected for Liberty Braves Group\u00a0(BATRK)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/0-09-eps-expected-for-liberty-braves-group-batrk-2/&cid=52779657653185&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFqAKRAXXEtsqhOTyS9AGQKZ6fKsw""",19,"""BZ Weekly"""
"""Oct 19, 2017""","""New York investment firm buying growing stake in\u00a0Braves""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/10/19/new-york-investment-firm-buying-growing-stake-in.html&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHNB-gk3Dkuwydf6hv_fVySWp70aw""",20,"""Atlanta Business Chronicle"""
"""Nov 23, 2017""","""Quant Scores & Investor Update on The Liberty Braves Group\u00a0(NasdaqGS:BATR.K)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://jctynews.com/quant-scores-investor-update-on-the-liberty-braves-group-nasdaqgsbatr-k/409601/&cid=52779693266855&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNEBBrKtyyn72TwCXe_T7YVvkmX2Ww""",21,"""JCTY News"""
"""Nov 9, 2017""","""Liberty Braves Group (BATRK) EPS Estimated At $0.09; Eco Stim Energy Solutions\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://utahherald.com/liberty-braves-group-batrk-eps-estimated-at-0-09-eco-stim-energy-solutions-eses-shorts-decreased-by-14-58/&cid=52779668410388&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNGaSdUX-fxbJ1tKC9wFPLx2xY7nDg""",22,"""UtahHerald.com"""
"""11 hours ago""","""Equity Research Analyst's Stock Ratings: Impac Mortgage Holdings, Inc. ((IMH\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://thewellesleysnews.com/2017/11/29/equity-research-analysts-stock-ratings-impac-mortgage-holdings-inc-imh-the-liberty-braves-group-batra/&cid=52779697284074&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFdrxd-co1RlAbOSTEoi0vh3Dc-OA""",23,"""Analyst Journal"""
"""Nov 17, 2017""","""The Battery Atlanta to feature ice skating rink, Christmas tree lighting\u00a0(Video)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/atlanta/news/2017/11/16/the-battery-atlanta-to-feature-ice-skating-rink.html&cid=52779678885283&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFdzbwnHWCXvaVT8oloOOCzGsiEQg""",24,"""Atlanta Business Chronicle"""
"""Nov 8, 2017""","""Liberty Braves Group (BATRK) EPS Estimated At $0.09; Capstone Asset Management\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://normanobserver.com/liberty-braves-group-batrk-eps-estimated-at-0-09-capstone-asset-management-company-increased-its-microchip-technology-mchp-position/&cid=52779667279623&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNE_gX-oP4CeBxunOq164pOSfo47JA""",25,"""NormanObserver.com"""
"""Nov 17, 2017""","""Buy the stocks that will change your money multiplying rate: The Liberty\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/17/buy-the-stocks-that-will-change-your-money-multiplying-rate-the-liberty-braves-group-nasdaqbatra-2/&cid=0&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHwyTwERvmsQeJc84WLaZVQLEDZrA""",26,"""The News Journal"""
"""Nov 20, 2017""","""Liberty Media Corporation (BATRK) Moves Higher on Volume Spike for November\u00a020""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/liberty-media-corporation-batrk-moves-higher-on-volume-spike-for-november-20&cid=52779680115145&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNFx2MvB3CdQ09pGQn73yJEcB9flTg""",Not Reachable,"""Equities.com"""
"""Nov 18, 2017""","""Electronic Arts And Activision Blizzard Offer Hedge For Traditional Sports\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126155-electronic-arts-activision-blizzard-offer-hedge-traditional-sports-investments&cid=52779677801784&ei=o6sfWvDOH47ijAGO95OIBQ&usg=AFQjCNHm0loa-ssIM3SEtcHMK2bF7rEDTw""",Not Reachable,"""Seeking Alpha"""
