Date,Title,Link,Status,Source
"""Nov 17, 2017""","""Comcast and Fox May Trigger a Wave of\u00a0Mergers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://money.usnews.com/investing/stock-market-news/articles/2017-11-17/comcast-corporation-cmcsa-stock-twenty-first-century-fox-inc&cid=52779680720468&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNHRGoplOo5-ljgGOvzfWJS0rASRRQ""",Not Reachable,"""U.S. News & World Report"""
"""Nov 25, 2017""","""Comcast Has What AT&T\u00a0Wants""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127599-comcast-and-t-wants&cid=52779690015957&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNFU1-dAX2HKyQieyB-npOr5NQ6QoA""",1,"""Seeking Alpha"""
"""Nov 3, 2017""","""Comcast's Q3: Cash, Cable And\u00a0Creativity""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119921-comcasts-q3-cash-cable-creativity&cid=52779659776810&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNFt5UHD33DVcZjZelpG8wSb9KqWoQ""",2,"""Seeking Alpha"""
"""Nov 27, 2017""","""How Does Comcast Corporation (CMCSA) Stack Up Right\u00a0Now?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/27/how-does-comcast-corporation-cmcsa-stack-up-right-now-4/&cid=52779692267679&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNHi83q3YoVjrhGof9ix0SBiz6pCEA""",3,"""StockNewsJournal"""
"""Nov 20, 2017""","""ProSiebenSat.1 higher as CEO exit fuels acquisition\u00a0hopes""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3313557-prosiebensat-1-higher-ceo-exit-fuels-acquisition-hopes&cid=52779682720707&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNHRQEbrHpcuVG4SjsEsl3qVxhY7hA""",Not Reachable,"""Seeking Alpha"""
"""Nov 16, 2017""","""Redeemed Issues\u00a0Update""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125347-redeemed-issues-update&cid=0&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNHz-bN4WUX1LSbsbQZvbiTPuUx0ZA""",Not Reachable,"""Seeking Alpha"""
"""Nov 24, 2017""","""Analysts think these stock's can be a game changer: Comcast Corporation (CMCSA\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/analysts-think-these-stocks-can-be-a-game-changer-comcast-corporation-cmcsa-coty-inc-coty/&cid=52779688240785&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNG_NxoOu4X-GhO670CaCS1b9dvGXQ""",4,"""StockNewsJournal"""
"""Nov 27, 2017""","""Taking Tally Of Comcast Corporation (CMCSA), RSP Permian, Inc.\u00a0(RSPP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/27/taking-tally-of-comcast-corporation-cmcsa-rsp-permian-inc-rspp/&cid=52779693061631&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNFm4-DcbnyM4ze0u4RVLxY64Kunpg""",5,"""StockNewsGazette"""
"""Nov 20, 2017""","""Traders Secrets on Square, Inc. (SQ), Comcast Corporation\u00a0(CMCSA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/20/traders-secrets-on-square-inc-sq-comcast-corporation-cmcsa/&cid=52779683461809&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNExRHmuFgWKxJjqeyjYSRmZee_Ikw""",6,"""StockNewsJournal"""
"""Nov 27, 2017""","""Should Investors Take A Bite Out Of Comcast Corporation\u00a0(CMCSA)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/27/should-investors-take-a-bite-out-of-comcast-corporation-cmcsa/&cid=52779693947318&ei=HbQfWsnPMYKHjAG7lK74Cw&usg=AFQjCNFxTnC8or-d1PaTzh0yQ_hjmLYksA""",7,"""AllStockNews"""
