Date,Title,Link,Status,Source
"""17 hours ago""","""Here's Why You Should Hold on to CME Group (CME) Stock\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/heres-why-you-should-hold-on-to-cme-group-cme-stock-now-cm883947&cid=52779696100878&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNGr7LTZBuXMl8s03EMCBq-EK3QDrw""",1,"""Nasdaq"""
"""9 hours ago""","""CME Group Inc. (CME) Moves Higher on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/cme-group-inc-cme-moves-higher-on-volume-spike-for-november-29&cid=52779696037271&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFvr1mtgVoIm8-ykHXId8C_z_dFuQ""",Not Reachable,"""Equities.com"""
"""Nov 28, 2017""","""CME Group (CME) Up 4% Since Earnings Report: Can It\u00a0Continue?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/cme-group-cme-up-4-since-earnings-report-can-it-continue-cm882953&cid=52779693023259&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNExjBfcC3SFHJ9p16YHqbV9Tehbwg""",2,"""Nasdaq"""
"""Oct 31, 2017""","""CME Group Launching Bitcoin Futures In Q4 To 'Professionalize' Crypto Asset\u00a0Class""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/rogeraitken/2017/10/31/cme-group-launching-bitcoin-futures-in-q4-to-professionalize-crypto-asset-class/&cid=52779657705051&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFJKgYVsTdUVaKy2COKxkI0rpnCHg""",3,"""Forbes"""
"""17 hours ago""","""Bitcoin surpasses $11000 \u2014 then falls \u2014 as bubble warnings fail to cool\u00a0market""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.chicagotribune.com/business/ct-biz-bitcoin-invest-rally-price-20171129-story.html&cid=52779695646646&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNGyVxdvz2nzNUrEkF0xc8JbKoQCQA""",4,"""Chicago Tribune"""
"""Nov 28, 2017""","""Today Analysts Focus on Bank of America Corporation (BAC), CME Group Inc.\u00a0(CME)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/28/today-analysts-focus-on-bank-of-america-corporation-bac-cme-group-inc-cme/&cid=52779691802194&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNH9uAVoA-K0aS6FM8hwDVsF2Cxdsw""",5,"""StockNewsJournal"""
"""Nov 20, 2017""","""CME Group Plans to Launch Bitcoin Futures December\u00a010""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news.bitcoin.com/cme-group-plans-to-launch-bitcoin-futures-december-10/&cid=52779684562549&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFl5JQrzl1WBjGAkCy78NWu63udww""",Not Reachable,"""Bitcoin News (press release)"""
"""11 hours ago""","""The Charles Schwab Corporation (SCHW) vs. CME Group Inc. (CME): Comparing the\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/29/the-charles-schwab-corporation-schw-vs-cme-group-inc-cme-comparing-the-investment-brokerage-national-industrys-most-active-stocks-2/&cid=52779692551541&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNGvd1dh4KnUs2dhHBUexCEwPsdpcw""",6,"""StockNewsGazette"""
"""Nov 13, 2017""","""TradeStation Announces Plans to Support CME Group, Inc. and Cboe Global\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/13/1185466/0/en/TradeStation-Announces-Plans-to-Support-CME-Group-Inc-and-Cboe-Global-Markets-Inc-Bitcoin-Futures-Trading-Immediately-Upon-Launch.html&cid=52779674538841&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFdWTVUcxaXmTc-AUD2C4J6P0NjDw""",7,"""GlobeNewswire (press release)"""
"""Nov 7, 2017""","""CME Group Announces Jack Bogle and Mac McQuown as the 2017 Melamed-Arditti\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/cme-group-announces-jack-bogle-and-mac-mcquown-as-the-2017-melamed-arditti-innovation-award-recipients-300550635.html&cid=52779666069362&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNEoGovVsyLIL3udp6V_f_3HsDk87Q""",8,"""PR Newswire (press release)"""
"""Nov 2, 2017""","""CME Group Inc. (CME) Rises 3.06% for November\u00a002""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/cme-group-inc-cme-rises-3-06-for-november-02&cid=52779660794097&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFbH62vGWbXyjOs4ovQQxWVAZz6XA""",Not Reachable,"""Equities.com"""
"""Nov 3, 2017""","""Could Bitcoin Futures Be The Catalyst To Put CME Group Over The\u00a0Top?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/fintech/17/11/10281701/could-bitcoin-futures-be-the-catalyst-to-put-cme-group-over-the-top&cid=52779657971698&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNHpXPSom27Ye_QVvwpKXqCqM8NoTw""",9,"""Benzinga"""
"""23 hours ago""","""Bitcoin tops $10000 for first time, but bubble warnings\u00a0multiply""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.japantimes.co.jp/news/2017/11/29/business/financial-markets/bitcoin-tops-10000-first-time-bubble-warnings-multiply/&cid=52779695646646&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNEBG1z4O3cWC9ikOldXog3s3f-F4A""",10,"""The Japan Times"""
"""15 hours ago""","""Is It Undervalued? Look at the P/E Ratio: CME Group Inc. (CME), Lincoln\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/is-it-undervalued-look-at-the-pe-ratio-cme-group-inc-cme-lincoln-national-corporation-lnc/&cid=52779692142612&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNF48k1fzuFzl_gqNv2861sV5yoYpw""",11,"""AllStockNews"""
"""Nov 28, 2017""","""CME Group Takes Over #114 Spot From Automatic Data\u00a0Processing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/cme-group-takes-over-114-spot-from-automatic-data-processing-cm883600&cid=52779691859390&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNGiTzb4COmRzlPkDwc4onSXf2AAkw""",12,"""Nasdaq"""
"""Nov 16, 2017""","""Will CME Group Inc (CME) Continue To Underperform Its\u00a0Industry?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://simplywall.st/news/2017/11/16/will-cme-group-inc-cme-continue-to-underperform-its-industry/&cid=52779673765348&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFcAAqHZ2a03PPaE7AvQiv9HaPuiw""",13,"""Simply Wall St"""
"""Nov 5, 2017""","""Here Comes A Blockchain\u00a0ETF""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/trading-ideas/long-ideas/17/11/10279265/here-comes-a-blockchain-etf&cid=52779664062484&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFrfOffu4nRIcSgELFraTb7JDqzHQ""",14,"""Benzinga"""
"""Nov 25, 2017""","""CME Group Inc. (CME) Shares Bought by Los Angeles Capital Management & Equity\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/25/los-angeles-capital-management-equity-research-inc-grows-stake-in-cme-group-inc-cme.html&cid=52779684990459&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNHzSBtJskj5ryRyddSvoWtsglQqZg""",Not Reachable,"""The Ledger Gazette"""
"""Nov 28, 2017""","""Vgi Partners Pty LTD Has Raised Cme Group INC (CME) Position by $7.21 Million\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/vgi-partners-pty-ltd-has-raised-cme-group-inc-cme-position-by-7-21-million-share-price-declined/&cid=52779695272134&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNELBP7-lJ0rq7N24xy22-hyHxtWSw""",15,"""BZ Weekly"""
"""23 hours ago""","""Still A Value Trap? \u2013 Raytheon Company (RTN), CME Group Inc.\u00a0(CME)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/29/still-a-value-trap-raytheon-company-rtn-cme-group-inc-cme/&cid=52779693284053&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNH60suOvoUQGtpfQshHpqFMkz3-8g""",16,"""USA Commerce Daily"""
"""18 hours ago""","""A Side-by-side Analysis of BGC Partners, Inc. (BGCP) and CME Group Inc.\u00a0(CME)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/29/a-side-by-side-analysis-of-bgc-partners-inc-bgcp-and-cme-group-inc-cme/&cid=52779694819075&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNGM8ksKVw0DOBlKlD8LLNNXnNqESA""",17,"""Economic News"""
"""Nov 23, 2017""","""Going Through the Figures for BGC Partners, Inc. (BGCP) and CME Group Inc.\u00a0(CME)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/23/going-through-the-figures-for-bgc-partners-inc-bgcp-and-cme-group-inc-cme/&cid=52779685707840&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNGeC6um8DEpewO3ZWMDkZJQifNWrw""",18,"""Economic News"""
"""Nov 28, 2017""","""Overview Of Different Chart Patterns: CME Group Inc. (CME), Mastercard\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/28/overview-of-different-chart-patterns-cme-group-inc-cme-mastercard-incorporated-ma/&cid=52779692982281&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNG-3oOl5P6StwW7-hF4LV14R_YDkA""",19,"""AllStockNews"""
"""Nov 1, 2017""","""CME Group Announces WTI Light Sweet Crude Oil Futures Open Interest Reaches\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/cme-group-announces-wti-light-sweet-crude-oil-futures-open-interest-reaches-record-25-million-contracts-300547667.html&cid=52779661995125&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNF4k6e6AJNPz7WQ5F6Hinbi-_3BGw""",20,"""PR Newswire (press release)"""
"""15 hours ago""","""Important Factors to Analyse A Good Investment \u2013 CME Group Inc., (NASDAQ:\u00a0CME)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://stocksnewstimes.com/2017/11/29/important-factors-to-analyse-a-good-investment-cme-group-inc-nasdaq-cme/&cid=52779696542720&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNF7Le4g35wd3s1R9dNUG6Xp3LFTbQ""",21,"""Stock Watch"""
"""Nov 7, 2017""","""Technical Reports on Investment Brokerage Equities -- BGC Partners, CME Group\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/technical-reports-on-investment-brokerage-equities----bgc-partners-cme-group-interactive-brokers-and-lpl-financial-300550771.html&cid=0&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFGKw0o9Qq8eQbmTUXud4vu2eRinA""",22,"""PR Newswire (press release)"""
"""Nov 29, 2017""","""Bursa Malaysia Berhad Announces The Change Of Director To Its\u00a0Subsidiaries""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.mondovisione.com/media-and-resources/news/bursa-malaysia-berhad-announces-the-change-of-director-to-its-subsidiaries/&cid=52779695904882&ei=FLUfWujoM9j82AbW_JqIBw&usg=AFQjCNFC7tbNqotFNLeJ8Zar1VtrADu3fQ""",23,"""Exchange News Direct"""
