Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Should You Buy Costco At Today's\u00a0Price?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128207-buy-costco-todays-price&cid=0&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNGq8yfKUf7ndnzhPdyF6xLzybDxMA""",1,"""Seeking Alpha"""
"""Nov 28, 2017""","""Will Amazon Disrupt The Business Model Of\u00a0Costco?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127971-will-amazon-disrupt-business-model-costco&cid=0&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNGcMG4D_GnnxTb_J6iaVss4vSgQfA""",2,"""Seeking Alpha"""
"""Nov 22, 2017""","""Costco: Buying The\u00a0Dip""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127186-costco-buying-dip&cid=0&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNHc5ENcKgFI9oAOHr3tauXq3zJkSA""",Not Reachable,"""Seeking Alpha"""
"""Nov 1, 2017""","""Better Buy: Costco Wholesale Corporation vs.\u00a0Wal-Mart""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/01/better-buy-costco-wholesale-corporation-vs-wal-mar.aspx&cid=52779657987111&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNEQlFyaB-1ATt6IwE_iIEhfhIq3tA""",3,"""Motley Fool"""
"""Nov 15, 2017""","""Costco Wholesale Corporation (COST) Ex-Dividend Date Scheduled for November 16\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/costco-wholesale-corporation-cost-ex-dividend-date-scheduled-for-november-16-2017-cm877613&cid=52779675583929&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNFVTuXswQ3yc9fKcnWwnOkuQBaUfw""",4,"""Nasdaq"""
"""Nov 24, 2017""","""Costco: Easy Beat Coming Up, But Will Stock\u00a0Pop?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127417-costco-easy-beat-coming-will-stock-pop&cid=0&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNGW6NLseO_ZY46Nz4VwbiIWAvq13g""",Not Reachable,"""Seeking Alpha"""
"""Nov 8, 2017""","""Costco Remains An Above-Average\u00a0Operation""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122281-costco-remains-average-operation&cid=0&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNGDJIFVI5QGyYkp8vfzCLQLhpgIsQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 2, 2017""","""Why Costco Wholesale Corporation Stock Will Go to\u00a0$180""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/why-costco-stock-will-go-to-180/&cid=52779657519425&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNE71xv7HcU-X5a16V9GQPsG7Xs1cA""",5,"""Investorplace.com"""
"""Nov 28, 2017""","""2 Stocks to keep an eye on Today: Costco Wholesale Corporation (COST), Annaly\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/28/2-stocks-to-keep-an-eye-on-today-costco-wholesale-corporation-cost-annaly-capital-management-inc-nly/&cid=52779694364657&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNH4fkS7dOV_MyHBmmuGsA-GD3holg""",6,"""StockNewsJournal"""
"""Nov 6, 2017""","""Costco Posts Great October\u00a0Numbers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4121316-costco-posts-great-october-numbers&cid=0&ei=KbcfWqC5IYPwjAHk-6vQCQ&usg=AFQjCNGmgwG_tQuOYd0llImfbgNjv9GzHg""",Not Reachable,"""Seeking Alpha"""
