Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Why Cisco Systems, Inc. Stock Is STILL a Safe Bet for\u00a0Investors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/cisco-systems-inc-stock-is-a-safe-bet/&cid=52779691108630&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNH7anKXibCZJfKZAMMmvtMcWuR9YQ""",1,"""Investorplace.com"""
"""Nov 22, 2017""","""Cisco Systems Back In\u00a0Black""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127061-cisco-systems-back-black&cid=52779683542354&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNFVRjmlIqy2xD10Cqjo2BnbEPUCcg""",2,"""Seeking Alpha"""
"""Nov 20, 2017""","""Better Buy: Cisco Systems, Inc. vs.\u00a0IBM""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/20/better-buy-cisco-systems-inc-vs-ibm.aspx&cid=52779684315080&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNHbWYgoBh_OUJ9dhUNIJrIV_2ql3Q""",3,"""Motley Fool"""
"""Nov 9, 2017""","""Why 2017 was a Year to Forget for Cisco Systems,\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/09/why-2017-was-a-year-to-forget-for-cisco-systems-in.aspx&cid=52779668558148&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNFD8pTGsmH1JEqVsLvdW3sZK1Lftw""",4,"""Motley Fool"""
"""Nov 24, 2017""","""Cisco Systems Inc. (CSCO) Closes 0.11% Up on the Day for November\u00a024""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/cisco-systems-inc-csco-closes-0-11-up-on-the-day-for-november-24&cid=52779686258526&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNEPJx-FnsnJfP5L-htliphEPLKtjQ""",Not Reachable,"""Equities.com"""
"""Nov 7, 2017""","""Better Buy: Cisco Systems, Inc. vs. General\u00a0Electric""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/07/better-buy-cisco-systems-inc-vs-general-electric.aspx&cid=52779666041655&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNEHi-NNFQux5IPWLthmUazYbdSjYw""",5,"""Motley Fool"""
"""10 hours ago""","""Cisco, Pfizer, Coca-Cola plan to turn over gains from proposed tax cuts to\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://thehill.com/policy/finance/362412-cisco-pfizer-coca-cola-plan-to-turn-over-gains-from-proposed-tax-cuts-to&cid=52779696858928&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNHth7WqgUE-jHRjUzmhifmup0TITg""",6,Not Reachable,"""The Hill"""
"""Nov 20, 2017""","""Cisco: Not Buying The Software\u00a0Story""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126381-cisco-buying-software-story&cid=52779683146718&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNHTAsu3nMYzUCSbyPT_EuPs4LnuRQ""",6,"""Seeking Alpha"""
"""6 hours ago""","""BROADSOFT SHAREHOLDER NOTICE: Faruqi & Faruqi, LLP Announces the Investigation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/broadsoft-shareholder-notice-faruqi--faruqi-llp-announces-the-investigation-of-broadsoft-inc-bsft-over-the-proposed-sale-of-the-company-to-cisco-systems-inc-300564058.html&cid=52779696974560&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNG4QA5TOEwUO6xbZHsPSn60iRh53g""",7,"""PR Newswire (press release)"""
"""Nov 16, 2017""","""Cisco First Look: A Step In The Right\u00a0Direction""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125295-cisco-first-look-step-right-direction&cid=52779674858157&ei=0LcfWsmsE8SPjAG5hbEY&usg=AFQjCNEpGKjSei6ZaWxhm4wfD7F2bwUxJA""",8,"""Seeking Alpha"""
