Date,Title,Link,Status,Source
"""9 hours ago""","""CSX Corporation (CSX) Moves Higher on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/csx-corporation-csx-moves-higher-on-volume-spike-for-november-29&cid=52779697376047&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNE1i1yUSWGXHINugQvs_O7EF0Jvag""",Not Reachable,"""Equities.com"""
"""Nov 21, 2017""","""CSX Corporation Chief Executive Officer and Chief Operating Officer to Address\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/21/1198215/0/en/CSX-Corporation-Chief-Executive-Officer-and-Chief-Operating-Officer-to-Address-Credit-Suisse-Industrials-Conference.html&cid=52779685241164&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNHgsDS0DGqwGYCZeiXMslwUl2WJKw""",1,"""GlobeNewswire (press release)"""
"""Nov 1, 2017""","""CSX Corporation Chief Financial Officer to Address Baird's 2017 Global\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/01/1172528/0/en/CSX-Corporation-Chief-Financial-Officer-to-Address-Baird-s-2017-Global-Industrial-Conference.html&cid=52779659289109&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNEYJVudlblslAd3HDnQSsVbLhYEHA""",2,"""GlobeNewswire (press release)"""
"""Nov 28, 2017""","""CSX Corporation (CSX) Rises 2.9% for November\u00a028""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/csx-corporation-csx-rises-2-9-for-november-28&cid=52779695393760&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNGW39K62PsgTml5KLABwwEbLyAGSg""",Not Reachable,"""Equities.com"""
"""Nov 2, 2017""","""CSX Corporation (CSX) Rises 2.93% for November\u00a002""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/csx-corporation-csx-rises-2-93-for-november-02&cid=52779660207895&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNG6WovqRiAvcKNjwI0nlZUPR_w6dQ""",Not Reachable,"""Equities.com"""
"""15 hours ago""","""What Current Valuations Tell Us About CSX Corporation (CSX), WPX Energy, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/what-current-valuations-tell-us-about-csx-corporation-csx-wpx-energy-inc-wpx/&cid=52779694844171&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNEN2yBA-vOCtHt6uRup_UmoSUwGFg""",3,"""Post Analyst"""
"""Nov 28, 2017""","""Shares that proliferate your speculations: CSX Corporation\u00a0(CSX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/28/shares-that-proliferate-your-speculations-csx-corporation-csx-3/&cid=52779696066660&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNFyELGFrE8WhFWs--gYNl8Na0B-lg""",4,"""The News Journal"""
"""19 hours ago""","""Changes in Signals Identified: Sterling Bancorp (STL), CSX Corporation\u00a0(CSX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/changes-in-signals-identified-sterling-bancorp-stl-csx-corporation-csx/&cid=52779689036483&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNFlalDZr6yK1tHIpp_gl69kClIgLA""",5,"""AllStockNews"""
"""Nov 28, 2017""","""Critical Comparison: CSX Corporation (CSX) vs. Union Pacific Corporation\u00a0(UNP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/28/critical-comparison-csx-corporation-csx-vs-union-pacific-corporation-unp/&cid=52779694104415&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNGWNLSW08aMef0mX9_lktq1x3Mu7g""",6,"""StockNewsGazette"""
"""Nov 24, 2017""","""CSX Corporation (CSX) vs. Union Pacific Corporation (UNP)?: Which Should You\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/24/csx-corporation-csx-vs-union-pacific-corporation-unp-which-should-you-choose/&cid=52779689015020&ei=drofWqmzMNj82AbW_JqIBw&usg=AFQjCNGP-F5cbW2FoEedogtEeQ19SFvGgQ""",7,"""Economic News"""
