Date,Title,Link,Status,Source
"""May 11, 2017""","""Ctrip.com International Ltd (ADR) Continues Strong Growth, Expands\u00a0Margins""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/05/11/ctripcom-continues-strong-growth-expands-margins.aspx&cid=52779490069517&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNGAw75ZAcA96fK0IVIgzLxS0OHwcA""",1,"""Motley Fool"""
"""Feb 23, 2017""","""Ctrip.com International Ltd (ADR) Expands Margins, Looks\u00a0Abroad""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/02/23/ctripcom-international-ltd-adr-expands-margins-loo.aspx&cid=52779385590594&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNGxCGuwjsYPuXUU6x5Y4LzkgnoG-g""",2,"""Motley Fool"""
"""Aug 31, 2017""","""Ctrip.Com International Ltd (ADR) Continues to Grow, but the Pace Is\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/08/31/ctripcom-international-ltd-adr-continues-to-grow-b.aspx&cid=52779591466995&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNF-iCNH6Kte97MIPr1h0z7O0lCbrA""",3,"""Motley Fool"""
"""Sep 7, 2017""","""Why Ctrip.com International Ltd. Stock Dropped 14% in\u00a0August""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/09/07/why-ctripcom-international-ltd-stock-dropped-14-in.aspx&cid=52779599915848&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNG55lxiZLEibYp4sa-rlK8YISukpA""",4,"""Motley Fool"""
"""Aug 31, 2017""","""Why Dollar General, Ctrip.com International, and Ciena Slumped\u00a0Today""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/08/31/why-dollar-general-ctripcom-international-and-cien.aspx&cid=52779593516892&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNFpTEeEJ-8o5FJ58Yl4_TzmwliJkw""",5,"""Motley Fool"""
"""Oct 19, 2017""","""Ctrip.com International, Ltd. to Report Third Quarter 2017 Financial Results\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://markets.businessinsider.com/news/stocks/Ctrip-com-International-Ltd-to-Report-Third-Quarter-2017-Financial-Results-on-November-1-2017-U-S-Time-1004889491&cid=52779643010370&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNFqGfza2H0YilPpec-xvBlkacWBdw""",6,"""Markets Insider"""
"""Nov 28, 2017""","""Tekne Capital Management LLC Position in Ctrip Com Intl LTD (CTRP) Has\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://bzweekly.com/tekne-capital-management-llc-position-in-ctrip-com-intl-ltd-ctrp-has-increased-as-share-value-rose/&cid=52779692115699&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNGEh-Maymf5Qz7UV-5XXnc8uGU37Q""",7,"""BZ Weekly"""
"""Nov 11, 2017""","""Analysts See $0.06 EPS for Ctrip.Com International Ltd (ADR)\u00a0(CTRP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://newburghgazette.com/2017/11/11/analysts-see-0-06-eps-for-ctrip-com-international-ltd-adr/&cid=52779666693088&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNGPHjZh171EIpt1Lqu8BDPF1ydgqg""",8,"""Newburgh Gazette"""
"""Nov 18, 2017""","""Harding Loevner Lp Decreased Ctrip Com Intl Ltd (NASDAQ:CTRP) Stake By $97.66\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://weeklyhub.com/harding-loevner-lp-decreased-ctrip-com-intl-ltd-nasdaqctrp-stake-by-97-66-million/&cid=52779677900736&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNEZ5HT63ZJjWILijOz6aSTjuZdKGQ""",9,"""WeeklyHub"""
"""Nov 15, 2017""","""Capital International INC Has Upped Ctrip.Com Intl Adr (CTRP) Position by $10\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weeklyhub.com/capital-international-inc-has-upped-ctrip-com-intl-adr-ctrp-position-by-10-13-million-stock-rose/&cid=52779672553893&ei=jLsfWuGDHsS6jAHwso7gBA&usg=AFQjCNES1C0H0ERlpIp4sskWGBqTnZaNrg""",10,"""WeeklyHub"""
