Date,Title,Link,Status,Source
"""Oct 31, 2017""","""Seizert Capital Partners, Llc Buys The Middleby Corp, Cognizant Technology\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/seizert-capital-partners-llc-buys-the-middleby-corp-cognizant-technology-solutions-corp-cm869425&cid=52779658876543&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNEwGQYo1yA2EuR2nH_-e2YNM5n7mQ""",1,"""Nasdaq"""
"""Nov 1, 2017""","""Whitnell & Co. Buys DowDuPont Inc, Cognizant Technology Solutions Corp, Sun\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/whitnell-co-buys-dowdupont-inc-cognizant-technology-solutions-corp-sun-communities-cm869790&cid=0&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNHTyU4l8eJ5xgI57KKsCupguQR77w""",2,"""Nasdaq"""
"""1 hour ago""","""Bank of New York Mellon Corp Decreases Stake in Cognizant Technology Solutions\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/cognizant-technology-solutions-corporation-ctsh-position-lessened-by-bank-of-new-york-mellon-corp.html&cid=52779695667512&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNEYc0fDtFoxHSEPN8YqmwrmlYQ94A""",Not Reachable,"""StockNewsTimes"""
"""Nov 1, 2017""","""Digital Shift Keeps Pushing Cognizant Technology's Business\u00a0Forward""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/01/digital-shift-keeps-pushing-cognizant-technologys.aspx&cid=52779657056399&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNH7dFS5vXdAuprY2W1Zj3gpYtCVWw""",3,"""Motley Fool"""
"""Nov 28, 2017""","""Ashmore Wealth Management LLC Cut Holding in Cognizant Technology Solutions\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://bzweekly.com/ashmore-wealth-management-llc-cut-holding-in-cognizant-technology-solutions-corp-ctsh-by-3-86-million/&cid=52779690081582&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNENYKXMe5z1pTNe-Kht7YbJPiZwag""",4,"""BZ Weekly"""
"""Oct 31, 2017""","""Whitnell & Co. Buys DowDuPont Inc, Cognizant Technology Solutions Corp, Sun\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/587654/whitnell--co-buys-dowdupont-inc-cognizant-technology-solutions-corp-sun-communities-inc-sells-international-business-machines-corp-ei-du-pont-de-nemours-cisco-systems-inc&cid=52779657590073&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNEJWtB-zBTvdLHqsu1HUJyg8XyZAg""",5,"""GuruFocus.com"""
"""Nov 20, 2017""","""Why Investors remained confident on Cognizant Technology Solutions Corporation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/20/why-investors-remained-confident-on-cognizant-technology-solutions-corporation-ctsh-ddr-corp-ddr/&cid=52779680938449&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNGNOxtgSf9eTFPsfuRKz8qjq6fYSw""",6,"""StockNewsJournal"""
"""Nov 20, 2017""","""Cognizant Technology Solutions Corporation (CTSH) Moves Lower on Volume Spike\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/cognizant-technology-solutions-corporation-ctsh-moves-lower-on-volume-spike-for-november-20&cid=52779685176033&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNHKWFZdlcBKgyy5kVAQF6FppABJ9A""",Not Reachable,"""Equities.com"""
"""Nov 22, 2017""","""CTSH February 2018 Options Begin\u00a0Trading""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ctsh-february-2018-options-begin-trading-cm881506&cid=52779686540843&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNH8eB8lsQ-2RpKA8C-p1MtYzTdgow""",7,"""Nasdaq"""
"""Nov 1, 2017""","""Cognizant's financial revenue growth slows, shares\u00a0fall""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-cognizant-tech-results/cognizants-financial-revenue-growth-slows-shares-fall-idUSKBN1D149X&cid=52779659055680&ei=YL0fWpG_BdGP2AbtzJ6ABA&usg=AFQjCNFAo9SgeTIS9XVCovbeKUrnt_5q-A""",8,"""Reuters"""
