Date,Title,Link,Status,Source
"""Nov 21, 2017""","""Dollar Tree same-store sales blow past\u00a0estimates""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businessinsider.com/dollar-tree-same-store-sales-blow-past-estimates-q3-2018-earnings-2017-11&cid=52779684144716&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNGIa0NuX_kFXEWnp9-AfuXRNcETLA""",1,"""Business Insider"""
"""Nov 21, 2017""","""Earnings Reaction History: Dollar Tree Inc., 40.0% Follow-Through Indicator, 6\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/earnings-reaction-history-dollar-tree-inc-400-follow-through-indicator-60-sensitive-cm880495&cid=52779684941869&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNEnU00QI61hNzdX1kVn_95PV-BnAw""",2,"""Nasdaq"""
"""Nov 27, 2017""","""Dollar Tree Q3: Sunny Days in a Cloudy\u00a0Sector""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/27/dollar-tree-q3-sunny-days-in-a-cloudy-sector.aspx&cid=52779689005521&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNGt2LajOtFLgZkOQYD_tfNaPQRQzQ""",3,"""Motley Fool"""
"""Nov 16, 2017""","""Will Comps Growth Aid Dollar Tree's (DLTR) Q3\u00a0Earnings?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/will-comps-growth-aid-dollar-trees-dltr-q3-earnings-cm878381&cid=52779677020344&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNGzNTMoRAmqcyTqUg15esOpKQVoNg""",4,"""Nasdaq"""
"""Nov 10, 2017""","""Dollar Tree Inc. (DLTR) Moves Higher on Volume Spike for November\u00a010""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/dollar-tree-inc-dltr-moves-higher-on-volume-spike-for-november-11&cid=52779671303702&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNGXWEL7h6NqJ0z3v_Nk8XptKi8LjA""",Not Reachable,"""Equities.com"""
"""16 hours ago""","""Stock Review: Tracking Shares of Dollar Tree, Inc.\u00a0(NASDAQ:DLTR)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/stock-review-tracking-shares-of-dollar-tree-inc-nasdaqdltr/&cid=52779693170235&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNGtDHGgHq2KTlmFEyogUZvM1z7_gA""",5,"""Stock Talker"""
"""Nov 22, 2017""","""Options Traders Expect Huge Moves in Dollar Tree (DLTR)\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/options-traders-expect-huge-moves-in-dollar-tree-dltr-stock-cm881308&cid=52779686087572&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNFODNq3wVhf8yKO1eX7ZDWhqVDGQw""",6,"""Nasdaq"""
"""Nov 14, 2017""","""The Best Food Retail Stock Is...Dollar\u00a0Tree?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/11/10779704/the-best-food-retail-stock-is-dollar-tree&cid=52779675738873&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNHFxzXKzi7yFlu8PPRWvowB_soRNA""",7,"""Benzinga"""
"""15 hours ago""","""Discovering Momentum Stocks: QEP Resources, Inc. (QEP), Dollar Tree, Inc.\u00a0(DLTR)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/29/discovering-momentum-stocks-qep-resources-inc-qep-dollar-tree-inc-dltr/&cid=52779694838524&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNH2S5E9nbWwtEzXC_q5Q2zNQa6t5w""",8,"""USA Commerce Daily"""
"""12 hours ago""","""Unusual Activity Spotted in Dollar Tree Inc (DLTR) and Park Hotels & Resorts\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.concordregister.com/unusual-activity-spotted-in-dollar-tree-inc-dltr-and-park-hotels-resorts-inc-pk/&cid=52779693610321&ei=pcAfWtnBJtTa2AaJ143ABw&usg=AFQjCNHwSXaRHYNbZYt5MwSBAjVsfm2WUg""",9,"""Concord Register"""
