Date,Title,Link,Status,Source
"""15 hours ago""","""Electronic Arts Inc. Is Learning a Painful\u00a0Lesson""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/electronic-arts-is-learning-painful-lesson/&cid=52779693811530&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNEkCnX2M917YOowcfpya2hhzrbnDg""",1,"""Investorplace.com"""
"""Nov 20, 2017""","""Electronic Arts: Consumer Ire From Battlefront II\u00a0Controversy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126320-electronic-arts-consumer-ire-battlefront-ii-controversy&cid=52779680792742&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGys5eXrcbLbQI6ZWPHLZyrED4tcA""",Not Reachable,"""Seeking Alpha"""
"""Nov 17, 2017""","""Electronic Arts Inc. Just Taught the Industry a Key\u00a0Lesson""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/electronic-arts-inc-ea-stock-taught-industry-key-lesson/&cid=52779677801784&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGc6uT6cmMHAlhUd73O0olvXlUtdA""",2,"""Investorplace.com"""
"""Nov 13, 2017""","""Electronic Arts - Are You Being\u00a0Gamed?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124180-electronic-arts-gamed&cid=52779673764023&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGck8cq8YKJeAVPGn-K-azAFv51Tg""",Not Reachable,"""Seeking Alpha"""
"""Nov 10, 2017""","""Electronic Arts To Acquire Respawn For FPS\u00a0Games""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4123434-electronic-arts-acquire-respawn-fps-games&cid=52779670549030&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGSqwMXyl-YZHRpf1beJsAlMCaHow""",Not Reachable,"""Seeking Alpha"""
"""Nov 10, 2017""","""Why There's More Weakness Ahead for Electronic Arts Inc.\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/electronic-arts-more-weakness-ahead/&cid=52779668157474&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNG-VkcruT_XUnuRppoyvyrN__boNQ""",3,"""Investorplace.com"""
"""Nov 17, 2017""","""Game On for Electronic Arts Inc.\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/game-on-for-ea-stock/&cid=52779676026290&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGmH5MsF107oPWs0PWvV8rA6Twkkw""",4,"""Investorplace.com"""
"""Nov 20, 2017""","""Electronic Arts Becomes Oversold\u00a0(EA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/electronic-arts-becomes-oversold-ea-cm880148&cid=52779683939223&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNEc9wsIgStwCd8qORPpHUrrpIvsVw""",5,"""Nasdaq"""
"""Nov 10, 2017""","""Moody's says Electronic Arts, Inc.'s (Baa2) acquisition of Respawn\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.moodys.com/research/Moodys-says-Electronic-Arts-Incs-Baa2-acquisition-of-Respawn-Entertainment--PR_375331&cid=52779672322535&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNFQRNGcPKhvVMO7xCfr2bDd_uU83w""",Not Reachable,"""Moodys.com (press release)"""
"""Oct 31, 2017""","""Electronic Arts Inc. (EA) Q2 Earnings Top Estimates, Stock\u00a0Falls""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/10/electronic-arts-inc-ea-q2-earnings-top-estimates-stock-falls/&cid=52779657588086&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGTYYd1eatRyOQc2b7b3LmRS86DRA""",6,"""Investorplace.com"""
"""Nov 15, 2017""","""Is Poor Reception of 'Battlefront II' a Reason to Sell Electronic Arts Inc.\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/poor-reception-battlefront-2-reason-to-sell-electronic-arts-stock/&cid=52779679087892&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNEfFXgNHY8DTi-od6aq2ifGTwJAPg""",7,"""Investorplace.com"""
"""Nov 8, 2017""","""Electronic Arts' CEO Imagines a Year Without a New Madden\u00a0Game""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-08/electronic-arts-ceo-imagines-a-year-without-a-new-madden-game&cid=52779667828539&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNHCH1DPycyGINSorFPV8uQ49n5gYA""",8,"""Bloomberg"""
"""Nov 17, 2017""","""Electronic Arts Pulls Microtransactions From 'Star Wars Battlefront II' After\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/electronic-arts-pulls-microtransactions-from-star-wars-battlefront-ii-after-fan-backlash-1510936871&cid=52779678641944&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNEp2DyLKRWlT8eGkTsBtRrE6A3Sqg""",9,"""Wall Street Journal"""
"""Nov 28, 2017""","""Buy or Sell? Average Brokerage Ratings on Electronic Arts Inc. (EA), Boston\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/28/buy-or-sell-average-brokerage-ratings-on-electronic-arts-inc-ea-boston-scientific-corporation-bsx/&cid=52779690041648&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGCR5YywatAG11lFJPgpRmMZigDkA""",10,"""StockNewsJournal"""
"""Nov 7, 2017""","""Electronic Arts Inc. Dips on Earnings but Remains a Solid Long-Term\u00a0Play""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/ea-stock-dips-earnings/&cid=0&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNHcZYUAvbxbeYKajuoNK9h5bW7dPA""",11,"""Investorplace.com"""
"""Nov 1, 2017""","""Electronic Arts (EA) Q2 2018 Results - Earnings Call\u00a0Transcript""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4118874-electronic-arts-ea-q2-2018-results-earnings-call-transcript&cid=52779658973949&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNGY38Xj7rjC7c4-_aA8EAtslb5WCA""",Not Reachable,"""Seeking Alpha"""
"""Nov 22, 2017""","""Electronic Arts Can Come Back From the Dark\u00a0Side""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/electronic-arts-can-come-back-from-the-dark-side-1511346600&cid=52779687497168&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNFvfisPImlzlbj2KeB8daQYQy5YEw""",12,"""Wall Street Journal"""
"""Nov 9, 2017""","""EA to Acquire Respawn\u00a0Entertainment""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171109006677/en/EA-Acquire-Respawn-Entertainment&cid=52779669394250&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNHbclOkfNh2Bx-ey2VDlDArJZiSwg""",13,"""Business Wire (press release)"""
"""20 hours ago""","""Going Through the Figures for Electronic Arts Inc. (EA) and Zynga Inc.\u00a0(ZNGA)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/29/going-through-the-figures-for-electronic-arts-inc-ea-and-zynga-inc-znga/&cid=52779691579183&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNE6WvlcrBxvoMtTqFHA7UD5kmT6Lg""",14,"""Economic News"""
"""Nov 27, 2017""","""Traders Secrets on Nuance Communications, Inc. (NUAN), Electronic Arts Inc.\u00a0(EA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/traders-secrets-on-nuance-communications-inc-nuan-electronic-arts-inc-ea/&cid=52779686332008&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNHQSjtG1E-25vc0nQ6dbAeXJH3i-w""",15,"""StockNewsJournal"""
"""Nov 8, 2017""","""Heidi Ueberroth Joins the Electronic Arts Board of\u00a0Directors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171108006283/en/Heidi-Ueberroth-Joins-Electronic-Arts-Board-Directors&cid=52779668107031&ei=ZsIfWomADYn9jAHGyL64Cg&usg=AFQjCNEVqbnYioUIv-cEfm5ow4JxpMH-4Q""",16,"""Business Wire (press release)"""
