Date,Title,Link,Status,Source
"""10 hours ago""","""eBay Inc. (EBAY) Dips 3.15% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/ebay-inc-ebay-dips-3-15-for-november-29&cid=52779696956259&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNH8BSVbo_23tXh9beTbNvh6071rUA""",Not Reachable,"""Equities.com"""
"""Nov 28, 2017""","""Don't Be Fooled By eBay's Low\u00a0PE""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128202-fooled-ebays-low-pe&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNG_tDFMgRKYD39uUfbCwKJFnJmniQ""",Not Reachable,"""Seeking Alpha"""
"""Nov 13, 2017""","""eBay: A Great\u00a0Opportunity""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124249-ebay-great-opportunity&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNEPQ-xxSu-75RVnOkIuUUr7Vyslog""",1,"""Seeking Alpha"""
"""17 hours ago""","""eBay Inc. (EBAY) has current market capitalization of $37.19\u00a0Billion""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://standardoracle.com/2017/11/29/ebay-inc-ebay-has-current-market-capitalization-of-37-19-billion/&cid=52779696851741&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNF_hR1FtU7syZVKSG3O9KLrzEF7ng""",2,"""StandardOracle"""
"""18 hours ago""","""Some hot names on Wall Street: eBay Inc. (EBAY), United States Steel\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/some-hot-names-on-wall-street-ebay-inc-ebay-united-states-steel-corporation-x/&cid=52779696153029&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHGXGn6AQR9WbPhJp3oeMYcHw2XkQ""",3,"""Market Movers"""
"""17 hours ago""","""eBay Reveals the Nation's Favourite Leading\u00a0Ladies""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/ebay-reveals-the-nations-favourite-leading-ladies-660772553.html&cid=52779696627287&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFPJ_JdYHlhnYAepQ2MGgynMk3uzg""",4,"""PR Newswire (press release)"""
"""23 hours ago""","""Is eBay Inc. (EBAY) Dependable Investment For\u00a0Shareholders?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/is-ebay-inc-ebay-dependable-investment-for-shareholders-2/&cid=52779696059824&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNEeP_F4rHlb-QWytzjTTyXlTiokVg""",5,"""AllStockNews"""
"""Nov 28, 2017""","""Comparison To Peers: Sabra Health Care REIT, Inc. (SBRA), eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/28/comparison-to-peers-sabra-health-care-reit-inc-sbra-ebay-inc-ebay/&cid=52779693198573&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNG8jrpXfihaq_BnkcyFqBNX6c8FsA""",6,"""AllStockNews"""
"""Nov 28, 2017""","""What the Insider Data Suggests About eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/28/what-the-insider-data-suggests-about-ebay-inc-ebay/&cid=52779694866683&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNGcYO5R7KHQ-VXw2-Qs_-DoGxe-3w""",Not Reachable,"""StockNewsGazette"""
"""16 hours ago""","""How Insiders and Institutions are Trading eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.nystocknews.com/2017/11/29/how-insiders-and-institutions-are-trading-ebay-inc-ebay-3/&cid=52779696867020&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHFf7UGiBLL75aajt6KzUOc91EaeQ""",7,"""NY Stock News"""
"""13 hours ago""","""eBay Inc. (EBAY) Shares Bought by Pacer Advisors\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/29/pacer-advisors-inc-raises-position-in-ebay-inc-ebay.html&cid=52779695691494&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFGOPVIsX4aMHNsc_Hu8fC0Olo1mQ""",Not Reachable,"""StockNewsTimes"""
"""Nov 27, 2017""","""Breaking Down the Chart for eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/breaking-down-the-chart-for-ebay-inc-ebay-5/&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNEbF1uKO4XEoezSZokPcyVBxVI7FQ""",8,"""Economic News"""
"""16 hours ago""","""Talking About Current Stock Valuation: Symantec Corporation (SYMC), eBay Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/talking-about-current-stock-valuation-symantec-corporation-symc-ebay-inc-ebay/&cid=52779694861615&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNEDEHR6envlHltnlrvCZlN3MD60Xg""",9,"""Post Analyst"""
"""Nov 10, 2017""","""Pre-Market Technical Recap on Specialty Retail Stocks -- eBay Inc., Etsy Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/pre-market-technical-recap-on-specialty-retail-stocks----ebay-inc-etsy-inc-hsn-inc-and-sothebys-300553734.html&cid=52779670159872&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHy8i-VJP6oMoboSutkmfmdxMF4ew""",Not Reachable,"""PR Newswire (press release)"""
"""Nov 28, 2017""","""Why to Keeping Eye on Las Vegas Sands Corp. (LVS), eBay Inc.\u00a0(EBAY)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/28/why-to-keeping-eye-on-las-vegas-sands-corp-lvs-ebay-inc-ebay/&cid=52779687806248&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNE9c-TyISq5htENuskdfOuLHy3DOg""",10,"""StockNewsJournal"""
"""Nov 28, 2017""","""Are We Paying Enough Attention to eBay Inc. (EBAY), Axcelis Technologies, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/28/are-we-paying-enough-attention-to-ebay-inc-ebay-axcelis-technologies-inc-acls/&cid=52779689794729&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHQ393aIEn7OG6GVX6ScHEQ4iTsiw""",Not Reachable,"""Post Analyst"""
"""Nov 1, 2017""","""Montag & Caldwell, Llc Buys eBay Inc, Sherwin-Williams Co, Analog Devices Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/montag-caldwell-llc-buys-ebay-inc-sherwin-williams-co-analog-devices-inc-sells-cm870089&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHPLjwji0AUQ2P-xgjKdrKDrftjYw""",11,"""Nasdaq"""
"""Nov 24, 2017""","""Analytical Guide for two rising stock's: eBay Inc. (EBAY), Fairmount Santrol\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/24/analytical-guide-for-two-rising-stocks-ebay-inc-ebay-fairmount-santrol-holdings-inc-fmsa/&cid=52779684977052&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHHShMYBy0ZiiP0IkolK5kVFNusuQ""",12,"""StockNewsJournal"""
"""Nov 2, 2017""","""eBay Just Dropped Shockingly Good Deals On Big-Ticket\u00a0Purchases""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.huffingtonpost.com/entry/what-to-buy-during-ebays-first-minute-deals_us_59fb34e0e4b0b0c7fa389013&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHbniR1-nSTQ_tFTfTcnEnREYTNtg""",Not Reachable,"""HuffPost"""
"""Nov 27, 2017""","""eBay Inc. (EBAY): Does This Move Make Any Sense At All\u00a0?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/27/ebay-inc-ebay-does-this-move-make-any-sense-at-all-2/&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHRx2C9uuXMkVT6s0paf1TPjApcbg""",13,"""StockNewsGazette"""
"""Nov 22, 2017""","""Another motive To buy these stock: eBay Inc. (EBAY), Deere & Company\u00a0(DE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/22/another-motive-to-buy-these-stock-ebay-inc-ebay-deere-company-de/&cid=52779686172656&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFxKlLx2QIVJBn_lv2EbL-6tudDqg""",Not Reachable,"""StockNewsJournal"""
"""Nov 21, 2017""","""The Bull Case for eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/21/the-bull-case-for-ebay-inc-ebay-3/&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFHUXwA_1Fo2BZonXt4PEuuKMqFqw""",14,"""Economic News"""
"""14 hours ago""","""Investors see Lower earnings in the future eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/29/investors-see-lower-earnings-in-the-future-ebay-inc-ebay/&cid=52779696526636&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFRA-rV_q3OCFWujRlxEGZQC5nryA""",15,"""Street Observer (press release)"""
"""Nov 26, 2017""","""eBay Inc. (EBAY) Shares Sold by Scout Investments\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/26/scout-investments-inc-reduces-stake-in-ebay-inc-ebay.html&cid=52779686408693&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNEM0gmpaa_S9PqtaPcmToa_w7xhLQ""",Not Reachable,"""The Ledger Gazette"""
"""19 hours ago""","""Few Things investors Didn't Know About: Host Hotels & Resorts, Inc. (HST\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/few-things-investors-didnt-know-about-host-hotels-resorts-inc-hst-ebay-inc-ebay/&cid=52779689754040&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHXYhUY0PswfN0WjCLjsfuOr9L8Aw""",16,"""StockNewsJournal"""
"""Nov 20, 2017""","""Revenue Approximations Analysis: eBay Inc. (EBAY), Dick's Sporting Goods, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/20/revenue-approximations-analysis-ebay-inc-ebay-dicks-sporting-goods-inc-dks/&cid=52779681204409&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHFCXk2wV1n7hVErvlnU5fbgd9QfQ""",Not Reachable,"""StockNewsJournal"""
"""Nov 28, 2017""","""Legal & General Group Plc Acquires 128728 Shares of eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/28/legal-general-group-plc-acquires-128728-shares-of-ebay-inc-ebay.html&cid=52779694734991&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNGurr0L931DJk07eg5_EqpbduOl2w""",Not Reachable,"""The Ledger Gazette"""
"""Nov 27, 2017""","""eBay Inc. (EBAY) closed the last trading session at\u00a0$35.84""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://standardoracle.com/2017/11/27/ebay-inc-ebay-closed-the-last-trading-session-at-35-84/&cid=52779693213665&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNH18HeTqdXTwqTWXVgKMSxVD05W0A""",17,"""StandardOracle"""
"""Nov 27, 2017""","""eBay Inc (EBAY) Turns To Artificial Intelligence To Boost Holiday Sales\u00a0Numbers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknews.com/news/ebay-ebay-inc-ebay-turns-to-artificial-intelligence-to-boost-holiday/&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNElxCLh78y-Nj-BPgDsfkq1E7vxZQ""",18,"""StockNews.com (blog)"""
"""3 hours ago""","""Meag Munich Ergo Kapitalanlagegesellschaft MBH Acquires Shares of 89170 eBay\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://weekherald.com/2017/11/30/meag-munich-ergo-kapitalanlagegesellschaft-mbh-invests-3-38-million-in-ebay-inc-ebay-stock.html&cid=52779697272292&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNGqOJmCEPAJytOapk-9lWe4GRscWw""",Not Reachable,"""Week Herald"""
"""Nov 16, 2017""","""Checking Out the Fundamental Data for eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsgazette.com/2017/11/16/checking-out-the-fundamental-data-for-ebay-inc-ebay/&cid=52779678818802&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNH8m1nZ3KMSs3oRi_ALnshvG-x7Jw""",19,"""StockNewsGazette"""
"""18 hours ago""","""Buy or Sell?: eBay Inc., (NASDAQ: EBAY), Surgery Partners, Inc., (NASDAQ: SGRY\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/29/buy-or-sell-ebay-inc-nasdaq-ebay-surgery-partners-inc-nasdaq-sgry-nike-inc-nyse-nke-agilent-technologies-inc-nyse-a/&cid=52779696126499&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNEijc8_TlXV8YjLXXPCGdzyXm8iGg""",20,"""Stocks In The News (press release)"""
"""Nov 27, 2017""","""eBay Inc. (NASDAQ:EBAY) Given \u201cHold\u201d Rating at SunTrust Banks,\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/27/ebay-inc-ebay-given-hold-rating-at-suntrust-banks-inc.html&cid=52779693153517&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHm4rGhfYONxOQkJkskpaTSbKqvjg""",Not Reachable,"""StockNewsTimes"""
"""Nov 16, 2017""","""Few Things investors Didn't Know About: eBay Inc. (EBAY), TransEnterix, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/16/few-things-investors-didnt-know-about-ebay-inc-ebay-transenterix-inc-trxc/&cid=52779678795963&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHcYkJqkvx_HPOGD0AtYqk0jn4mIA""",21,"""StockNewsJournal"""
"""17 hours ago""","""Traders Actions to Focus: Valeant Pharmaceuticals International, Inc. (VRX\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://theriponadvance.com/traders-actions-to-focus-valeant-pharmaceuticals-international-inc-vrx-ebay-inc-ebay/121139272/&cid=52779690845558&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFFr8KVxe9P25uW6fQROmZOX7bblQ""",22,"""TRA"""
"""Nov 22, 2017""","""eBay Inc. (EBAY) Insider Trading: DOERGER BRIAN J. sold 4359\u00a0Shares""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.economicsandmoney.com/2017/11/22/ebay-inc-ebay-insider-trading-doerger-brian-j-sold-4359-shares/&cid=0&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNFMhiNy_z1itd1EDg1WoN9Lq6u76Q""",23,"""Economic News"""
"""Nov 27, 2017""","""eBay Inc. (EBAY) and Tractor Supply Company (TSCO) Go\u00a0Head-to-head""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/27/ebay-inc-ebay-and-tractor-supply-company-tsco-go-head-to-head/&cid=52779690718877&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNGCfX-j-0fcHVzF99LmPxOLpUiYZg""",24,"""StockNewsGazette"""
"""13 hours ago""","""Delighting Stocks- eBay Inc. (NASDAQ:EBAY) a Specialty Retail, Other\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/29/delighting-stocks-ebay-inc-nasdaqebay-a-specialty-retail-other-company/&cid=52779696566341&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNG6Llm2zp4v45uQkkuGZGVZ_oqkWA""",25,"""The Stock Street (press release)"""
"""Nov 20, 2017""","""Which insiders are selling eBay Inc.\u00a0(EBAY)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/20/which-insiders-are-selling-ebay-inc-ebay/&cid=52779683767866&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNH3Y0SE7HaN5BQZVSRegiwHMpegVw""",Not Reachable,"""Post Analyst"""
"""20 hours ago""","""Are Ebay Inc (EBAY) Shares Brimming\u00a0Over?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://finnewsweek.com/are-ebay-inc-ebay-shares-brimming-over/561595/&cid=52779696303481&ei=V8QfWvjaKNihjAHU9JWIAg&usg=AFQjCNHR6oEMAUSixGSrplRwLu0sCdDwAw""",26,"""Financial Newsweek"""
"""13 hours ago""","""Delighting Stocks- eBay Inc. (NASDAQ:EBAY) a Specialty Retail, Other\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/29/delighting-stocks-ebay-inc-nasdaqebay-a-specialty-retail-other-company/&cid=52779696566341&ei=6MUfWsCvBcTg2Aa3y6-YAw&usg=AFQjCNEFiocbqIT1pYPjAdcF8ktvp8gdjw""",27,"""The Stock Street (press release)"""
"""Nov 27, 2017""","""Street Analysts View On Exelixis, Inc. (EXEL), eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/27/street-analysts-view-on-exelixis-inc-exel-ebay-inc-ebay/&cid=52779688023899&ei=6MUfWsCvBcTg2Aa3y6-YAw&usg=AFQjCNEKTLOj8cmIpWi-emnuuzT8xqNssg""",28,"""Post Analyst"""
"""Nov 28, 2017""","""Today's Analyst Moves: eBay Inc. (EBAY), Rand Logistics, Inc.\u00a0(RLOG)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/28/todays-analyst-moves-ebay-inc-ebay-rand-logistics-inc-rlog/&cid=52779690487672&ei=6MUfWsCvBcTg2Aa3y6-YAw&usg=AFQjCNHE0M9k_EowAeT-8tqxcdrTs9g1oQ""",Not Reachable,"""USA Commerce Daily"""
"""Nov 28, 2017""","""Money-making stocks that will influence your buying rate: eBay Inc.\u00a0(EBAY)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://news4j.com/2017/11/28/money-making-stocks-that-will-influence-your-buying-rate-ebay-inc-ebay-3/&cid=0&ei=6MUfWsCvBcTg2Aa3y6-YAw&usg=AFQjCNFlJ4P89_THKJfkGUcalE0LF9DONw""",29,"""The News Journal"""
