Date,Title,Link,Status,Source
"""1 hour ago""","""DekaBank Deutsche Girozentrale Grows Holdings in Equinix, Inc.\u00a0(EQIX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/equinix-inc-eqix-holdings-raised-by-dekabank-deutsche-girozentrale.html&cid=52779694637650&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNFMyhtYVU4dLh4iMV37AxAsj5SIyQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 13, 2017""","""Equinix, Inc. (EQIX) Ex-Dividend Date Scheduled for November 14,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/equinix-inc-eqix-ex-dividend-date-scheduled-for-november-14-2017-cm876259&cid=52779668810431&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNGRFDO4MHQMLz-yoOO7wdVYb3GP0g""",Not Reachable,"""Nasdaq"""
"""19 hours ago""","""Equinix Collaboration with AWS Expands to Additional\u00a0Markets""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/equinix-collaboration-with-aws-expands-to-additional-markets-300563404.html&cid=52779696329328&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNE3hp03rE01roZvP7fYWvRRvZ3NIQ""",1,"""PR Newswire (press release)"""
"""Nov 2, 2017""","""Equinix Inc. (EQIX) Rises 4.63% for November\u00a002""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/equinix-inc-eqix-rises-4-63-for-november-02&cid=52779660028245&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNGDd0c8da-W6_AVA22LvWGyebR1HQ""",Not Reachable,"""Equities.com"""
"""Nov 28, 2017""","""35733 Shares in Equinix, Inc. (NASDAQ:EQIX) Purchased by Zweig DiMenna\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/28/zweig-dimenna-associates-llc-acquires-new-stake-in-equinix-inc-eqix.html&cid=52779688506027&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNF6Wt42p0MFL1zqnXaHC125Vb1akA""",Not Reachable,"""The Ledger Gazette"""
"""14 hours ago""","""Exceptional Quant Score Makes Equinix (EQIX) a Strong\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.investorplace.com/2017/11/exceptional-quant-score-makes-equinix-eqix-a-strong-buy/&cid=52779696314017&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNHsVUM0a3eoUVpOIX_6GhzfBjJBAw""",2,"""Investorplace.com"""
"""15 hours ago""","""Equinix Inc (EQIX) Moving -2.18% in\u00a0Session""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/equinix-inc-eqix-moving-2-18-in-session/&cid=52779695805559&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNGVhhJXcZA5uuR15_MRQIWDLWV-0Q""",3,"""Stock Talker"""
"""17 hours ago""","""Trading Monitor: Watching the Numbers for Equinix, Inc.\u00a0(NASDAQ:EQIX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/trading-monitor-watching-the-numbers-for-equinix-inc-nasdaqeqix/&cid=52779693170235&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNHD5UlKTTYf0bg15ak3nHgEQCWnlw""",Not Reachable,"""Stock Talker"""
"""Nov 1, 2017""","""Equinix beats in Q3 with gains across nearly all\u00a0measures""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3307104-equinix-beats-q3-gains-across-nearly-measures&cid=52779657422245&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNFzbANnDWGTEUDcPDVz1Xj28-PQdw""",Not Reachable,"""Seeking Alpha"""
"""Nov 28, 2017""","""Form 4 EQUINIX INC For: Nov 27 Filed by: TAYLOR KEITH\u00a0D""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetinsider.com/SEC%2BFilings/Form%2B4%2BEQUINIX%2BINC%2BFor%253A%2BNov%2B27%2BFiled%2Bby%253A%2BTAYLOR%2BKEITH%2BD/13548126.html&cid=52779695365237&ei=i8cfWpHrIIPwjAHk-6vQCQ&usg=AFQjCNEj-kGWAYSH_DvZdARi-QfDUySqhQ""",Not Reachable,"""StreetInsider.com"""
