Date,Title,Link,Status,Source
"""13 hours ago""","""Express Scripts Sells Unit With Ties To Mallinckrodt's\u00a0Acthar""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4128558-express-scripts-sells-unit-ties-mallinckrodts-acthar&cid=52779696106194&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNHi_ruWMaoFQZi5BSjHu6X5iMKpwg""",1,"""Seeking Alpha"""
"""Nov 22, 2017""","""Better Buy: CVS Health Corp. vs. Express Scripts Holding\u00a0Company""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/better-buy-cvs-health-corp-vs-express-scripts-hold.aspx&cid=52779684182791&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNHPLz6JrWnFGDP0h-FSWT6nYu3Daw""",2,"""Motley Fool"""
"""17 hours ago""","""Express Scripts Holding Company (NASDAQ:ESRX): Stock Update on This\u00a0Stock""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/express-scripts-holding-company-nasdaqesrx-stock-update-on-this-stock/&cid=52779695468544&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNG2_TQo_heC-wkqe8Ke-wHOSI27Qg""",3,"""Stock Talker"""
"""Nov 24, 2017""","""Few Things investors Didn't Know About: Express Scripts Holding Company (ESRX\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/few-things-investors-didnt-know-about-express-scripts-holding-company-esrx-the-mosaic-company-mos/&cid=52779688240785&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNFOMn-SgFeJJjeAqaC4FaNClgMdsQ""",4,"""StockNewsJournal"""
"""Nov 20, 2017""","""Digging Up the Facts on Express Scripts Holding Company\u00a0(ESRX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/20/digging-up-the-facts-on-express-scripts-holding-company-esrx-5/&cid=52779679959174&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNFTszkyC6_pI_Q1q9jxUE3CmMXAaw""",5,"""StockNewsJournal"""
"""Nov 26, 2017""","""Express Scripts Holding Company (NASDAQ:ESRX) Shares Sold by Commerce\u00a0Bank""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/26/commerce-bank-lowers-holdings-in-express-scripts-holding-company-esrx.html&cid=52779687226326&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNGnhypWERrONL2cOGW2uur3W57Azw""",Not Reachable,"""The Ledger Gazette"""
"""19 hours ago""","""Undulating Stocks: Express Scripts Holding Company, (NASDAQ: ESRX), Advanced\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/29/undulating-stocks-express-scripts-holding-company-nasdaq-esrx-advanced-accelerator-applications-s-a-nasdaq-aaap-coty-inc-nyse-coty-bunge-limited-nyse-bg/&cid=0&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNH0IT3ovVqAFku9dhukUVkVU1oX2w""",6,"""Stocks In The News (press release)"""
"""Nov 16, 2017""","""Earnings Clues on Express Scripts Holding Company (ESRX), Sabre Corporation\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/16/earnings-clues-on-express-scripts-holding-company-esrx-sabre-corporation-sabr-analysts-predictions/&cid=52779677131647&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNHIZgro8_dOMjfGqMFgGM_sXY9hgw""",7,"""StockNewsJournal"""
"""14 hours ago""","""How expensive a Express Scripts Holding Company (ESRX) stock\u00a0is?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/29/how-expensive-a-express-scripts-holding-company-esrx-stock-is/&cid=52779696526636&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNEhitRQTOclBd8qhBKUK8BRD6eUqg""",Not Reachable,"""Street Observer (press release)"""
"""Nov 6, 2017""","""Exiting Express Scripts CFO to receive $2.2 million in separation\u00a0benefits""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/stlouis/news/2017/11/06/exiting-express-scripts-cfo-to-receive-2-2-million.html&cid=0&ei=0M4fWoDkMtTa2AaJ143ABw&usg=AFQjCNHetI_NHQvMNircYCW-cu90QX9kWg""",8,"""St. Louis Business Journal"""
