Date,Title,Link,Status,Source
"""14 hours ago""","""Facebook, Inc. Stock Tumbles Amid Broad Tech\u00a0Selloff""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.valuewalk.com/2017/11/facebook-inc-stock-tumbles-amid-broad-tech-selloff/&cid=52779697046369&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNF2bvIwHSIynEY4OfSbiIMg0QXWjg""",Not Reachable,"""ValueWalk"""
"""18 hours ago""","""How to Collect a 40% Gain on Facebook Inc Stock in Just Two\u00a0Weeks""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/collect-40-gain-on-facebook-inc-in-two-weeks/&cid=0&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNHaQimze6V4mu85B5YSCQVJdmPSRQ""",1,"""Investorplace.com"""
"""11 hours ago""","""Facebook Inc. (FB) Dips 4% for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/facebook-inc-fb-dips-4-for-november-29&cid=0&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNF50M8l5IgD3BGYmoiTsXeLRfFLow""",Not Reachable,"""Equities.com"""
"""Nov 27, 2017""","""Why Facebook Inc Is on the Verge of a Massive\u00a0Breakout""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/facebook-inc-fb-stock-massive-breakout/&cid=0&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNEYNUzrum-PWsGah8WysOL_Ly6SSQ""",2,"""Investorplace.com"""
"""Nov 22, 2017""","""Facebook to Show Users Which Russian Propaganda They\u00a0Followed""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-22/facebook-to-show-people-the-russian-propaganda-they-followed&cid=52779686539455&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNGkX270PM0-yAVV0Tjs702Dq06Aig""",3,"""Bloomberg"""
"""6 hours ago""","""Facebook Inc (FB) COB and CEO Mark Zuckerberg Sold $42.5 million of\u00a0Shares""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.gurufocus.com/news/603834/facebook-inc-fb-cob-and-ceo-mark-zuckerberg-sold-425-million-of-shares&cid=52779696667581&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNGPEYxET27OeD9uO3hFjJdzqG7sCw""",4,"""GuruFocus.com"""
"""Nov 27, 2017""","""Facebook to expand artificial intelligence to help prevent\u00a0suicide""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-facebook-suicide/facebook-to-expand-artificial-intelligence-to-help-prevent-suicide-idUSKBN1DR1YT&cid=52779693371560&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNFdBR2ETODzQh8yy0t3mVR1GjIC_A""",5,"""Reuters"""
"""19 hours ago""","""Facebook Inc (NASDAQ:FB) HEFFX\u00a0Highlights""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.livetradingnews.com/facebook-inc-nasdaqfb-heffx-highlights-23-64000.html&cid=52779696727731&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNGmGIZe1e7OoyjHAPIZah8x6USoYg""",Not Reachable,"""Live Trading News"""
"""Nov 16, 2017""","""Why 2017 Was a Year to Remember for Facebook\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/16/why-2017-was-a-year-to-remember-for-facebook-inc.aspx&cid=52779678879203&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNHawu4fk_4djINtZ38l88aZgO5Z7A""",6,"""Motley Fool"""
"""Nov 12, 2017""","""Better Buy: Facebook Inc vs.\u00a0Google""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/12/better-buy-facebook-inc-vs-google.aspx&cid=52779671834720&ei=Q9EfWoiyJsSPjAG5hbEY&usg=AFQjCNHXOTAgA9Xvaq53w1NckiLyoJ_tzQ""",7,"""Motley Fool"""
