Date,Title,Link,Status,Source
"""Nov 17, 2017""","""This $141B lender wants more in Nashville. Here's how they'll do\u00a0it.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/nashville/news/2017/11/17/this-141b-lender-wants-more-in-nashville-heres-how.html&cid=0&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNFtSn_a_pmP4pl5E4V9_7_oBZ7DoA""",1,"""Nashville Business Journal"""
"""Nov 28, 2017""","""Fifth Third Bank CEO explains how its branches are\u00a0changing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/cincinnati/news/2017/11/28/fifth-third-bank-ceo-explains-how-its-branches-are.html&cid=52779689962310&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNHTkNV8pUhEqSQ00456nw8AZvgwUA""",2,"""Cincinnati Business Courier"""
"""Nov 17, 2017""","""Fifth Third Bancorp and Fifth Third Bank Foundation Donated More than $500K to\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171117005809/en/Bancorp-Bank-Foundation-Donated-500K-Assist-Hurricane&cid=52779678242330&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNET8UD2IFxA07K9D_CBn4QIp2bBhQ""",3,"""Business Wire (press release)"""
"""Nov 2, 2017""","""The Boss: Fifth Third's Kevin Lavender is a always looking for deals \u2013 and a\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/nashville/news/2017/11/02/the-boss-fifth-thirds-kevin-lavender-is-a-always.html&cid=0&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEKD6dM2pgZ9rC9HdIyKl0DJJQ7CA""",4,"""Nashville Business Journal"""
"""Nov 2, 2017""","""Kristine Garrett Named National Head of Fifth Third Private\u00a0Bank""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171102005963/en/Kristine-Garrett-Named-National-Head-Private-Bank&cid=52779658997001&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEtnkG1GdewJapM2C2vjSQS-HSRWA""",5,"""Business Wire (press release)"""
"""Nov 1, 2017""","""Fifth Third Completes Acquisition of Epic Insurance Solutions, Integrity\u00a0HR""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171101006007/en/Completes-Acquisition-Epic-Insurance-Solutions-Integrity-HR&cid=52779654230715&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEBYcKZ5-KmBoijw8a150q0bpt1nQ""",6,"""Business Wire (press release)"""
"""21 hours ago""","""Setting Up Technical Traps: Fifth Third Bancorp (FITB), Alaska Air Group, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/setting-up-technical-traps-fifth-third-bancorp-fitb-alaska-air-group-inc-alk/&cid=52779689106328&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNGzH7BVua7yYTVYLet7mTR4zRbMgA""",7,"""AllStockNews"""
"""Nov 24, 2017""","""Earnings Clues on Fifth Third Bancorp (FITB), Analog Devices, Inc. (ADI\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/earnings-clues-on-fifth-third-bancorp-fitb-analog-devices-inc-adi-analysts-predictions/&cid=52779683798418&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNHBU4fcC2ry2UT3goLWg0ynJLZU3w""",8,"""StockNewsJournal"""
"""15 hours ago""","""Fifth Third Bancorp (FITB) P/E 11.01 shows low expectations for a company's\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.streetobserver.com/2017/11/29/fifth-third-bancorp-fitb-p-e-11-01-shows-low-expectations-for-a-companys-potential-earnings-growth/&cid=52779696526636&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEfTkRHNeHeQQTZiwtece-k4RP7EQ""",9,"""Street Observer (press release)"""
"""16 hours ago""","""Bordering on Key Levels: Iconix Brand Group, Inc. (ICON), Fifth Third Bancorp\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/bordering-on-key-levels-iconix-brand-group-inc-icon-fifth-third-bancorp-fitb/&cid=52779696308900&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNFoOp818AfTYetzomDthBgGPymoLw""",10,"""Market Movers"""
"""Nov 10, 2017""","""Fifth Third Bancorp (FITB) Moves Lower on Volume Spike for November\u00a010""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/fifth-third-bancorp-fitb-moves-lower-on-volume-spike-for-november-11&cid=52779668129434&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEIJG8bQY2yB48Ize7ZNG4CWxAsZg""",Not Reachable,"""Equities.com"""
"""Nov 28, 2017""","""Should You Buy Huntington Bancshares Incorporated (HBAN) or Fifth Third\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsgazette.com/2017/11/28/should-you-buy-huntington-bancshares-incorporated-hban-or-fifth-third-bancorp-fitb/&cid=52779689585435&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNFL4mfroLfqWpJQA3eXn4dkq5tdOg""",11,"""StockNewsGazette"""
"""Nov 1, 2017""","""Fifth Third Closes Acquisition of Epic Insurance Solutions, Integrity\u00a0HR""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.insurancejournal.com/news/midwest/2017/11/03/470394.htm&cid=0&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNHKV2hizqLwxo7aHBDHAiHh2j8K8w""",12,"""Insurance Journal"""
"""Nov 13, 2017""","""Fifth Third Bancorp (FITB) Moves Higher on Volume Spike for November\u00a013""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/fifth-third-bancorp-fitb-moves-higher-on-volume-spike-for-november-13&cid=52779673166678&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEGNUOoqr2jMkKpKFYePj_jcWC5yw""",Not Reachable,"""Equities.com"""
"""Nov 15, 2017""","""2017 Corporate Philanthropy Awards: Fifth Third\u00a0Bank""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/orlando/news/2017/11/15/2017-corporate-philanthropy-awards-fifth-third.html&cid=0&ei=stYfWqmkNcSnjAH-hbDABw&usg=AFQjCNEU54hX27Qoa6kVvWM8ur4NiBy_-w""",13,"""Orlando Business Journal"""
