Date,Title,Link,Status,Source
"""12 hours ago""","""Alphabet Inc. (GOOG) Moves Lower on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/alphabet-inc-goog-moves-lower-on-volume-spike-for-november-29&cid=52779696155530&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNE1lIEVv50bDlMjZfrFFNpBfzoSBA""",Not Reachable,"""Equities.com"""
"""Nov 15, 2017""","""Here's How Alphabet Plans to Beat Tesla and\u00a0GM""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-15/alphabet-inc-goog-googl-tesla-tsla-general-motors-company-gm-waymo&cid=0&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNGLDqXXjEuxVlb4GcPKYcq0UWQWGQ""",Not Reachable,"""U.S. News & World Report"""
"""Nov 20, 2017""","""Are the Regulators Coming for Alphabet Inc (GOOGL)\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/regulators-alphabet-inc-googl-stock-price/&cid=52779682013768&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNFzwCH1mci9F_kt2mu-qrvc7x5cxA""",1,"""Investorplace.com"""
"""Nov 14, 2017""","""Why Alphabet Inc Stock Is a Sure\u00a0Bet""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/alphabet-inc-googl-sure-bet/&cid=52779676021137&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNEhXTMmv4GDg-Km0JRSvx0uV7fEgg""",2,"""Investorplace.com"""
"""Nov 16, 2017""","""Alphabet Inc Is Running on Autopilot, Which Should Worry\u00a0You""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/google-stock-running-autopilot/&cid=52779678303839&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNGWZ0LQaEPZXB-6FTTJJGQ_v5zEcg""",3,"""Investorplace.com"""
"""Oct 31, 2017""","""Alphabet, Inc. Management Talks Acquisitions, Growth Drivers, and\u00a0Hardware""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/10/31/alphabet-inc-management-talks-acquisitions-growth.aspx&cid=52779657865935&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNFEV8NQP_hklJ1gzfbgzCy3jOlI1g""",4,"""Motley Fool"""
"""21 hours ago""","""GrubHub Inc. (GRUB) vs. Alphabet Inc. (GOOG): Is One a Better Investment Than\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/29/grubhub-inc-grub-vs-alphabet-inc-goog-is-one-a-better-investment-than-the-other/&cid=52779694737612&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNGYC8tsBPdcfTu_U4mST6wnxzw8Mg""",5,"""Economic News"""
"""14 hours ago""","""Twitter, Inc. (TWTR) and Alphabet Inc. (GOOG) Go\u00a0Head-to-head""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/29/twitter-inc-twtr-and-alphabet-inc-goog-go-head-to-head/&cid=52779694760481&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNGhRWC-QTj9OnMZzvlPcUQaGbjT7w""",6,"""StockNewsGazette"""
"""Nov 13, 2017""","""Alphabet Inc Is Winning the Self-Driving Taxi\u00a0Race""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/googl-stock-winning-race/&cid=52779671834720&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNHHG3PaRDZ75G9kmm9ZwWXFaCiD_A""",7,"""Investorplace.com"""
"""Nov 2, 2017""","""Now Is the Perfect Time to Go Long Alphabet Inc Stock \u2026\u00a0Again""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/perfect-time-to-go-long-alphabet-inc-googl-stock/&cid=52779656996825&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNFx9TYUCja-uo8fT_2XmOya-RnN4w""",8,"""Investorplace.com"""
"""16 hours ago""","""Uber general counsel accuses former security analyst of extortion\u00a0attempt""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3315141-uber-general-counsel-accuses-former-security-analyst-extortion-attempt&cid=52779696569392&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNEVEHPjVl9RX2Y5YaPDj6bFHNvVRQ""",9,"""Seeking Alpha"""
"""16 hours ago""","""Financial Analysis and Stock Valuation: Wynn Resorts, Limited (WYNN), Alphabet\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/financial-analysis-and-stock-valuation-wynn-resorts-limited-wynn-alphabet-inc-goog/&cid=52779693127310&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNGE8fs7r-GSetv0TjgDGW4BfDht9w""",10,"""AllStockNews"""
"""Nov 8, 2017""","""Alphabet: Valuation Update After Quarterly\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122485-alphabet-valuation-update-quarterly-results&cid=52779667630995&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNGCMGraQx7rWFhYFA8npIZRfrA1hw""",11,"""Seeking Alpha"""
"""Nov 1, 2017""","""Alphabet Wants To Monetize YouTube As The Next Big\u00a0Thing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119273-alphabet-wants-monetize-youtube-next-big-thing&cid=52779659885079&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNF30ofxCbqPLH3YADHKIHRrtsxKUg""",Not Reachable,"""Seeking Alpha"""
"""Nov 14, 2017""","""Ruane Cunniff Buys Alphabet Inc, Alphabet Inc, Wells Fargo, Sells Baidu Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ruane-cunniff-buys-alphabet-inc-alphabet-inc-wells-fargo-sells-baidu-inc-chipotle-mexican-cm877289&cid=52779676744448&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNFBp_AqpGW2NWFN56Gn4U5ewZGTaA""",12,"""Nasdaq"""
"""Nov 28, 2017""","""Google adds 'finance' tab to search filters, revamps Google\u00a0Finance""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/alphabet-finance/google-adds-finance-tab-to-search-filters-revamps-google-finance-idUSL3N1NY4A9&cid=52779694773821&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNEMeB_mwKLyntV2eCIuPj3oVns-9g""",13,"""Reuters"""
"""Nov 28, 2017""","""A Glimpse Into Insider Trading And Ownership At Alphabet Inc.\u00a0(GOOG)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/28/a-glimpse-into-insider-trading-and-ownership-at-alphabet-inc-goog/&cid=52779695154500&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNEBaPHfHDjOWURVdShjSuPA1n-BYQ""",14,"""Economic News"""
"""Nov 21, 2017""","""Alphabet Inc's Google Pixel Buds Aren't Living Up to the\u00a0Hype""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/alphabet-inc-google-pixel-buds-arent-living-up-to-hype/&cid=52779684194923&ei=at8fWoGmHcKU2AbU2LbQCw&usg=AFQjCNG0kwJA5CxaFLfCMhbEBeo1lahQ2A""",15,"""Investorplace.com"""
