Date,Title,Link,Status,Source
"""12 hours ago""","""Alphabet Inc. (GOOGL) Moves Lower on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/alphabet-inc-googl-moves-lower-on-volume-spike-for-november-29&cid=52779696155530&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNHXWuOShfIYjpSm503NINYX3GZshA""",Not Reachable,"""Equities.com"""
"""12 hours ago""","""Alphabet Inc. (GOOG) Moves Lower on Volume Spike for November\u00a029""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/alphabet-inc-goog-moves-lower-on-volume-spike-for-november-29&cid=52779696155530&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNEWTNCgQmlfVN0Tis5lOhR3CU1Z9w""",Not Reachable,"""Equities.com"""
"""Nov 15, 2017""","""Here's How Alphabet Plans to Beat Tesla and\u00a0GM""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-15/alphabet-inc-goog-googl-tesla-tsla-general-motors-company-gm-waymo&cid=0&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNEjrIFl9loKcaZmwe3YKPIFXVL3gw""",Not Reachable,"""U.S. News & World Report"""
"""Nov 20, 2017""","""Are the Regulators Coming for Alphabet Inc (GOOGL)\u00a0Stock?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/regulators-alphabet-inc-googl-stock-price/&cid=52779682013768&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNHrAx1DcmOfqachQLoIGvoszD2PcA""",1,"""Investorplace.com"""
"""Nov 14, 2017""","""Why Alphabet Inc Stock Is a Sure\u00a0Bet""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/alphabet-inc-googl-sure-bet/&cid=52779676021137&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNF4XhAoj1gkz5rdytC21mtjV6ueQA""",2,"""Investorplace.com"""
"""Nov 16, 2017""","""Alphabet Inc Is Running on Autopilot, Which Should Worry\u00a0You""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/google-stock-running-autopilot/&cid=52779678303839&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNHkuE71aT6UfiGypZV_2D2c7g-ViA""",3,"""Investorplace.com"""
"""Oct 31, 2017""","""Alphabet, Inc. Management Talks Acquisitions, Growth Drivers, and\u00a0Hardware""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/10/31/alphabet-inc-management-talks-acquisitions-growth.aspx&cid=52779657865935&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNHuLAQf4Q6DNbZ8Vk-F8qYN87OIvg""",4,"""Motley Fool"""
"""21 hours ago""","""GrubHub Inc. (GRUB) vs. Alphabet Inc. (GOOG): Is One a Better Investment Than\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/29/grubhub-inc-grub-vs-alphabet-inc-goog-is-one-a-better-investment-than-the-other/&cid=52779694737612&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNH4HZBlPG_EsRdOcVEHP6_lnhIUQA""",5,"""Economic News"""
"""14 hours ago""","""Twitter, Inc. (TWTR) and Alphabet Inc. (GOOG) Go\u00a0Head-to-head""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsgazette.com/2017/11/29/twitter-inc-twtr-and-alphabet-inc-goog-go-head-to-head/&cid=52779694760481&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNHRyvxjHC6fY8qWC031rNRBuynPhw""",6,"""StockNewsGazette"""
"""Nov 13, 2017""","""Alphabet Inc Is Winning the Self-Driving Taxi\u00a0Race""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/googl-stock-winning-race/&cid=52779671834720&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNH_Fh4BXxk6vG24RpKFjubbtmN1lg""",7,"""Investorplace.com"""
"""Nov 2, 2017""","""Now Is the Perfect Time to Go Long Alphabet Inc Stock \u2026\u00a0Again""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/perfect-time-to-go-long-alphabet-inc-googl-stock/&cid=52779656996825&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNHwz7vUpg6YwZf0QvZblEWscJXXPw""",8,"""Investorplace.com"""
"""16 hours ago""","""Uber general counsel accuses former security analyst of extortion\u00a0attempt""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3315141-uber-general-counsel-accuses-former-security-analyst-extortion-attempt&cid=52779696569392&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNEulZUs-WaoiQA7aMGHKXKBz3eksA""",9,"""Seeking Alpha"""
"""17 hours ago""","""Financial Analysis and Stock Valuation: Wynn Resorts, Limited (WYNN), Alphabet\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/29/financial-analysis-and-stock-valuation-wynn-resorts-limited-wynn-alphabet-inc-goog/&cid=52779693127310&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNFB4gouSfYKX9OGaqSNaLlmYX3MLA""",10,"""AllStockNews"""
"""Nov 8, 2017""","""Alphabet: Valuation Update After Quarterly\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122485-alphabet-valuation-update-quarterly-results&cid=52779667630995&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNGqz-BuasnralyY6aiveYLbNLpZfw""",11,"""Seeking Alpha"""
"""Nov 1, 2017""","""Alphabet Wants To Monetize YouTube As The Next Big\u00a0Thing""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4119273-alphabet-wants-monetize-youtube-next-big-thing&cid=52779659885079&ei=nOEfWoiRMY3kjAHx2JK4Cg&usg=AFQjCNF93I8v8oS5P0snQQFCVslmxrb-6g""",Not Reachable,"""Seeking Alpha"""
