Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Ex-Dividend Reminder: UnitedHealth Group, Interactive Brokers Group and M & T\u00a0Bank""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ex-dividend-reminder-unitedhealth-group-interactive-brokers-group-and-m-t-bank-cm883306&cid=52779692463308&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNF4qnLZby7dFRDe8y1UrRhfhtixxg""",1,"""Nasdaq"""
"""Oct 18, 2017""","""Interactive Brokers Group: The raw\u00a0numbers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/10/18/brokerage-business-drives-growth-at-interactive-br.aspx&cid=0&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNEKCcs36cIYxRuqwWl02OK8wnTSmA""",2,"""Motley Fool"""
"""Oct 6, 2017""","""3 Things Interactive Brokers Group, Inc. Management Wants You to\u00a0Know""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/10/06/3-things-interactive-brokers-group-inc-management.aspx&cid=52779627646023&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNExFI_4NVfLO_3WRzu6cxt551rT_A""",3,"""Motley Fool"""
"""Aug 29, 2017""","""Interactive Brokers Group, Inc. (IBKR) Ex-Dividend Date Scheduled for August\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/interactive-brokers-group-inc-ibkr-ex-dividend-date-scheduled-for-august-30-2017-cm838430&cid=52779593140612&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNFrRTMVCJrNFxKc2DSE3z-v1DXjMA""",4,"""Nasdaq"""
"""Nov 28, 2017""","""Interactive Brokers Group, Inc. (IBKR) Shares Bought by Prudential Financial\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/28/interactive-brokers-group-inc-ibkr-shares-bought-by-prudential-financial-inc.html&cid=52779686822948&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNFZ4djvYlhB-2CPOnaAxvyQkr5svg""",Not Reachable,"""The Ledger Gazette"""
"""Oct 17, 2017""","""Interactive Brokers Group Announces 3Q2017\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171017006715/en/Interactive-Brokers-Group-Announces-3Q2017-Results&cid=52779639356897&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNFvhFBg75vGQipEuhnA_zK-D8AWlQ""",5,"""Business Wire (press release)"""
"""Jul 20, 2017""","""Interactive Brokers Group, Inc.: The raw\u00a0numbers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/07/20/bet-on-brokerage-business-paying-off-for-interacti.aspx&cid=52779555800464&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNGmSFXq1UCOzzRCCAO2h67BMaBT4g""",6,"""Motley Fool"""
"""Sep 20, 2017""","""Interactive Brokers Announces Strategic Investment in Tiger\u00a0Brokers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20170920005805/en/Interactive-Brokers-Announces-Strategic-Investment-Tiger-Brokers&cid=52779612943657&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNG2gVfdx0ff0zIFKQ4dKDtBU9GaIw""",7,"""Business Wire (press release)"""
"""21 hours ago""","""Interactive Brokers Group, Inc. (NASDAQ:IBKR): Reviewing the\u00a0Numbers""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/interactive-brokers-group-inc-nasdaqibkr-reviewing-the-numbers/&cid=52779695468544&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNG3NRcxdL3DquhW9j9Jyi23cdIP7w""",8,"""Stock Talker"""
"""3 hours ago""","""Interactive Brokers adds new Intraday VWAP study to charts on TWS\u00a0platform""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://financefeeds.com/interactive-brokers-adds-new-intraday-vwap-study-charts-tws-platform/&cid=0&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNGtKNJsnoIyjmCRi1G80AEKF4YADQ""",9,"""FinanceFeeds (blog)"""
"""Nov 9, 2017""","""4 Reasons Why Interactive Brokers (IBKR) is a Solid Pick\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/4-reasons-why-interactive-brokers-ibkr-is-a-solid-pick-now-cm874589&cid=52779668718757&ei=PQ8gWrC6EdGP2AbtzJ6ABA&usg=AFQjCNHJi1cAcndoQL2EXgj9FEvbI4CGlA""",10,"""Nasdaq"""
