Date,Title,Link,Status,Source
"""Nov 21, 2017""","""Intuit: Still Not Too Late To Join The\u00a0Party""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126912-intuit-still-late-join-party&cid=52779686298778&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNH-Io-sjbypfvHEXEQkCNuhrh1E_g""",1,"""Seeking Alpha"""
"""Nov 27, 2017""","""Intuit Selects AWS for Machine Learning and Artificial\u00a0Intelligence""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171127005245/en/Intuit-Selects-AWS-Machine-Learning-Artificial-Intelligence&cid=52779692635667&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNEvxe95dsVZH4780Xmz_mUsPhwWtg""",2,"""Business Wire (press release)"""
"""2 hours ago""","""Why Investors remained confident on Intuit Inc. (INTU), Skechers USA, Inc.\u00a0(SKX)?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/30/why-investors-remained-confident-on-intuit-inc-intu-skechers-u-s-a-inc-skx/&cid=52779696262916&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNHCij1caYaboHjypVw08PAMbXBG8w""",3,"""StockNewsJournal"""
"""Nov 20, 2017""","""Intuit Inc. Reveals 93% Gain In Q1 Bottom\u00a0Line""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/intuit--inc-reveals-93-gain-in-q1-bottom-line-20171120-01024&cid=52779684217147&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNEOjBl1UY3xOpiwTIRfydBEHa_lTw""",4,"""Nasdaq"""
"""Nov 21, 2017""","""Intuit Inc. (INTU) Dips 3.8% for November\u00a021""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/intuit-inc-intu-dips-3-8-for-november-21&cid=52779684839941&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNHfrmWjMV6IcPrDPiy5-ex8Q7fJKg""",Not Reachable,"""Equities.com"""
"""Nov 23, 2017""","""Intuit Inc. (INTU) Moves Lower on Volume Spike for November\u00a023""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/intuit-inc-intu-moves-lower-on-volume-spike-for-november-23&cid=52779688133660&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNH8UyAcl9FAGwqga0BY5ZOspmkeTw""",Not Reachable,"""Equities.com"""
"""3 hours ago""","""What's Happening With These Application Software Stocks? -- FireEye, Fortinet\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/whats-happening-with-these-application-software-stocks----fireeye-fortinet-intuit-and-innoviva-300564222.html&cid=52779697799751&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNFugXAfLzyiGrKxzVyzjoNJZkSNkg""",5,"""PR Newswire (press release)"""
"""Nov 27, 2017""","""Buy or Sell? What Analysts Recommends: Intuit Inc. (INTU), Monsanto Company\u00a0(MON)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/buy-or-sell-what-analysts-recommends-intuit-inc-intu-monsanto-company-mon/&cid=52779692458581&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNG0ftUcLEo3PIXNlEZLUujWYRagaA""",6,"""StockNewsJournal"""
"""Nov 21, 2017""","""Intuit Announces Winner of the 2017 $100000 Small Business App\u00a0Showdown""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171121006033/en/Intuit-Announces-Winner-2017-100000-Small-Business&cid=52779685392614&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNHVRj_EgjwR06Gzs7Tq3rZLxYEh4g""",7,"""Business Wire (press release)"""
"""Nov 7, 2017""","""Intuit Becomes Latest Technology Company to Offer Direct\u00a0Lending""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-07/intuit-becomes-latest-technology-company-to-offer-direct-lending&cid=52779666031521&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNHi9vgeKM-Cw1rKw5XdRO9c2aYCog""",8,"""Bloomberg"""
"""Nov 28, 2017""","""Earnings Clues on Second Sight Medical Products, Inc. (EYES), Intuit Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/28/earnings-clues-on-second-sight-medical-products-inc-eyes-intuit-inc-intu-analysts-predictions/&cid=52779693225259&ei=chcgWuHNL4H2jAHvqKyoDw&usg=AFQjCNEoSm-zQ54MUpDJGht7z1TfmPAwEQ""",9,"""StockNewsJournal"""
