Date,Title,Link,Status,Source
"""Nov 16, 2017""","""Is Intuitive Surgical, Inc. a\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/15/is-intuitive-surgical-inc-a-buy.aspx&cid=52779674434965&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNH9YMEd8bOReM-ri55E-vyRac5nFQ""",1,"""Motley Fool"""
"""Nov 7, 2017""","""Intuitive Surgical, Up 81% This Year, Helps John Archer Beat The\u00a0Market""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/kenkam/2017/11/07/intuitive-surgical-up-81-this-year-helps-john-archer-beat-the-market/&cid=52779663546277&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNEoqRPTUT0p-65diSTo0G5WOah1HQ""",2,"""Forbes"""
"""Nov 20, 2017""","""Why Is Intuitive Surgical (ISRG) Up 9.8% Since the Last Earnings\u00a0Report?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/why-is-intuitive-surgical-isrg-up-98-since-the-last-earnings-report-cm879792&cid=52779680340979&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNFNvcDImxqNDvg9iuLRNpfGmjlVvA""",3,"""Nasdaq"""
"""Nov 28, 2017""","""High-Level Sales Growth Makes Intuitive Surgical (ISRG) a Strong\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/high-level-sales-growth-makes-intuitive-surgical-isrg-a-strong-buy/&cid=52779694749808&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNH5NQrxRwAhMd7YU6Cd1KhegyorTw""",4,"""Investorplace.com"""
"""Nov 29, 2017""","""Hikari Tsushin, Inc. Buys Vanguard S&P 500, Intuitive Surgical Inc, Nestle\u00a0SA""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/hikari-tsushin-inc-buys-vanguard-sp-500-intuitive-surgical-inc-nestle-sa-cm883674&cid=0&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNFRzCwj7vHyw-TKV1M6P3B0iqIZKA""",5,"""Nasdaq"""
"""Nov 16, 2017""","""Atika Capital Management LLC Buys Sarepta Therapeutics Inc, Intuitive Surgical\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/atika-capital-management-llc-buys-sarepta-therapeutics-inc-intuitive-surgical-inc-mazor-cm878783&cid=52779678975765&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNG2CuywxfatqjW6zjbJc2GKuSQ5Cw""",6,"""Nasdaq"""
"""Nov 2, 2017""","""New Study Reports Favorable Results for Intuitive Surgical's Flexible Robotics\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/02/1173514/0/en/New-Study-Reports-Favorable-Results-for-Intuitive-Surgical-s-Flexible-Robotics-Platform.html&cid=52779660366754&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNH668j35eEEBWQlnReMew_7accWwg""",7,"""GlobeNewswire (press release)"""
"""Nov 29, 2017""","""Intuitive Surgical, Inc. (NASDAQ:ISRG) Holdings Raised by Gilder Gagnon Howe\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/gilder-gagnon-howe-co-llc-has-76-74-million-holdings-in-intuitive-surgical-inc-isrg.html&cid=52779693072948&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNGOXFWzd5Ms0igIWzE0qaai1qafyQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 20, 2017""","""Intuitive Surgical Hits a 52-Week High on Solid\u00a0Prospects""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/intuitive-surgical-hits-a-52-week-high-on-solid-prospects-cm879979&cid=52779683599063&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNGhAoBs4qRA5yqhvH7oTE6anCajiw""",8,"""Nasdaq"""
"""Nov 20, 2017""","""Breakfast Technical Briefing on Medical Equipment Stocks -- Intuitive Surgical\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/breakfast-technical-briefing-on-medical-equipment-stocks----intuitive-surgical-acelrx-pharma-genmark-diagnostics-and-lantheus-300559232.html&cid=52779683692229&ei=fBogWuiBAtTa2AaJ143ABw&usg=AFQjCNEXXOZJ9ScbobuL4U2UC0PArxW4yQ""",9,"""PR Newswire (press release)"""
