Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Analysis of Earnings Visibility Keep Kraft Heinz Co (KHC) a\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/analysis-of-earnings-visibility-keep-kraft-heinz-co-khc-a-sell/&cid=52779693524537&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNEGEiBW-ltpEJCnr5oWGJEZqBYnrw""",1,"""Investorplace.com"""
"""Nov 13, 2017""","""15 Minutes With Kraft Heinz Co.'s General\u00a0Counsel""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.law360.com/articles/979557/15-minutes-with-kraft-heinz-co-s-general-counsel&cid=52779674725117&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNHh8HiayKanW62la2fSP-dm7rJHvw""",2,"""Law360"""
"""Nov 2, 2017""","""The Kraft Heinz Co. challenged by the pace of change at\u00a0retail""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.foodbusinessnews.net/articles/news_home/Financial-Performance/2017/11/The_Kraft_Heinz_Co_challenged.aspx%3FID%3D%7B897CF430-9FA2-4E81-BEBF-88E0988385C2%7D&cid=52779659960769&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGavH9MGKHviWO3pvHM_-e78NwkCg""",3,"""Food Business News"""
"""Nov 1, 2017""","""Kraft Heinz Sales Finally Grow, But Not Enough for\u00a0Investors""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bloomberg.com/news/articles/2017-11-01/kraft-heinz-sales-finally-grow-but-not-enough-for-wall-street&cid=52779657536990&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNHhDLEGu1wl8m8gZ15zwWv4rXMc2w""",4,"""Bloomberg"""
"""Nov 20, 2017""","""Analysis of Industry Group Rank Keeps Kraft Heinz Co (KHC) a\u00a0Sell""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/analysis-of-industry-group-rank-keep-kraft-heinz-co-khc-a-sell/&cid=52779684123857&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNEjsImb0Oo8zKjUGbojP6iVL9JVxg""",5,"""Investorplace.com"""
"""Nov 1, 2017""","""Kraft Heinz Sales Rise on Growth Outside\u00a0US""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.wsj.com/articles/kraft-heinz-sales-rise-on-growth-outside-u-s-1509569392&cid=0&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNEbc074YKNsKp1FVHm5t1maPKQCtA""",6,"""Wall Street Journal"""
"""Nov 13, 2017""","""Kraft Heinz Co (KHC) a Sell on Lousy Earnings\u00a0Visibility""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/kraft-heinz-co-khc-a-sell-on-lousy-earnings-visibility/&cid=52779675642479&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNEf3_eaMj4EziFju2CFmvhoEPZeiA""",7,"""Investorplace.com"""
"""Nov 7, 2017""","""Kraft Heinz Co. appeals to brunch crowd with Nancy's Petite Stuffed\u00a0Bagels""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.drugstorenews.com/article/kraft-heinz-co-appeals-brunch-crowd-nancys-petite-stuffed-bagels&cid=52779666274480&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGQoDQeCgsKQuDebQ98ZEzNYODWeA""",8,"""Drug Store News"""
"""Nov 6, 2017""","""Kraft Heinz restates cash flow statements for two\u00a0quarters""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-kraftheinz-restatement/kraft-heinz-restates-cash-flow-statements-for-two-quarters-idUSKBN1D62WM&cid=52779664755906&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNF726iB1gIN083u77lExmATjYLDVw""",9,"""Reuters"""
"""Nov 1, 2017""","""Earnings Reaction History: KRAFT HEINZ CO, 50.0% Follow-Through Indicator, 2.7\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/earnings-reaction-history-kraft-heinz-co-500-follow-through-indicator-27-sensitive-cm869839&cid=52779659262711&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNG0_hQvPwUgtk0K2jXUcfTSl9AqfQ""",10,"""Nasdaq"""
"""Nov 15, 2017""","""The Kraft Heinz Company (KHC) Ex-Dividend Date Scheduled for November 16,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/the-kraft-heinz-company-khc-ex-dividend-date-scheduled-for-november-16-2017-cm877657&cid=52779675498228&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGWHOTxh1p16W5Dnb4Qr6lxCoNaPg""",11,"""Nasdaq"""
"""53 minutes ago""","""Kraft Heinz Co (KHC): Heading in the Right\u00a0Direction?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://thestocktalker.com/kraft-heinz-co-khc-heading-in-the-right-direction/&cid=52779698057574&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNFhs9VH-4OC_QEW7OCDU51FzG59OA""",12,"""Stock Talker"""
"""18 hours ago""","""Critical Comparison: The Kraft Heinz Company (KHC) vs. Blue Buffalo Pet\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsgazette.com/2017/11/29/critical-comparison-the-kraft-heinz-company-khc-vs-blue-buffalo-pet-products-inc-buff-2/&cid=52779692433814&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNFweIrtgSClu3Y6P9ssM3uJN2ofkw""",13,"""StockNewsGazette"""
"""22 hours ago""","""Today Analysts Focus on Allscripts Healthcare Solutions, Inc. (MDRX), The\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/today-analysts-focus-on-allscripts-healthcare-solutions-inc-mdrx-the-kraft-heinz-company-khc/&cid=52779696293000&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNG_rtwoP9I6gewObib23uPkvyuvwQ""",14,"""StockNewsJournal"""
"""Nov 15, 2017""","""Kraft Heinz Selects FourKites for Real-Time Supply Chain Tracking and\u00a0Analytics""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/kraft-heinz-selects-fourkites-for-real-time-supply-chain-tracking-and-analytics-300556329.html&cid=52779677156909&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNFz0ZO2Swp-20vzIbdReIHAIhtbHQ""",15,"""PR Newswire (press release)"""
"""19 hours ago""","""Sunpower Corp (SPWR) and Kraft Heinz Co (KHC) Needle Moving on\u00a0Volume""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.concordregister.com/sunpower-corp-spwr-and-kraft-heinz-co-khc-needle-moving-on-volume/&cid=52779696046415&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNFk4TR-3Bv1xq-RRw4lkV0I-FBgUw""",16,"""Concord Register"""
"""21 hours ago""","""Bordering on Key Levels: The Kraft Heinz Company (KHC), Noble Energy, Inc.\u00a0(NBL)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/bordering-on-key-levels-the-kraft-heinz-company-khc-noble-energy-inc-nbl/&cid=52779693208625&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNHwyv3H8WzqVI5dmueIMzQqI99MiA""",17,"""Market Movers"""
"""Nov 23, 2017""","""Kraft Heinz selects FourKites for freight tracking, temperature\u00a0monitoring""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.fleetowner.com/technology/kraft-heinz-selects-fourkites-freight-tracking-temperature-monitoring&cid=0&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNH6hgfjMfCZBMt8zATBl__7NoQVTw""",Not Reachable,"""Fleet Owner"""
"""Nov 24, 2017""","""Two sizzlers stock's are not to be missed: The Kraft Heinz Company (KHC\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/24/two-sizzlers-stocks-are-not-to-be-missed-the-kraft-heinz-company-khc-mattel-inc-mat/&cid=52779684977052&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNESG96jLMEHj9eyU_zOpraQC5-zwQ""",18,"""StockNewsJournal"""
"""31 minutes ago""","""Technical Indicators under Review \u2013 The Kraft Heinz Company, (NASDAQ:\u00a0KHC)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://stocksnewstimes.com/2017/11/30/technical-indicators-under-review-the-kraft-heinz-company-nasdaq-khc/&cid=52779698076653&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGXrRDt0To9W5bt_n-5nFY_Se8Ifw""",19,"""Stock Watch"""
"""Nov 26, 2017""","""The Kraft Heinz Company (KHC) Raised to \u201cHold\u201d at\u00a0BidaskClub""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/26/the-kraft-heinz-company-khc-raised-to-hold-at-bidaskclub.html&cid=52779687643333&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGOAAq65ocJH5p5L9eOUtc_YMbMvQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 20, 2017""","""Analyst's Predictions on The Williams Companies, Inc. (WMB), The Kraft Heinz\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/20/analysts-predictions-on-the-williams-companies-inc-wmb-the-kraft-heinz-company-khc/&cid=52779683689706&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGLr_XOQUsEC5MNkbAXx0rpKGrLDA""",20,"""StockNewsJournal"""
"""Nov 28, 2017""","""Now Is The Time To Reconsider The Kraft Heinz Company (KHC), Dollar Tree, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.allstocknews.com/2017/11/28/now-is-the-time-to-reconsider-the-kraft-heinz-company-khc-dollar-tree-inc-dltr/&cid=52779693610328&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNHLBcBWeVtnPeRKpULZqps8AOCmdg""",21,"""AllStockNews"""
"""42 minutes ago""","""What Everybody Ought to Know About these:- The Kraft Heinz Company (NASDAQ:KHC\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/30/what-everybody-ought-to-know-about-these-the-kraft-heinz-company-nasdaqkhc-a-food-major-diversified-company/&cid=52779697731281&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNE07hmVibfL32oU7TsXFYFx9iuzAw""",22,"""The Stock Street (press release)"""
"""1 hour ago""","""The Kraft Heinz Company (KHC) -5.80% off from 200-\u00a0SMA""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.analystsbuzz.com/2017/11/30/the-kraft-heinz-company-khc-5-80-off-from-200-sma/&cid=52779697415425&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGWxzkrXCc634SKs-PbL5SiACpxpA""",23,"""Voice Of Analysts"""
"""Nov 8, 2017""","""Cramer: Kraft-Heinz Scans the Shelves for a Company to\u00a0Buy""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://realmoney.thestreet.com/articles/11/08/2017/cramer-kraft-heinz-scans-shelves-company-buy&cid=52779666351132&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNEjFHoNJ9KgT2MKVUUderO0UC7OxA""",Not Reachable,"""TheStreet.com"""
"""Nov 14, 2017""","""Ex-Dividend Reminder: Cummins, LCI Industries and Kraft\u00a0Heinz""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/dividendchannel/2017/11/14/ex-dividend-reminder-cummins-lci-industries-and-kraft-heinz/&cid=52779675791574&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNHLtf_6h24KDUmeHQdRtIRJMTxSIg""",24,"""Forbes"""
"""Nov 27, 2017""","""KraftHeinz announces new Asia Pacific\u00a0president""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/pittsburgh/news/2017/11/27/kraftheinz-announces-new-asia-pacific-president.html&cid=0&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNF73Qb929ghTzvyYLsN0_JB7g127A""",25,"""Pittsburgh Business Times"""
"""Nov 2, 2017""","""Kraft Heinz (KHC) Q3 Earnings Meet Estimates, Revenues\u00a0Lag""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/kraft-heinz-khc-q3-earnings-meet-estimates-revenues-lag-cm870262&cid=52779660078923&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNGxeSXmavkXVcbS9NQY6Xg0otPBWQ""",26,"""Nasdaq"""
"""Nov 4, 2017""","""The Kraft Heinz Company (KHC) Shares Sold by Ironwood Investment Counsel\u00a0LLC""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/25/the-kraft-heinz-company-khc-shares-sold-by-ironwood-investment-counsel-llc.html&cid=0&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNFHIywYR0ZvKTmn3V56bjXzSSE6qw""",Not Reachable,"""StockNewsTimes"""
"""Nov 29, 2017""","""The Kraft Heinz Company, (NASDAQ: KHC), Pattern Energy Group Inc., (NASDAQ\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/29/7486-the-kraft-heinz-company-nasdaq-khc-pattern-energy-group-inc-nasdaq-pegi-salesforce-com-inc-nyse-crm-ciena-corporation-nyse-cien/&cid=52779692433711&ei=nR4gWoDNEMSD2AaL6qnYAw&usg=AFQjCNELxpMUkpfNBbot3DcN5U-cPuiprA""",27,"""Stocks In The News (press release)"""
