Date,Title,Link,Status,Source
"""7 hours ago""","""Marriott International Inc (NASDAQ:MAR) EVP Edward A. Ryan Sells 6550\u00a0Shares""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/edward-a-ryan-sells-6550-shares-of-marriott-international-mar-stock.html&cid=52779693920602&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNG9PQ58iY__vhNf9OF2w4EMmWRwfg""",Not Reachable,"""The Ledger Gazette"""
"""23 hours ago""","""Buy or Sell? Average Brokerage Ratings on Marriott International, Inc. (MAR\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/29/buy-or-sell-average-brokerage-ratings-on-marriott-international-inc-mar-wisdomtree-investments-inc-wetf/&cid=52779696291703&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNE84XGE-uZ4_jeGVa2up4_r7MpIhQ""",1,"""StockNewsJournal"""
"""Nov 7, 2017""","""Marriott International Inc. Reveals 490% Advance In Q3 Bottom\u00a0Line""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/marriott-international-inc-reveals-490-advance-in-q3-bottom-line-20171107-01810&cid=52779666517149&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNENmu1bHotPqUfkflo7FXTfMP5UXw""",2,"""Nasdaq"""
"""Nov 14, 2017""","""Marriott International Teams With Samsung And Legrand To Unveil Hospitality\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/marriott-international-teams-with-samsung-and-legrand-to-unveil-hospitality-industrys-iot-hotel-room-of-the-future-enabling-the-company-to-deepen-personalized-guest-experience-300555659.html&cid=52779675554545&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNHG_xbdX3FNMf-2kxXfiIy6JyQkqQ""",3,"""PR Newswire (press release)"""
"""Nov 28, 2017""","""Traders Secrets on BGC Partners, Inc. (BGCP), Marriott International, Inc.\u00a0(MAR)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/28/traders-secrets-on-bgc-partners-inc-bgcp-marriott-international-inc-mar/&cid=52779694819075&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNH4hWO85DCr83E_X31ec2QC_q-HWA""",4,"""StockNewsJournal"""
"""Nov 7, 2017""","""Marriott International Inc (MAR) Revenue Gained 43.7%\u00a0Year-Over-Year""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/marriott-international-inc-mar-2/&cid=52779666062354&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNFju77BGQxXofHTGwLFJC7BG4n6Yg""",5,"""Investorplace.com"""
"""Oct 31, 2017""","""Marriott International Unveils Global Sustainability And Social Impact\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/marriott-international-unveils-global-sustainability-and-social-impact-commitments-to-deliver-positive-change-300546546.html&cid=52779657832658&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNFJUv2EHkeqe4S7YfXECAWj-ijQ7Q""",6,"""PR Newswire (press release)"""
"""Nov 7, 2017""","""Marriott International stays on growth\u00a0track""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3309438-marriott-international-stays-growth-track&cid=0&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNGuiC8X0Cd74mnGqL6YC0eZUq70Fw""",Not Reachable,"""Seeking Alpha"""
"""20 hours ago""","""Diehard Bargain Hunter: Marriott International, Inc. (MAR), American Campus\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/diehard-bargain-hunter-marriott-international-inc-mar-american-campus-communities-inc-acc/&cid=52779693283736&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNG4nShSEP81ZOVKhq9jaeHSbiztxA""",7,"""AllStockNews"""
"""Nov 17, 2017""","""Ex-Dividend Reminder: Hershey, Marriott International and Hawaiian Electric\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/dividendchannel/2017/11/17/ex-dividend-reminder-hershey-marriott-international-and-hawaiian-electric-industries/&cid=52779678498122&ei=sicgWpu_EsTejAGf24XwCA&usg=AFQjCNEwJsod0Xajn52aiuqRSfgllVPe3g""",8,"""Forbes"""
