Date,Title,Link,Status,Source
"""Nov 28, 2017""","""Microchip Technology Reaffirms Financial Guidance for Third Quarter Fiscal\u00a02018""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/28/1207140/0/en/Microchip-Technology-Reaffirms-Financial-Guidance-for-Third-Quarter-Fiscal-2018.html&cid=52779695223925&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHmLD3M3efKHkEl3nOsqhLcZTy5ww""",1,"""GlobeNewswire (press release)"""
"""Nov 18, 2017""","""Spotlight: Microchip Technology Inc., A Fundamental\u00a0Analysis""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.valuewalk.com/2017/11/microchip-technology-inc-fundamental-analysis/&cid=52779679852202&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNEYRfhqM6E9HYizatzsM9GL5gLOpw""",Not Reachable,"""ValueWalk"""
"""Nov 6, 2017""","""Microchip Technology Inc. Reveals 57% Advance In Q2\u00a0Earnings""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/microchip-technology-inc-reveals-57-advance-in-q2-earnings-20171106-01432&cid=52779665008658&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHmP3bsO55vOEgHac0oZmlX2bdEzw""",2,"""Nasdaq"""
"""Nov 16, 2017""","""Ex-Dividend Reminder: Skyworks Solutions, Microchip Technology and Alaska Air\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.forbes.com/sites/dividendchannel/2017/11/16/ex-dividend-reminder-skyworks-solutions-microchip-technology-and-alaska-air-group/&cid=52779677675296&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNGVKmTKPtLhP6nU-CXltn8l4p2mtw""",3,"""Forbes"""
"""Nov 7, 2017""","""3 Stocks to Watch on Tuesday: FMC Corp (FMC), Microchip Technology Inc. (MCHP\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/stocks-watch-tuesday-fmc-corp-fmc-microchip-technology-inc-mchp-truecar-inc-true/&cid=52779660013290&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNFALU878Kq6CvIJe-jBWu9Is1OSLA""",4,"""Investorplace.com"""
"""Nov 6, 2017""","""Microchip Technology Announces Record Net Sales and Earnings for Second\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/06/1175364/0/en/Microchip-Technology-Announces-Record-Net-Sales-and-Earnings-for-Second-Quarter-of-Fiscal-Year-2018.html&cid=52779665341669&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNH5NfUfWMCOs8pfz6StTdTtaqWWQA""",5,"""GlobeNewswire (press release)"""
"""Nov 29, 2017""","""Here's Why You Should Make Position in Microchip (MCHP)\u00a0Now""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/heres-why-you-should-make-position-in-microchip-mchp-now-cm883956&cid=52779696100878&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNFeDWFd5fO-hX4WUnnKtJZD4jd7Ug""",6,"""Nasdaq"""
"""Nov 20, 2017""","""Protect IP and Deploy Secured Connected Systems with Microchip's New\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/20/1197431/0/en/Protect-IP-and-Deploy-Secured-Connected-Systems-with-Microchip-s-New-CryptoAuthentication-Device-and-Security-Design-Partner-Program.html&cid=52779683722664&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNFO5477hryWMfmmxbYCFsj1VBJqXw""",7,"""GlobeNewswire (press release)"""
"""Nov 28, 2017""","""Is It Time to go for Microchip Technology Incorporated (MCHP), Ameriprise\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/28/is-it-time-to-go-for-microchip-technology-incorporated-mchp-ameriprise-financial-inc-amp/&cid=52779689359150&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNEWpzPL1sPNXAFLt8bfBe8cMAtrSA""",8,"""StockNewsJournal"""
"""Nov 24, 2017""","""Recommendation Trends: Microchip Technology Inc.\u00a0(MCHP)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://theriponadvance.com/recommendation-trends-microchip-technology-inc-mchp-2/121137883/&cid=52779683731724&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNFmI3EgPj37kjzWoMQux_9-ZU44gw""",9,"""TRA"""
"""Nov 27, 2017""","""Critical Comparison: Microchip Technology Incorporated (MCHP) vs. Maxim\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsgazette.com/2017/11/27/critical-comparison-microchip-technology-incorporated-mchp-vs-maxim-integrated-products-inc-mxim/&cid=52779693406292&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHJqc3rS4Hkxdqn2eZPkDyrIQvFsQ""",10,"""StockNewsGazette"""
"""Nov 8, 2017""","""Latest Single-Wire Serial EEPROM from Microchip Enables Remote\u00a0Identification""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/08/1177807/0/en/Latest-Single-Wire-Serial-EEPROM-from-Microchip-Enables-Remote-Identification.html&cid=52779667521602&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNExYj7fV-FNPuvlmd1ag9NGusl9DA""",11,"""GlobeNewswire (press release)"""
"""52 minutes ago""","""Analyst Observation On 2 Stocks: Pacific Biosciences of California, Inc. (PACB\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/30/analyst-observation-on-2-stocks-pacific-biosciences-of-california-inc-pacb-microchip-technology-incorporated-mchp/&cid=52779697823608&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNF0JeJZ51vZmUKqw0Pvk2T835srCg""",12,"""Post Analyst"""
"""Nov 24, 2017""","""Lookout for Price Target? ILG, Inc. (ILG), Microchip Technology Incorporated\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/lookout-for-price-target-ilg-inc-ilg-microchip-technology-incorporated-mchp/&cid=52779684779024&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNGB6h4Y1lpRM1OlXoHP4UwiZGPL_A""",13,"""StockNewsJournal"""
"""Nov 15, 2017""","""Hancock Holding Co Buys Toll Brothers Inc, The Home Depot Inc, Microchip\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/596087/hancock-holding-co-buys-toll-brothers-inc-the-home-depot-inc-microchip-technology-inc-sells-intercontinental-exchange-inc-bank-of-new-york-mellon-corp-intel-corp&cid=52779677162598&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNH0OuSpFxxcabO0Odw2z8leDoT_LA""",14,"""GuruFocus.com"""
"""1 hour ago""","""Whirling Stocks- Microchip Technology Incorporated (NASDAQ:MCHP) a\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.thestreetpoint.com/2017/11/30/whirling-stocks-microchip-technology-incorporated-nasdaqmchp-a-semiconductor-broad-line-company/&cid=52779697731281&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNF1Zn7W-WmGkj58TP_PzVIHb4Xf1w""",15,"""The Stock Street (press release)"""
"""Nov 21, 2017""","""Should You Buy Advanced Micro Devices, Inc. (AMD) or Microchip Technology\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsgazette.com/2017/11/21/should-you-buy-advanced-micro-devices-inc-amd-or-microchip-technology-incorporated-mchp/&cid=52779688449999&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNG5LITnnPFQeAMzffX2bpsk6U-XFw""",16,"""StockNewsGazette"""
"""Nov 13, 2017""","""Analyst's Predictions on Eldorado Resorts, Inc. (ERI), Microchip Technology\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/13/analysts-predictions-on-eldorado-resorts-inc-eri-microchip-technology-incorporated-mchp/&cid=52779670734742&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHVhlGl5CS39MbxrZ49mzt4Y4b1hQ""",17,"""StockNewsJournal"""
"""Nov 13, 2017""","""Empirical Financial Services, LLC Buys Vanguard Short-Term Bond, Microchip\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.gurufocus.com/news/594429/empirical-financial-services-llc-buys-vanguard-shortterm-bond-microchip-technology-inc-ishares-jp-morgan-usd-emerging-markets-bond-etf-sells-patterson-inc-impinj-inc-alaska-air-group-inc&cid=52779674331440&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNG3JazfpcAMwZm6aM_7160qhavn8A""",18,"""GuruFocus.com"""
"""Nov 13, 2017""","""Improve Response Time to Critical System Events on CAN Networks with New 8-Bit\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/13/1185132/0/en/Improve-Response-Time-to-Critical-System-Events-on-CAN-Networks-with-New-8-Bit-MCU-with-Core-Independent-Peripherals.html&cid=52779674381772&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHJLX3k7dldgEaxWJus4ulkLp32dQ""",19,"""GlobeNewswire (press release)"""
"""Nov 16, 2017""","""Crossmark Global Holdings Inc. Takes Position in Microchip Technology\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/16/150838-shares-in-microchip-technology-incorporated-mchp-acquired-by-crossmark-global-holdings-inc.html&cid=52779675509664&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNF9jesZxJk-OSboKGn6rJ0juQs8yA""",Not Reachable,"""The Ledger Gazette"""
"""Nov 7, 2017""","""Microchip's (MCHP) Q2 Earnings Beat Estimates,Sales Up\u00a0Y/Y""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/microchips-mchp-q2-earnings-beat-estimatessales-up-yy-cm872878&cid=52779664550800&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNEODbCryWstmi_w_bOug7LCq_kTxA""",20,"""Nasdaq"""
"""Nov 13, 2017""","""Global Low Power Precision Op Amps Market 2017-Microchip Technology Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://thetricountypress.com/global-low-power-precision-op-amps-market-2017-microchip-technology-inc-intersil-corporationon-semiconductornew-japan-radio/1938&cid=52779674692381&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHe2WSz4-Ud7E3tAnwa_si6eMrsXA""",21,"""The Tri-County Press"""
"""Nov 6, 2017""","""Microchip Technology posts Q2 earnings per share\u00a0$1.41""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://timesofindia.indiatimes.com/business/international-business/microchip-technology-posts-q2-earnings-per-share-1-41/articleshow/61538199.cms&cid=0&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNGnpgnjEokAxI3-CzwHw9z3VnlWEQ""",22,"""Times of India"""
"""Nov 27, 2017""","""Microchip Technology Incorporated, (NASDAQ: MCHP), Exelon Corporation, (NYSE\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/27/microchip-technology-incorporated-nasdaq-mchp-exelon-corporation-nyse-exc-spirit-aerosystems-holdings-inc-nyse-spr-oceaneering-international-inc-nyse-oii-notable-stocks-in-foc/&cid=52779689018837&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNHjMeQkRTMrdCfleyM82XxjL7yZRA""",Not Reachable,"""Stocks In The News (press release)"""
"""Nov 28, 2017""","""16 Amazing Stocks to Trade in This Unstoppable Bull\u00a0Market""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.thestreet.com/story/14403533/1/stock-market-weekly-momentum-slowing-pullback-not-yet-imminent.html&cid=0&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNGUEKItIMqx-lolVERlLqIIi9un6A""",Not Reachable,"""TheStreet.com"""
"""18 hours ago""","""See who is trying to mount a comeback in our Business Person of the Year\u00a0poll""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.bizjournals.com/phoenix/news/2017/11/29/see-who-is-trying-to-mount-a-comeback-in-our.html&cid=0&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNFpzc3q7JicFDc2Ss5QRmQTR0FHLQ""",23,"""Phoenix Business Journal"""
"""Nov 1, 2017""","""Has Microchip Tech's Recent Run Made The Stock Too\u00a0Pricey?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/11/10264049/has-microchip-techs-recent-run-made-the-stock-too-price&cid=52779657452681&ei=9yggWsn2JJCYjAHh6anQCA&usg=AFQjCNFGtkiZ6mTG9JXLd0dmmlAYCDKFbw""",24,"""Benzinga"""
