Date,Title,Link,Status,Source
"""11 hours ago""","""HighTower Advisors LLC Cuts Stake in Mondelez International, Inc.\u00a0(MDLZ)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/mondelez-international-inc-mdlz-shares-sold-by-hightower-advisors-llc.html&cid=52779696677331&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNFB6RdHqy6Q_XF6QKntTIGHHsXS2w""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Another motive To buy these stock: Gilead Sciences, Inc. (GILD), Mondelez\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/29/another-motive-to-buy-these-stock-gilead-sciences-inc-gild-mondelez-international-inc-mdlz/&cid=52779690716855&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNEMAQn4Fg4stYRioWLEle-qveVPSA""",Not Reachable,"""StockNewsJournal"""
"""Nov 2, 2017""","""Stoneridge Investment Partners Llc Buys Altria Group Inc, Mondelez\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/stoneridge-investment-partners-llc-buys-altria-group-inc-mondelez-international-inc-merck-cm871168&cid=52779661627781&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNHc2EnZ3pnGa5WTxiyHeg9Wf8oo7Q""",Not Reachable,"""Nasdaq"""
"""Nov 27, 2017""","""How Does Mondelez International, Inc. (MDLZ) Stack Up Right\u00a0Now?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/27/how-does-mondelez-international-inc-mdlz-stack-up-right-now-7/&cid=52779692986071&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNHVkwjDVJWfZxqS4gpg8AJ1tW-6Rw""",1,"""StockNewsJournal"""
"""22 minutes ago""","""Price Alert: Mondelez International Inc (NASDAQ:MDLZ) Stock Nears Resistance\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://news.cmlviz.com/2017/11/30/price-alert-mondelez-international-inc-nasdaq-mdlz--stock-nears-resistance--technicals-hit-strength.html&cid=52779697970565&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNEfHyDkgdnKJdqQZJ8mQUBIT249cQ""",2,"""CML News"""
"""Oct 31, 2017""","""In rare feat, Kellogg and Mondelez achieve actual\u00a0growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.chicagotribune.com/business/ct-biz-mondelez-3q-earnings-20171031-story.html&cid=52779657532579&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNFWhUWZLM-FCWz2-9nEP9K494djNQ""",3,"""Chicago Tribune"""
"""Oct 31, 2017""","""Mondelez International Inc. (MDLZ) Rises 5.42% for October\u00a031""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/mondelez-international-inc-mdlz-rises-5-42-for-october-31&cid=52779656177566&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNF83SgnpUCnrzqvx37tOsY6KATjvg""",Not Reachable,"""Equities.com"""
"""Nov 22, 2017""","""Mondalez Will Likely Move In-Line With The\u00a0Market""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127098-mondalez-will-likely-move-line-market&cid=0&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNENN2IbpAGHB1my2GZK38X01NV0EA""",4,"""Seeking Alpha"""
"""23 hours ago""","""Their Current Valuation Deserve Consideration: Mondelez International, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://postanalyst.com/2017/11/29/their-current-valuation-deserve-consideration-mondelez-international-inc-mdlz-diamondrock-hospitality-company-drh/&cid=52779695834028&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNGuQmpn2_J8EVT0hMOAv3ExQK1srw""",5,"""Post Analyst"""
"""2 hours ago""","""Time To Get Cautious? \u2013 Oasis Petroleum Inc. (OAS), Mondelez International\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/30/time-to-get-cautious-oasis-petroleum-inc-oas-mondelez-international-inc-mdlz/&cid=52779696035904&ei=dykgWvmTFtihjAHU9JWIAg&usg=AFQjCNE0KKrN-d97f6A41KU6s4acl12tvg""",6,"""USA Commerce Daily"""
