Date,Title,Link,Status,Source
"""Nov 27, 2017""","""Monster's International Upside: Is Coca-Cola Still\u00a0Watching?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127913-monsters-international-upside-coca-cola-still-watching&cid=52779696890195&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNGJEF4zdm4RuNG7BEWZa07vf0fSnA""",1,"""Seeking Alpha"""
"""Nov 28, 2017""","""Why Jefferies Sees Nearly 17% Upside In Monster\u00a0Beverage""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.benzinga.com/analyst-ratings/analyst-color/17/11/10839624/why-jefferies-sees-nearly-17-upside-in-monster-beverage&cid=52779693051229&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNFcGdSBkaidw3cyMgzuEWTxVnElCg""",2,"""Benzinga"""
"""Nov 9, 2017""","""Monster Beverage (MNST) Q3 2017 Results - Earnings Call\u00a0Transcript""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4122603-monster-beverage-mnst-q3-2017-results-earnings-call-transcript&cid=52779668248959&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNEPA5IpK90QutFYEfi41azjplc54w""",Not Reachable,"""Seeking Alpha"""
"""Nov 20, 2017""","""Susquehanna negative on Monster\u00a0Beverage""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/news/3313505-susquehanna-negative-monster-beverage&cid=52779679784515&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNFmApyYTClxGWi8wWiYNCA9KE3bXA""",Not Reachable,"""Seeking Alpha"""
"""19 hours ago""","""Stocks Bracing for Volatility: Monster Beverage Corporation (MNST), Texas\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.postanalyst.com/2017/11/29/stocks-bracing-for-volatility-monster-beverage-corporation-mnst-texas-instruments-incorporated-txn/&cid=52779697877147&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNEsMkZB8dSdGOHH6ZaB8CI0DfwVIQ""",3,"""Post Analyst"""
"""Nov 8, 2017""","""Monster Beverage Corp. Reveals 14% Gain In Q3\u00a0Profit""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/monster-beverage-corp-reveals-14-gain-in-q3-profit-20171108-01669&cid=0&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNEzZ65OW6NYVZyedcoyHIizm7XaRQ""",4,"""Nasdaq"""
"""Nov 24, 2017""","""Taking a Look at the Data Behind Monster Beverage Corporation\u00a0(MNST)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.stocknewsjournal.com/2017/11/24/taking-a-look-at-the-data-behind-monster-beverage-corporation-mnst-3/&cid=52779685960735&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNE3XqqQpt0fdA0ceQnEa1afxshoWw""",5,"""StockNewsJournal"""
"""Nov 7, 2017""","""Monster Beverage (MNST) Q3 Earnings: What's in the\u00a0Cards?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/monster-beverage-mnst-q3-earnings-whats-in-the-cards-cm872864&cid=52779664550800&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNEUVrxxPs9eoE_CsFDf7ZO8YGKReA""",6,"""Nasdaq"""
"""Nov 8, 2017""","""Monster Beverage Reports 2017 Third Quarter Financial\u00a0Results""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://globenewswire.com/news-release/2017/11/08/1178106/0/en/Monster-Beverage-Reports-2017-Third-Quarter-Financial-Results.html&cid=52779668611247&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNGdtyVKkMtfSrirYz_hO6I9xoPAww""",7,"""GlobeNewswire (press release)"""
"""23 hours ago""","""Your Today's Wake-Up Call: Monster Beverage Corporation (MNST), Juno\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://financialqz.com/2017/11/29/your-todays-wake-up-call-monster-beverage-corporation-mnst-juno-therapeutics-inc-juno/&cid=52779696484038&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNE1qZrZHstGtKZMPsl67GpSQoCnYg""",8,"""Market Movers"""
"""22 hours ago""","""Finding Support And Resistance On A Chart: Monster Beverage Corporation (MNST\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://allstocknews.com/2017/11/29/finding-support-and-resistance-on-a-chart-monster-beverage-corporation-mnst-centurylink-inc-ctl/&cid=0&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNG66PJxj7YMEdYo7CTb88Hh_xQZ_w""",9,"""AllStockNews"""
"""Nov 13, 2017""","""Monster Beverage Corporation (MNST) Moves Higher on Volume Spike for November\u00a013""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/monster-beverage-corporation-mnst-moves-higher-on-volume-spike-for-november-13&cid=52779674710151&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNHcHt_VmwZh1bJR0cyKshQuf5_1Lg""",Not Reachable,"""Equities.com"""
"""Nov 9, 2017""","""Monster Beverage (MNST) Q3 Earnings in Line, Revenues\u00a0Beat""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/monster-beverage-mnst-q3-earnings-in-line-revenues-beat-cm874588&cid=52779668718757&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNGhMd8iG-nmlj4fN_hu_EIvZDYZWQ""",10,"""Nasdaq"""
"""Nov 27, 2017""","""What the Numbers Say About Monster Beverage Corporation (MNST) and Coca-Cola\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://economicsandmoney.com/2017/11/27/what-the-numbers-say-about-monster-beverage-corporation-mnst-and-coca-cola-european-partners-plc-cce/&cid=52779692517157&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNG8UtQAOmyUJmVOJOe0-rZ7DCFhFw""",11,"""Economic News"""
"""Nov 10, 2017""","""Monster Beverage Corporation (MNST) Moves Higher on Volume Spike for November\u00a010""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.equities.com/news/monster-beverage-corporation-mnst-moves-higher-on-volume-spike-for-november-12&cid=52779670330980&ei=4CogWoGLJoH2jAHvqKyoDw&usg=AFQjCNHc701xQfbPf6x-qHcmj3ZYYNv4Bw""",Not Reachable,"""Equities.com"""
