Date,Title,Link,Status,Source
"""3 hours ago""","""Trade of the Day: Netflix, Inc. Is Nearing a Buy Spot\u00a0Again""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/trade-day-netflic-inc-nflx-stock-buy-spot/&cid=52779696463836&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNEvkCvx-x7RMNkg4E2qLYDUhj9r-w""",1,"""Investorplace.com"""
"""Nov 28, 2017""","""Netflix, Inc. Is Going to $200, Here's How to Make 300% on the\u00a0Rally""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/netflix-inc-going-200-heres-make-300-rally/&cid=52779692309814&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNFOIfsbtemVuYOPNJiV-mv68k3FpQ""",2,"""Investorplace.com"""
"""Nov 26, 2017""","""Is Netflix, Inc. a\u00a0Buy?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/26/is-netflix-inc-a-buy.aspx&cid=52779688577755&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNEWnxlafIRJVPw7eknLSIh1YAezZg""",3,"""Motley Fool"""
"""Nov 22, 2017""","""Netflix Shrugs Off Net Neutrality\u00a0Threat""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.usnews.com/investing/stock-market-news/articles/2017-11-22/netflix-inc-nflx-stock-net-neutrality&cid=52779683914803&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNHDf_jQuusdwUBohbKfiTBA0DtmVA""",Not Reachable,"""U.S. News & World Report"""
"""Nov 23, 2017""","""Better Buy: The Walt Disney Company vs. Netflix\u00a0Inc.""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/22/better-buy-the-walt-disney-company-vs-netflix-inc.aspx&cid=52779684393095&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNELVlnq7mDp8AzpbJ5up0QZd8Dcuw""",4,"""Motley Fool"""
"""Nov 23, 2017""","""Netflix Inc (NFLX) CEO Reed Hastings Sold $14.8 million of\u00a0Shares""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/netflix-inc-nflx-ceo-reed-hastings-sold-148-million-of-shares-cm881854&cid=52779684987531&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNEV1JS58uIuppuUWyzGhNCAswPEkA""",5,"""Nasdaq"""
"""Nov 27, 2017""","""Netflix: Not As Pricey As Many Think - A DCF\u00a0Analysis""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127753-netflix-pricey-many-think-dcf-analysis&cid=0&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNHSuAchuoZTDXssA3TTGQwxx6FCyg""",6,"""Seeking Alpha"""
"""Nov 13, 2017""","""How Much Longer Can Netflix Defy\u00a0Gravity?""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124415-much-longer-can-netflix-defy-gravity&cid=52779673420385&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNFq1eYzdWe5u30s0XvZN8uHDB06wg""",7,"""Seeking Alpha"""
"""Nov 13, 2017""","""Netflix: The New Content\u00a0King""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124200-netflix-new-content-king&cid=52779674004670&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNHhJoyMhVxgSL8lnaoYlGe36adwHw""",8,"""Seeking Alpha"""
"""19 hours ago""","""Netflix Chief Content Officer to Present at the UBS 45th Annual Global Media\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.prnewswire.com/news-releases/netflix-chief-content-officer-to-present-at-the-ubs-45th-annual-global-media-and-communications-conference-300563037.html&cid=52779696865855&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNGMIz0WK5_Mj9kbq-lJM2TUMr4XZw""",9,"""PR Newswire (press release)"""
"""Nov 13, 2017""","""Netflix Shrinking Reliance On Recycled Content - Increasing Original\u00a0Programming""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124423-netflix-shrinking-reliance-recycled-content-increasing-original-programming&cid=52779672861144&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNGnnvLryAGBK3YZHqdU9NxWIrigBA""",Not Reachable,"""Seeking Alpha"""
"""Nov 20, 2017""","""Netflix, Inc. Stock Prices Are Shaky at Best, Here's\u00a0Why""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/nflx-stock-shaky-best/&cid=52779681195699&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNHjyGsmnz99C_tsmvnhkszdir0gDA""",10,"""Investorplace.com"""
"""35 minutes ago""","""Tech Selloff Hits Facebook Inc, Apple Inc., Netflix, Inc. Stock But Don't Bail\u00a0Yet""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.valuewalk.com/2017/11/tech-selloff-hits-facebook-apple-netflix-stock/&cid=52779696677241&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNG5IUqUnWn4wc2Stve9gxgBntCFig""",Not Reachable,"""ValueWalk"""
"""Nov 17, 2017""","""Chase Coleman Buys Despegar.com Corp, Netflix Inc, Amazon.\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/chase-coleman-buys-despegarcom-corp-netflix-inc-amazon-cm879404&cid=0&ei=bi8gWoHBFI7ijAGO95OIBQ&usg=AFQjCNEx5UyWSbe--3y_qiZCt7VI-Fgiyg""",11,"""Nasdaq"""
