Date,Title,Link,Status,Source
"""2 hours ago""","""Latest figures makes these Stock Even More Attractive: Northern Trust\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewsjournal.com/2017/11/30/latest-figures-makes-these-stock-even-more-attractive-northern-trust-corporation-ntrs-kindred-healthcare-inc-knd/&cid=52779697036206&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFzwNkp7HL4_Heo96Psz2Bqp3h_6w""",1,"""StockNewsJournal"""
"""Nov 27, 2017""","""Northern Trust Announces Key Transition Management\u00a0Hire""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171127005382/en/Northern-Trust-Announces-Key-Transition-Management-Hire&cid=52779693046004&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHycqA-ATaleJWNMYTzFW6uQCJqVg""",2,"""Business Wire (press release)"""
"""57 minutes ago""","""Where Northern Trust Corporation (NTRS) Stands In Terms Of Earnings Growth\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://simplywall.st/news/2017/12/01/where-northern-trust-corporation-ntrs-stands-in-terms-of-earnings-growth-against-its-industry/&cid=52779689752479&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFstuyWKunIXhJHx89LV76Ngcl7wA""",3,"""Simply Wall St"""
"""Nov 20, 2017""","""Northern Trust to Provide Investment Advisory Services to Texas Parks and\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171120005056/en/Northern-Trust-Provide-Investment-Advisory-Services-Texas&cid=52779683880429&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNETBgxkaEm78k1VC8MQ_XXnz25EbQ""",4,"""Business Wire (press release)"""
"""Nov 28, 2017""","""Ex-Dividend Reminder: Navient, Northern Trust and Washington Prime\u00a0Group""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/ex-dividend-reminder-navient-northern-trust-and-washington-prime-group-cm883308&cid=52779690764178&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFvOJqwyA4NyFEYkfI8Pse7WATJ9A""",5,"""Nasdaq"""
"""Nov 14, 2017""","""Northern Trust Strengthens Florida Wealth Advisory\u00a0Team""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171114005329/en/Northern-Trust-Strengthens-Florida-Wealth-Advisory-Team&cid=52779675896808&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGPJmySNiPPkh2gj61PvA2a3CtJIA""",6,"""Business Wire (press release)"""
"""2 hours ago""","""InVitae Corp (NYSE:NVTA) Stake Boosted by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-has-4-14-million-position-in-invitae-corporation-nvta.html&cid=52779695484958&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGAoDhFyzgVYqO7CbnW2-kB-Kq5Jw""",Not Reachable,"""The Ledger Gazette"""
"""2 hours ago""","""Northern Trust Corp Has $4.23 Million Stake in Veritex Holdings, Inc.\u00a0(VBTX)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/veritex-holdings-inc-vbtx-shares-bought-by-northern-trust-corp.html&cid=52779697931765&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHYH_cDtWe_OwlnIBFtld2lzH_1IQ""",Not Reachable,"""The Ledger Gazette"""
"""6 hours ago""","""Act On Key Analyst Price Target Shifts: Northern Trust Corporation (NTRS\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://usacommercedaily.com/2017/11/30/act-on-key-analyst-price-target-shifts-northern-trust-corporation-ntrs-penn-national-gaming-inc-penn/&cid=52779697926049&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGqTHBZRKRqDC7YvskS5XEk-LCTcw""",7,"""USA Commerce Daily"""
"""Nov 15, 2017""","""Northern Trust to Provide Investment Advisory Services to Miracle\u00a0Flights""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171115006093/en/Northern-Trust-Provide-Investment-Advisory-Services-Miracle&cid=52779677379568&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFtyO976kMjMJZU8nX_pzW4ZctGGQ""",8,"""Business Wire (press release)"""
"""Nov 13, 2017""","""Northern Trust Asset Management Names New Chief Operating Officer for\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.businesswire.com/news/home/20171113005087/en/Northern-Trust-Asset-Management-Names-New-Chief&cid=52779672350047&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNF3NIrTyIGAJ97Oy8xGHAGRWMjAjw""",9,"""Business Wire (press release)"""
"""14 hours ago""","""Northern Trust Corp Acquires 109054 Shares of Sanchez Energy Corp\u00a0(NYSE:SN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/sanchez-energy-corporation-sn-shares-bought-by-northern-trust-corp.html&cid=52779693151724&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNF8W3vTSoqL9VX4IwTTDY9f016v4w""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Hovnanian Enterprises Inc (HOV) Holdings Raised by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/hovnanian-enterprises-inc-hov-stake-lifted-by-northern-trust-corp.html&cid=52779696266128&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHk7jz9vinHrkeGE-YSehTQBNWqnQ""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Northern Trust Corp Acquires 4067 Shares of Triumph Bancorp, Inc.\u00a0(TBK)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/triumph-bancorp-inc-tbk-shares-bought-by-northern-trust-corp.html&cid=52779697505302&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFTX1JzBg7vL830DzLXQYVzFzN-QA""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Northern Trust Corp Raises Stake in Global Indemnity Ltd\u00a0(NASDAQ:GBLI)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-boosts-position-in-global-indemnity-plc-gbli.html&cid=52779697806687&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFXKsgNXT994SUAum_gnecoEIl2Bw""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Northern Trust Corp Raises Stake in CNB Financial Corporation\u00a0(NASDAQ:CCNE)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/northern-trust-corp-has-4-36-million-position-in-cnb-financial-corporation-ccne.html&cid=52779695410943&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHGTpkM_VT1Qi4qQtmQjVpHpmgbiQ""",Not Reachable,"""The Ledger Gazette"""
"""11 hours ago""","""Otonomy, Inc. (OTIC) Shares Bought by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/otonomy-inc-otic-shares-bought-by-northern-trust-corp.html&cid=52779696312541&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGtNt_D_M8BcKLh06En22eTT7YJcw""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Northern Trust Corp Acquires 1901 Shares of Winmark Corporation\u00a0(NASDAQ:WINA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/northern-trust-corp-purchases-1901-shares-of-winmark-corporation-wina.html&cid=52779697031747&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGhXAdgkj_f3rsZZQOlt3nSLSsBBQ""",Not Reachable,"""The Ledger Gazette"""
"""14 hours ago""","""Northern Trust Corp Acquires 56122 Shares of Coherus BioSciences, Inc.\u00a0(CHRS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/coherus-biosciences-inc-chrs-stake-lifted-by-northern-trust-corp.html&cid=52779697219487&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHoI7kQeb9Th9wqUgFIDPo6VQz2yA""",Not Reachable,"""The Ledger Gazette"""
"""14 hours ago""","""Northern Trust Corp Acquires 40668 Shares of Tetraphase Pharmaceuticals, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-boosts-position-in-tetraphase-pharmaceuticals-inc-ttph.html&cid=52779696943078&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNEFURDXZa3BjerKW009hUMTXh2RpQ""",Not Reachable,"""The Ledger Gazette"""
"""4 hours ago""","""NewLink Genetics Corp (NLNK) Shares Bought by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/newlink-genetics-corp-nlnk-shares-bought-by-northern-trust-corp.html&cid=0&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFEy8_L5B-i1vaCCSaPN6VlOiMYvw""",Not Reachable,"""The Ledger Gazette"""
"""12 hours ago""","""Northern Trust Corp Has $2.28 Billion Stake in Citigroup Inc.\u00a0(C)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/citigroup-inc-c-stake-increased-by-northern-trust-corp.html&cid=52779696266101&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFpCzbj6P1H1EXZIlyxC1exvMoYQA""",Not Reachable,"""The Ledger Gazette"""
"""14 hours ago""","""Northern Trust Corp Acquires 2843 Shares of Mesa Laboratories, Inc.\u00a0(NASDAQ:MLAB)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-has-6-49-million-holdings-in-mesa-laboratories-inc-mlab.html&cid=52779696320980&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHzOc3mQITJuz9EBAC3Bd-JlsTaDw""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Bellicum Pharmaceuticals, Inc. (NASDAQ:BLCM) Shares Bought by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/bellicum-pharmaceuticals-inc-blcm-position-increased-by-northern-trust-corp.html&cid=0&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFpu56si4g8jwCC2ktPYfYsaFAQpw""",Not Reachable,"""The Ledger Gazette"""
"""2 hours ago""","""Tossing Stocks: Northern Trust Corporation, (NASDAQ: NTRS), Corbus\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.tradingnewsnow.com/2017/11/30/tossing-stocks-northern-trust-corporation-nasdaq-ntrs-corbus-pharmaceuticals-holdings-inc-nasdaq-crbp-globus-medical-inc-nyse-gmed-shaw-communications-inc-nyse-sjr/&cid=52779697996137&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNENad0rg_Y9g4U1c-rZBKUgAmYKTw""",10,"""Stocks In The News (press release)"""
"""3 hours ago""","""Catalyst Pharmaceuticals, Inc. (CPRX) Stake Boosted by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/catalyst-pharmaceuticals-inc-cprx-stake-boosted-by-northern-trust-corp.html&cid=52779697238994&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGW7PNRNIFFOVdpPVqoJbnSM9s_xw""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Northern Trust Corp Boosts Stake in Enerplus Corporation\u00a0(ERF)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/northern-trust-corp-increases-holdings-in-enerplus-corporation-erf.html&cid=52779693382749&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHcgJ5DP1KAxapDEkccBES-BZboZw""",Not Reachable,"""The Ledger Gazette"""
"""14 hours ago""","""Northern Trust Corp Increases Stake in Express, Inc.\u00a0(NYSE:EXPR)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-grows-stake-in-express-inc-expr.html&cid=52779696931073&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGHnokvB-gjMttpAphuAfLHHuW_GQ""",Not Reachable,"""The Ledger Gazette"""
"""46 minutes ago""","""Northern Trust Corp Purchases 56929 Shares of Hill International, Inc.\u00a0(HIL)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-purchases-56929-shares-of-hill-international-inc-hil.html&cid=0&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGxoifRYRgPyFFe4IxTJtuu1jD89A""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Northern Trust Corp Boosts Stake in California Resources Corp\u00a0(CRC)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/northern-trust-corp-increases-holdings-in-california-resources-corporation-crc.html&cid=52779693610321&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGfphdd033bAJ-6fzO12XrilN3kZg""",Not Reachable,"""The Ledger Gazette"""
"""1 hour ago""","""Northern Trust Corp Grows Stake in Era Group, Inc.\u00a0(ERA)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-grows-stake-in-era-group-inc-era.html&cid=52779698151415&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNGedDdhjCkOIgCug8cmk9hzJHjthA""",Not Reachable,"""The Ledger Gazette"""
"""2 hours ago""","""Northern Trust Corp Raises Holdings in Agilysys, Inc.\u00a0(AGYS)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/northern-trust-corp-raises-holdings-in-agilysys-inc-agys-2.html&cid=52779697994607&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFxhPlb3njD5jXtoVX-e5OJJFEntQ""",Not Reachable,"""The Ledger Gazette"""
"""Nov 29, 2017""","""Northern Trust Corp Has $4.29 Million Position in Powell Industries, Inc\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/northern-trust-corp-raises-position-in-powell-industries-inc-powl.html&cid=52779696326831&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNEXwLyn7sNdE6jiQMB8tW6iZlZWrA""",Not Reachable,"""The Ledger Gazette"""
"""2 hours ago""","""Allied Motion Technologies, Inc. (AMOT) Shares Bought by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/30/allied-motion-technologies-inc-amot-shares-bought-by-northern-trust-corp.html&cid=52779697933372&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHuTJpLtDBoJEHRzPzUAyCDjEZsOQ""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Northern Trust Corp Has $4.01 Million Holdings in Farmers National Banc Corp\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/farmers-national-banc-corp-fmnb-position-boosted-by-northern-trust-corp.html&cid=52779695963004&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNERH5lC1uMoR2Ny9OdRGutfKUgEZg""",Not Reachable,"""StockNewsTimes"""
"""Nov 29, 2017""","""Northern Trust Corp Boosts Stake in Green Bancorp, Inc.\u00a0(GNBC)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/green-bancorp-inc-gnbc-shares-bought-by-northern-trust-corp.html&cid=52779695529812&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNFikQ2ji4MX_LO8u3Y7hyxc8-IKig""",Not Reachable,"""The Ledger Gazette"""
"""3 hours ago""","""Northern Trust Corp Buys 45579 Shares of Horizon Global Corp\u00a0(HZN)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.dispatchtribunal.com/2017/11/30/northern-trust-corp-has-4-25-million-holdings-in-horizon-global-corporation-hzn.html&cid=52779695602449&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHi-_v6upJi3EBCQtlwTf0VdIpsyA""",Not Reachable,"""Dispatch Tribunal"""
"""Nov 29, 2017""","""Northern Trust Corp Has $7.08 Million Stake in International Seaways Inc.\u00a0(INSW)""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://ledgergazette.com/2017/11/29/northern-trust-corp-buys-140882-shares-of-international-seaways-inc-insw.html&cid=52779695084535&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNE0DX17aOigwAYtmW1hwN9HPW9hYw""",Not Reachable,"""The Ledger Gazette"""
"""4 hours ago""","""PCM, Inc. (PCMI) Holdings Raised by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/30/pcm-inc-pcmi-holdings-raised-by-northern-trust-corp.html&cid=52779697927995&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNEAmKas4ZqjqVNpOdafSX9C9AYYlg""",Not Reachable,"""StockNewsTimes"""
"""14 hours ago""","""Boingo Wireless, Inc. (NASDAQ:WIFI) Shares Bought by Northern Trust\u00a0Corp""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://stocknewstimes.com/2017/11/29/northern-trust-corp-boosts-position-in-boingo-wireless-inc-wifi.html&cid=52779696720214&ei=9DEgWrCiGdj82AbW_JqIBw&usg=AFQjCNHDZrOcGA_0q9nud36-_HR2pP80lw""",Not Reachable,"""StockNewsTimes"""
