Date,Title,Link,Status,Source
"""2 hours ago""","""Thursday's Vital Data: Apple Inc. (AAPL), Facebook Inc (FB) and Nvidia\u00a0...""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/thursday-vital-data-apple-inc-aapl-facebook-inc-fb-and-nvidia-corporation-nvda-2/&cid=52779697973423&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNEfBA0VjhwtM--ZuwRhnOzhA83tuA""",1,"""Investorplace.com"""
"""Nov 27, 2017""","""Nvidia: The Future Of Gaming, AI And Self-Driving\u00a0Cars""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127814-nvidia-future-gaming-ai-self-driving-cars&cid=52779693244498&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNEGHrhlQDS61UmRbQBri2dfXh-xmA""",2,"""Seeking Alpha"""
"""Nov 20, 2017""","""Basking In Its Own Brilliance:\u00a0Nvidia""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4126624-basking-brilliance-nvidia&cid=52779683734832&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNHClY72vDUyWgoVxSUF3AsEgi1yLA""",Not Reachable,"""Seeking Alpha"""
"""Nov 23, 2017""","""Nvidia: A Bright Future\u00a0Ahead""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4127391-nvidia-bright-future-ahead&cid=0&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNHODrfNIabIvyBMWHKZfLUQsfdrSw""",3,"""Seeking Alpha"""
"""Nov 10, 2017""","""If You Love Artificial Intelligence, You Should Check Out NVIDIA\u00a0Corporation""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.fool.com/investing/2017/11/10/if-you-love-artificial-intelligence-you-should-che.aspx&cid=52779672058157&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNGibZd5RaaEB-BxEijU4O4KTSJTOQ""",4,"""Motley Fool"""
"""Nov 13, 2017""","""Nvidia:\u00a0Unstoppable""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4124267-nvidia-unstoppable&cid=0&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNE3t6aDVQPWMWCQME4B5gzEH01WsA""",Not Reachable,"""Seeking Alpha"""
"""Nov 16, 2017""","""Why Nvidia Corporation Stock Has Plenty More\u00a0Upside""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://investorplace.com/2017/11/nvidia-corporation-nvda-stock-upside/&cid=52779676548408&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNGpIaMO2D8NlLOBRicCVanNvd9lxA""",5,"""Investorplace.com"""
"""Nov 16, 2017""","""Nvidia: It Keeps Getting\u00a0Better""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://seekingalpha.com/article/4125602-nvidia-keeps-getting-better&cid=0&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNHdPscKziagOYdEfMux1asmLjNKeA""",Not Reachable,"""Seeking Alpha"""
"""Nov 21, 2017""","""NVIDIA Corporation (NVDA) Ex-Dividend Date Scheduled for November 22,\u00a02017""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=http://www.nasdaq.com/article/nvidia-corporation-nvda-ex-dividend-date-scheduled-for-november-22-2017-cm880574&cid=52779685082136&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNF08hVONtG-G2RLgDQZFFdyuJy1PA""",6,"""Nasdaq"""
"""Nov 10, 2017""","""Nvidia shares set record as Volta chips ensure future\u00a0growth""","""http://news.google.com/news/url?sa=T&ct2=us&fd=S&url=https://www.reuters.com/article/us-nvidia-results-research/nvidia-shares-set-record-as-volta-chips-ensure-future-growth-idUSKBN1DA1TC&cid=52779667271965&ei=PjQgWvCDOIPwjAHk-6vQCQ&usg=AFQjCNFDOScSw6jztz3buYJUnWfS0wZotw""",7,"""Reuters"""
